gene	seqnames	start	end	strand	type	Name	part	ID	Kinetic_class	cluster	au	si	gene_to_centroid_dist	sil_width
AZURE									E					
CTO-L									unknown	cluster_11	0.999952877326208	0.983789304799329	0.00156330902240304	0.578361374441776
CTO-M									L	cluster_10	0.999996368563461	0.998036591848665	0.0148434129887831	0.604264637351385
CTO-S									L	cluster_1	0.999959717722831	0.995109237525998	0.76878058138678	0.699795982656642
ELIE									E					
EP0	LT934125.1	96990	97346	-	CDS	SOF05972.1	1	SOF05972.1_1	E	cluster_4	0.999989626800028	0.997405399524303	0.0926204233255304	0.799322699813517
EP0	LT934125.1	96114	96851	-	CDS	SOF05972.1	2	SOF05972.1_2	E	cluster_4	0.999989626800028	0.997405399524303	0.0926204233255304	0.799322699813517
IE180	LT934125.1	102945	107297	-	CDS	SOF05973.1		SOF05973.1	IE	cluster_4	0.999989626800028	0.997405399524303	0.0186673983043456	0.677012586816562
IE180	LT934125.1	136420	140772	+	CDS	SOF05983.1		SOF05983.1	IE	cluster_4	0.999989626800028	0.997405399524303	0.0186673983043456	0.677012586816562
NOIR									E	cluster_3	0.999996368563461	0.998036591848665	0.015950629330434	0.250853422053002
NOIR									E	cluster_3	0.999996368563461	0.998036591848665	0.0159467477511029	0.25030342829719
ORF-1	LT934125.1	1623	2243	+	CDS	SOF05915.1		ORF-1	E	cluster_1	0.999959717722831	0.995109237525998	0.109286837130151	0.582805914278114
UL1	LT934125.1	94461	94931	-	CDS	SOF05971.1		UL1	L	cluster_4	0.999989626800028	0.997405399524303	0.0178980114131703	0.664164717712846
UL10	LT934125.1	80370	81551	-	CDS	SOF05961.1		UL10	L	cluster_7	0.999996108427462	0.997944248823682	0.00837748505184814	0.884933150567654
UL11	LT934125.1	79779	79970	+	CDS	SOF05960.1		UL11	L					
UL12	LT934125.1	78364	79821	+	CDS	SOF05959.1		UL12	L	cluster_7	0.999996108427462	0.997944248823682	0.00837746696339826	0.753146329940018
UL13	LT934125.1	77202	78398	+	CDS	SOF05958.1		UL13	L					
UL14	LT934125.1	76753	77232	+	CDS	SOF05957.1		UL14	L	cluster_3	0.999996368563461	0.998036591848665	0.0207729619626552	0.353495707372008
UL15	LT934125.1	75663	76754	-	CDS	SOF05954.1	1	SOF05954.1_1	L	cluster_3	0.999996368563461	0.998036591848665	0.022295709299878	0.565932791395733
UL15	LT934125.1	71647	72783	-	CDS	SOF05954.1	2	SOF05954.1_2	L	cluster_3	0.999996368563461	0.998036591848665	0.022295709299878	0.565932791395733
UL16	LT934125.1	74654	75640	+	CDS	SOF05956.1		UL16	L	cluster_7	0.999996108427462	0.997944248823682	0.00817054802274778	0.807556414011573
UL17	LT934125.1	72834	74627	+	CDS	SOF05955.1		UL17	L	cluster_6	0.999968060328334	0.99452676000638	0.000301336809785623	0.590292089117189
UL18	LT934125.1	70559	71449	+	CDS	SOF05953.1		UL18	L	cluster_1	0.999959717722831	0.995109237525998	0.0245799895455496	0.308523850341714
UL19	LT934125.1	66399	70391	+	CDS	SOF05952.1		UL19	L	cluster_4	0.999989626800028	0.997405399524303	0.0187591233934857	0.25972022396247
UL2	LT934125.1	93521	94483	-	CDS	SOF05970.1		UL2	E	cluster_3	0.999996368563461	0.998036591848665	0.0210738200652179	0.394238668331372
UL20	LT934125.1	65827	66312	+	CDS	SOF05951.1		UL20	L	cluster_3	0.999996368563461	0.998036591848665	0.0212083672380833	0.672595952506864
UL21	LT934125.1	64143	65720	-	CDS	SOF05950.1		UL21	L	cluster_8	0.999932133530879	0.989724082175006	0.00200954960299131	0.235025164528834
UL22	LT934125.1	60254	62314	+	CDS	SOF05949.1		UL22	L	cluster_11	0.999952877326208	0.983789304799329	0.00156330902240304	0.0278142141616541
UL23	LT934125.1	59156	60118	+	CDS	SOF05948.1		UL23	L	cluster_5	0.999860158461417	0.987542933063031	0.0508464286178054	0.805628225282405
UL24	LT934125.1	58648	59163	-	CDS	SOF05947.1		UL24	L	cluster_9	0.999547420028088	0.9304798811437	0.0157235651190263	0.566153886574373
UL25	LT934125.1	56951	58555	-	CDS	SOF05946.1		UL25	L	cluster_1	0.999959717722831	0.995109237525998	0.112065670293254	0.39069647062437
UL26	LT934125.1	55343	56917	-	CDS	SOF05944.1		UL26	L	cluster_1	0.999959717722831	0.995109237525998	0.10240113484367	0.622058359854105
UL26.5	LT934125.1	55343	56179	-	CDS	SOF05945.1		UL26.5	L	cluster_3	0.999996368563461	0.998036591848665	0.106497117602819	-0.136437440130059
