gene	seqnames	start	end	strand	type	Name	part	ID	Kinetic_class	cluster	au	si	gene_to_centroid_dist	sil_width
AZURE									E					
CTO-L									unknown	cluster_10	0.999999983694655	0.999910399868294	862.045034654583	0.547317660627029
CTO-M									L	cluster_9	0.999985262373793	0.995956008173654	9955.00890123782	0.70217907304554
CTO-S									L	cluster_1	0.999980514471716	0.996968664566849	503828.833518029	0.187812583475362
ELIE									E					
EP0	LT934125.1	96990	97346	-	CDS	SOF05972.1	1	SOF05972.1_1	E	cluster_12	0.996226986360551	0.847721864614393	8692.54986647184	0.737855235026533
EP0	LT934125.1	96114	96851	-	CDS	SOF05972.1	2	SOF05972.1_2	E	cluster_12	0.996226986360551	0.847721864614393	8692.54986647184	0.737855235026533
IE180	LT934125.1	102945	107297	-	CDS	SOF05973.1		SOF05973.1	IE	cluster_12	0.996226986360551	0.847721864614393	8692.54986647184	0.792844896310703
IE180	LT934125.1	136420	140772	+	CDS	SOF05983.1		SOF05983.1	IE	cluster_12	0.996226986360551	0.847721864614393	8692.54986647184	0.792844896310703
NOIR									E	cluster_3	0.999929740134688	0.992226078159885	2876.83409679882	0.509281257205828
NOIR									E	cluster_3	0.999929740134688	0.992226078159885	2874.89476139813	0.507855375705446
ORF-1	LT934125.1	1623	2243	+	CDS	SOF05915.1		ORF-1	E	cluster_1	0.999980514471716	0.996968664566849	41341.6830801719	0.0691481161174777
UL1	LT934125.1	94461	94931	-	CDS	SOF05971.1		UL1	L	cluster_5	0.999985239825139	0.996257594590874	3678.94272919797	0.46947397290736
UL10	LT934125.1	80370	81551	-	CDS	SOF05961.1		UL10	L	cluster_11	0.999999711295612	0.9996324994312	100.954840506855	0.891338539116661
UL11	LT934125.1	79779	79970	+	CDS	SOF05960.1		UL11	L					
UL12	LT934125.1	78364	79821	+	CDS	SOF05959.1		UL12	L	cluster_11	0.999999711295612	0.9996324994312	100.093696656702	0.823839735822127
UL13	LT934125.1	77202	78398	+	CDS	SOF05958.1		UL13	L					
UL14	LT934125.1	76753	77232	+	CDS	SOF05957.1		UL14	L	cluster_3	0.999929740134688	0.992226078159885	5759.93605362386	0.682374808475977
UL15	LT934125.1	75663	76754	-	CDS	SOF05954.1	1	SOF05954.1_1	L	cluster_3	0.999929740134688	0.992226078159885	6681.71716675803	0.590791734453569
UL15	LT934125.1	71647	72783	-	CDS	SOF05954.1	2	SOF05954.1_2	L	cluster_3	0.999929740134688	0.992226078159885	6681.71716675803	0.590791734453569
UL16	LT934125.1	74654	75640	+	CDS	SOF05956.1		UL16	L	cluster_11	0.999999711295612	0.9996324994312	147.856781628138	0.892463267629685
UL17	LT934125.1	72834	74627	+	CDS	SOF05955.1		UL17	L	cluster_1	0.999980514471716	0.996968664566849	43211.9068833801	0.231433127283374
UL18	LT934125.1	70559	71449	+	CDS	SOF05953.1		UL18	L	cluster_7	0.999999711295612	0.9996324994312	26455.8407595831	0.229139015184985
UL19	LT934125.1	66399	70391	+	CDS	SOF05952.1		UL19	L	cluster_1	0.999980514471716	0.996968664566849	37326.3530767497	0.237729331351574
UL2	LT934125.1	93521	94483	-	CDS	SOF05970.1		UL2	E	cluster_3	0.999929740134688	0.992226078159885	5953.65001751196	0.407535706990103
UL20	LT934125.1	65827	66312	+	CDS	SOF05951.1		UL20	L	cluster_3	0.999929740134688	0.992226078159885	6037.18334411267	0.796883575292091
UL21	LT934125.1	64143	65720	-	CDS	SOF05950.1		UL21	L	cluster_8	0.999995691359143	0.998571037348937	1162.15877376518	0.495670458829116
UL22	LT934125.1	60254	62314	+	CDS	SOF05949.1		UL22	L	cluster_10	0.999999983694655	0.999910399868294	862.045034654583	0.162424036784139
UL23	LT934125.1	59156	60118	+	CDS	SOF05948.1		UL23	L	cluster_6	0.999657394048581	0.967679045409492	24007.0442107117	0.707263352913351
UL24	LT934125.1	58648	59163	-	CDS	SOF05947.1		UL24	L	cluster_7	0.999999711295612	0.9996324994312	34078.46911781	0.440441107121319
UL25	LT934125.1	56951	58555	-	CDS	SOF05946.1		UL25	L	cluster_1	0.999980514471716	0.996968664566849	43021.9979166019	0.515773926121731
UL26	LT934125.1	55343	56917	-	CDS	SOF05944.1		UL26	L	cluster_1	0.999980514471716	0.996968664566849	36867.7532101044	0.334720630367635
UL26.5	LT934125.1	55343	56179	-	CDS	SOF05945.1		UL26.5	L	cluster_1	0.999980514471716	0.996968664566849	31897.8916807768	-0.225259287432838
UL27	LT934125.1	16625	19375	-	CDS	SOF05926.1		UL27	L	cluster_1	0.999980514471716	0.996968664566849	30342.4603718313	0.273797021433522
UL28	LT934125.1	19246	21402	-	CDS	SOF05927.1		UL28	E	cluster_2	0.999996461386896	0.998773757131093	3230.71877254854	0.890130843272444
UL29	LT934125.1	21554	25087	-	CDS	SOF05928.1		UL29	E	cluster_2	0.999996461386896	0.998773757131093	3795.58107537344	0.845789350049955
UL3	LT934125.1	92749	93465	-	CDS	SOF05969.1		UL3	L	cluster_11	0.999999711295612	0.9996324994312	64.6866429237767	0.819195825655337
UL3.5	LT934125.1	92099	92752	-	CDS	SOF05968.1		UL3.5	L	cluster_11	0.999999711295612	0.9996324994312	123.349005833708	0.786500050512732
UL30	LT934125.1	25434	28580	+	CDS	SOF05929.1		UL30	E	cluster_2	0.999996461386896	0.998773757131093	2485.75447144152	0.82644448486462
UL31	LT934125.1	28501	29316	-	CDS	SOF05930.1		UL31	L	cluster_7	0.999999711295612	0.9996324994312	21384.1547278232	0.478637797816717
UL32	LT934125.1	29309	30721	-	CDS	SOF05931.1		UL32	L	cluster_1	0.999980514471716	0.996968664566849	43554.4918672411	0.419513030631657
UL33	LT934125.1	30720	31070	+	CDS	SOF05932.1		UL33	E	cluster_8	0.999995691359143	0.998571037348937	1162.15877376518	0.670745294936542
UL34	LT934125.1	31226	32011	+	CDS	SOF05933.1		UL34	E					
UL35	LT934125.1	32066	32377	+	CDS	SOF05934.1		UL35	L	cluster_1	0.999980514471716	0.996968664566849	73622.9180610129	0.490894233375785
UL36	LT934125.1	32705	41983	-	CDS	SOF05935.1		UL36	L	cluster_1	0.999980514471716	0.996968664566849	43453.2175420479	0.142845867132095
UL37	LT934125.1	42021	44780	-	CDS	SOF05936.1		UL37	L	cluster_1	0.999980514471716	0.996968664566849	42514.4125075341	-0.0150516638847903
UL38	LT934125.1	44837	45943	+	CDS	SOF05937.1		UL38	E	cluster_7	0.999999711295612	0.9996324994312	7878.76816682024	0.455704407439828
UL39	LT934125.1	46274	48646	+	CDS	SOF05938.1		UL39	E	cluster_2	0.999996461386896	0.998773757131093	2505.02208809932	0.728547666160742
UL4	LT934125.1	91486	91923	+	CDS	SOF05967.1		UL4	L	cluster_7	0.999999711295612	0.9996324994312	32400.3504002904	0.299859006820547
UL40	LT934125.1	48656	49567	+	CDS	SOF05939.1		UL40	E	cluster_6	0.999657394048581	0.967679045409492	24269.5176027765	0.552558768800913
UL41	LT934125.1	50044	51141	-	CDS	SOF05940.1		UL41	L	cluster_5	0.999985239825139	0.996257594590874	5841.09575257942	0.518282649106081
UL42	LT934125.1	51270	52415	+	CDS	SOF05941.1		UL42	L	cluster_3	0.999929740134688	0.992226078159885	10411.7925717968	0.11888637125251
UL43	LT934125.1	52473	53594	+	CDS	SOF05942.1		UL43	L	cluster_3	0.999929740134688	0.992226078159885	17263.7004344863	0.27215718031125
UL44	LT934125.1	53661	55103	+	CDS	SOF05943.1		UL44	L	cluster_9	0.999985262373793	0.995956008173654	9955.00890123782	0.655400910817853
UL46	LT934125.1	14071	16146	+	CDS	SOF05925.1		UL46	L	cluster_3	0.999929740134688	0.992226078159885	10507.2927616346	0.510016616443617
UL47	LT934125.1	11815	14052	+	CDS	SOF05924.1		UL47	L	cluster_1	0.999980514471716	0.996968664566849	43154.7409612038	-0.0165038571386506
UL48	LT934125.1	10473	11714	+	CDS	SOF05923.1		UL48	L	cluster_1	0.999980514471716	0.996968664566849	42168.3853047935	0.319941837085868
UL49	LT934125.1	9657	10409	+	CDS	SOF05922.1		UL49	L	cluster_7	0.999999711295612	0.9996324994312	22592.0175911543	0.389893315458538
UL49.5	LT934125.1	9323	9619	+	CDS	SOF05921.1		UL49.5	L	cluster_6	0.999657394048581	0.967679045409492	12696.3519021679	0.625194248012175
UL5	LT934125.1	88923	91427	+	CDS	SOF05966.1		UL5	E	cluster_4	0.999878150230075	0.985021080968014	192.369116779105	0.97056576118731
UL50	LT934125.1	8593	9399	-	CDS	SOF05920.1		UL50	L	cluster_5	0.999985239825139	0.996257594590874	5436.98368795667	0.51092366830575
UL51	LT934125.1	7729	8439	+	CDS	SOF05919.1		UL51	L	cluster_5	0.999985239825139	0.996257594590874	3964.58690816015	0.594694177006732
UL52	LT934125.1	4854	7742	-	CDS	SOF05918.1		UL52	E	cluster_4	0.999878150230075	0.985021080968014	192.369116779105	0.970322030211345
UL53	LT934125.1	3961	4899	-	CDS	SOF05917.1		UL53	L	cluster_3	0.999929740134688	0.992226078159885	6599.04201627123	0.642738497694239
UL54	LT934125.1	2797	3882	-	CDS	SOF05916.1		UL54	E	cluster_2	0.999996461386896	0.998773757131093	5130.54191907484	0.846219612024415
UL6	LT934125.1	86993	88924	-	CDS	SOF05965.1		UL6	L	cluster_1	0.999980514471716	0.996968664566849	43573.6683339132	-0.35932165868958
UL7	LT934125.1	86302	87102	-	CDS	SOF05964.1		UL7	E	cluster_7	0.999999711295612	0.9996324994312	32248.1631124597	0.187374025255
UL8	LT934125.1	84087	86138	+	CDS	SOF05963.1		UL8	E					
UL9	LT934125.1	81550	84090	+	CDS	SOF05962.1		UL9	L	cluster_1	0.999980514471716	0.996968664566849	44010.2721270183	0.441380601580889
US1	LT934125.1	115740	116831	+	CDS	SOF05974.1		SOF05974.1	E	cluster_2	0.999996461386896	0.998773757131093	3228.21645144149	0.878309022646796
