chr	strand	gene	group	cluster	start	end	dominant_tss	tags	tags.dominant_tss	q_0.1	q_0.9	interquantile_width	inCoding	cluster_width	hpi	cell_line	Time	dominant_TC	CDS_start	CDS_end	CDS_prime5	CDS_prime3	TSS_CDS_dist	closest_TC
LT934125.1	+	ELIE	PC_12_6h	919	100385	100385	100385	26.651031	26.651031	100385	100385	1		1	6h	PC_12	6	919	100549	102393	100549	102393	164	919
LT934125.1	+	IE180_2	C6_12h	1229	136339	136351	136348	1370.734813	972.102749	136345	136351	7		13	12h	C6	12	1229	136420	140772	136420	140772	72	1229
LT934125.1	+	IE180_2	C6_2h	1229	136348	136348	136348	1239.157373	1239.157373	136348	136348	1		1	2h	C6	2	1229	136420	140772	136420	140772	72	1229
LT934125.1	+	IE180_2	C6_6h	1228	136236	136236	136236	86.244071	86.244071	136236	136236	1		1	6h	C6	6	0	136420	140772	136420	140772	184	0
LT934125.1	+	IE180_2	C6_6h	1229	136338	136351	136348	689.952566	258.732212	136338	136351	14		14	6h	C6	6	1229	136420	140772	136420	140772	72	1229
LT934125.1	+	IE180_2	C6_8h	1228	136289	136289	136289	32.2841	32.2841	136289	136289	1		1	8h	C6	8	0	136420	140772	136420	140772	131	0
LT934125.1	+	IE180_2	C6_8h	1229	136345	136352	136348	419.693301	258.272801	136348	136351	4		8	8h	C6	8	1229	136420	140772	136420	140772	72	1229
LT934125.1	+	IE180_2	NRK_2h	1229	136348	136348	136348	3236.245955	3236.245955	136348	136348	1		1	2h	NRK	2	1229	136420	140772	136420	140772	72	1229
LT934125.1	+	IE180_2	PC_12_12h	1229	136339	136351	136348	525.572157	395.885521	136339	136348	10		13	12h	PC_12	12	1229	136420	140772	136420	140772	72	1229
LT934125.1	+	IE180_2	PC_12_2.5h	1229	136348	136348	136348	740.19245	740.19245	136348	136348	1		1	2.5h	PC_12	2.5	1229	136420	140772	136420	140772	72	1229
LT934125.1	+	IE180_2	PC_12_2h	1229	136348	136351	136348	2001.334224	667.111408	136348	136351	4		4	2h	PC_12	2	1229	136420	140772	136420	140772	72	1229
LT934125.1	+	IE180_2	PC_12_4h	1229	136339	136348	136348	702.670147	602.288697	136339	136348	10		10	4h	PC_12	4	1229	136420	140772	136420	140772	72	1229
LT934125.1	+	IE180_2	PC_12_6h	1228	136265	136265	136265	26.651031	26.651031	136265	136265	1		1	6h	PC_12	6	0	136420	140772	136420	140772	155	0
LT934125.1	+	IE180_2	PC_12_6h	1229	136339	136351	136348	533.020628	373.11444	136345	136351	7		13	6h	PC_12	6	1229	136420	140772	136420	140772	72	1229
LT934125.1	+	IE180_2	PC_12_8h	1228	136292	136292	136292	31.95705	31.95705	136292	136292	1		1	8h	PC_12	8	0	136420	140772	136420	140772	128	0
LT934125.1	+	IE180_2	PC_12_8h	1229	136322	136355	136348	735.012146	351.527547	136335	136351	17		34	8h	PC_12	8	1229	136420	140772	136420	140772	72	1229
LT934125.1	+	IE180_2	PK_15_12h	1229	136339	136351	136348	121.281465	86.956522	136339	136351	13		13	12h	PK_15	12	1229	136420	140772	136420	140772	72	1229
LT934125.1	+	IE180_2	PK_15_1h	1228	136270	136270	136270	2923.976608	2923.976608	136270	136270	1		1	1h	PK_15	1	1228	136420	140772	136420	140772	150	1228
LT934125.1	+	IE180_2	PK_15_2h	1228	136245	136245	136245	362.056481	362.056481	136245	136245	1		1	2h	PK_15	2	1228	136420	140772	136420	140772	175	1228
LT934125.1	+	IE180_2	PK_15_4h	1228	136289	136289	136289	81.188601	81.188601	136289	136289	1		1	4h	PK_15	4	0	136420	140772	136420	140772	131	0
LT934125.1	+	IE180_2	PK_15_4h	1229	136339	136352	136348	3491.10985	1948.526427	136341	136351	11		14	4h	PK_15	4	1229	136420	140772	136420	140772	72	1229
LT934125.1	+	IE180_2	PK_15_6h	1228	136289	136289	136289	16.129162	16.129162	136289	136289	1		1	6h	PK_15	6	0	136420	140772	136420	140772	131	0
LT934125.1	+	IE180_2	PK_15_6h	1229	136335	136351	136348	1806.466181	1193.558013	136339	136351	13		17	6h	PK_15	6	1229	136420	140772	136420	140772	72	1229
LT934125.1	+	IE180_2	PK_15_8h	1229	136335	136351	136348	1184.215721	750.003289	136339	136350	12		17	8h	PK_15	8	1229	136420	140772	136420	140772	72	1229
LT934125.1	+	NOIR	C6_12h	978	107420	107437	107432	237.78053	69.93545	107420	107432	13		18	12h	C6	12	0	107483	108830	107483	108830	51	0
LT934125.1	+	NOIR	C6_12h	979	107473	107485	107482	755.302857	349.677248	107482	107484	3		13	12h	C6	12	979	107483	108830	107483	108830	1	979
LT934125.1	+	NOIR	C6_4h	978	107420	107427	107420	1050.97215	525.486075	107420	107427	8		8	4h	C6	4	978	107483	108830	107483	108830	63	978
LT934125.1	+	NOIR	C6_6h	977	107344	107353	107344	172.488142	86.244071	107344	107353	10		10	6h	C6	6	0	107483	108830	107483	108830	139	0
LT934125.1	+	NOIR	C6_6h	979	107468	107485	107483	1034.928849	344.976283	107476	107484	9	NOIR	18	6h	C6	6	979	107483	108830	107483	108830	0	979
LT934125.1	+	NOIR	C6_8h	976	107304	107310	107304	64.5682	32.2841	107304	107310	7		7	8h	C6	8	0	107483	108830	107483	108830	179	0
LT934125.1	+	NOIR	C6_8h	978	107420	107450	107422	548.8297	129.1364	107420	107443	24		31	8h	C6	8	0	107483	108830	107483	108830	61	0
LT934125.1	+	NOIR	C6_8h	979	107470	107485	107482	1355.932203	807.102502	107482	107483	2		16	8h	C6	8	979	107483	108830	107483	108830	1	979
LT934125.1	+	NOIR	PC_12_12h	976	107308	107308	107308	40.953675	40.953675	107308	107308	1		1	12h	PC_12	12	0	107483	108830	107483	108830	175	0
LT934125.1	+	NOIR	PC_12_12h	978	107420	107432	107422	259.373273	81.907349	107420	107432	13		13	12h	PC_12	12	0	107483	108830	107483	108830	61	0
LT934125.1	+	NOIR	PC_12_12h	979	107473	107485	107482	1208.133401	423.187971	107476	107485	10		13	12h	PC_12	12	979	107483	108830	107483	108830	1	979
LT934125.1	+	NOIR	PC_12_1h	978	107400	107400	107400	2227.171492	2227.171492	107400	107400	1		1	1h	PC_12	1	978	107483	108830	107483	108830	83	0
