seqnames	strand	gene	cluster	TC.start	TC.end	TC.width	support	score	mean_shape	min_shape	max_shape	consensus_peak	min_peak	max_peak	hpi_samples	cell_lines	dRNA_TC_significance
LT934125.1	+	TC_1	1	2265	2275	0	3	42931.946413	1.30118331445939	1.30118331445939	2.26449396932099	2273	2273	2273	dRNA	C6, PC_12, PK_15	***
LT934125.1	+	TC_10	10	15006	15006	0	1	129.082225	0	0	0	15006	15006	15006	dRNA	C6	*
LT934125.1	+	TC_100	100	141348	141360	0	3	13170.989882	4.79477013802349	4.79477013802349	5.00882419249324	141356	141356	141356	dRNA	C6, PC_12, PK_15	***
LT934125.1	+	TC_11	11	15082	15082	0	1	129.082225	0	0	0	15082	15082	15082	dRNA	C6	*
LT934125.1	+	TC_12	12	15630	15630	0	1	46.163789	0	0	0	15630	15630	15630	dRNA	PC_12	*
LT934125.1	+	TC_13	13	16209	16226	0	3	149516.362984	0	0	0	16224	16224	16224	dRNA	C6, PC_12, PK_15	***
LT934125.1	+	TC_14	14	18834	18834	0	1	46.163789	0	0	0	18834	18834	18834	dRNA	PC_12	*
LT934125.1	+	TC_15	15	21872	21872	0	1	129.082225	0	0	0	21872	21872	21872	dRNA	C6	
LT934125.1	+	TC_16	16	28428	28428	0	1	17.839463	0	0	0	28428	28428	28428	dRNA	PK_15	*
LT934125.1	+	TC_17	17	28629	28632	0	3	2541.48724	0	0	1.25033113697621	28632	28632	28632	dRNA	C6, PC_12, PK_15	***
LT934125.1	+	TC_18	18	32402	32415	0	3	230800.391236	0.272412957271354	0.272412957271354	1.31565016551312	32415	32415	32415	dRNA	C6, PC_12, PK_15	***
LT934125.1	+	TC_19	19	32704	32704	0	1	46.163789	0	0	0	32704	32704	32704	dRNA	PC_12	*
LT934125.1	+	TC_2	2	8515	8526	0	3	6041.531518	2.23192227841236	2.23192227841236	5.3025669449454	8519	8519	8519	dRNA	C6, PC_12, PK_15	***
LT934125.1	+	TC_20	20	44943	44943	0	1	129.082225	0	0	0	44943	44943	44943	dRNA	C6	*
LT934125.1	+	TC_21	21	46034	46039	0	3	41742.70458	0.6478248352415	0.6478248352415	1.73206694019068	46038	46038	46038	dRNA	C6, PC_12, PK_15	***
LT934125.1	+	TC_22	22	46190	46190	0	1	129.082225	0	0	0	46190	46190	46190	dRNA	C6	*
LT934125.1	+	TC_23	23	46297	46297	0	1	129.082225	0	0	0	46297	46297	46297	dRNA	C6	*
LT934125.1	+	TC_24	24	48315	48315	0	1	129.082225	0	0	0	48315	48315	48315	dRNA	C6	*
LT934125.1	+	TC_25	25	48641	48641	0	1	129.082225	0	0	0	48641	48641	48641	dRNA	C6	*
LT934125.1	+	TC_26	26	48878	48885	0	1	258.16445	3	3	3	48878	48878	48878	dRNA	C6	*
LT934125.1	+	TC_27	27	49164	49164	0	1	129.082225	0	0	0	49164	49164	49164	dRNA	C6	*
LT934125.1	+	TC_28	28	49334	49334	0	1	46.163789	0	0	0	49334	49334	49334	dRNA	PC_12	*
LT934125.1	+	TC_29	29	49640	49647	0	3	95316.558897	0	0	0	49647	49647	49647	dRNA	C6, PC_12, PK_15	***
LT934125.1	+	TC_3	3	8666	8666	0	1	46.163789	0	0	0	8666	8666	8666	dRNA	PC_12	*
LT934125.1	+	TC_30	30	52422	52440	0	3	40871.277128	4.10739074871094	4.10739074871094	6.23273204491502	52435	52435	52435	dRNA	C6, PC_12, PK_15	***
LT934125.1	+	TC_31	31	53590	53604	0	3	33815.934768	7.55335249668586	7.55335249668586	8.21379000769157	53594	53594	53594	dRNA	C6, PC_12, PK_15	***
LT934125.1	+	TC_32	32	53758	53765	7	2	175.246014	0	0	0	53762	53758	53765	dRNA	C6, PC_12	**
LT934125.1	+	TC_33	33	54271	54271	0	1	129.082225	0	0	0	54271	54271	54271	dRNA	C6	*
LT934125.1	+	TC_34	34	54412	54412	0	1	129.082225	0	0	0	54412	54412	54412	dRNA	C6	*
LT934125.1	+	TC_35	35	54725	54725	0	1	46.163789	0	0	0	54725	54725	54725	dRNA	PC_12	*
LT934125.1	+	TC_36	36	55147	55161	0	3	74921.443282	0	0	0	55161	55161	55161	dRNA	C6, PC_12, PK_15	***
LT934125.1	+	TC_37	37	55262	55279	0	3	956.507654	4.82439791641632	4.82439791641632	6.38450693475967	55271	55271	55271	dRNA	C6, PC_12, PK_15	***
LT934125.1	+	TC_38	38	55666	55666	0	1	46.163789	0	0	0	55666	55666	55666	dRNA	PC_12	*
LT934125.1	+	TC_39	39	60240	60254	0	3	33735.638839	0	0	0.142004463559876	60251	60251	60251	dRNA	C6, PC_12, PK_15	***
LT934125.1	+	TC_4	4	10413	10431	0	3	169729.133603	0.468053884990384	0.468053884990384	1.62503428865047	10426	10426	10426	dRNA	C6, PC_12, PK_15	***
LT934125.1	+	TC_40	40	62333	62341	0	3	32443.174953	1.37681018175203	1.37681018175203	1.45546446149025	62340	62340	62340	dRNA	C6, PC_12, PK_15	***
LT934125.1	+	TC_41	41	63280	63280	0	1	129.082225	0	0	0	63280	63280	63280	dRNA	C6	*
LT934125.1	+	TC_42	42	63577	63577	0	1	129.082225	0	0	0	63577	63577	63577	dRNA	C6	*
LT934125.1	+	TC_43	43	66028	66028	0	1	46.163789	0	0	0	66028	66028	66028	dRNA	PC_12	*
LT934125.1	+	TC_44	44	70507	70521	0	3	81103.992578	0	0	0	70521	70521	70521	dRNA	C6, PC_12, PK_15	***
LT934125.1	+	TC_45	45	70709	70709	0	1	129.082225	0	0	0	70709	70709	70709	dRNA	C6	*
LT934125.1	+	TC_46	46	71519	71546	0	3	82958.122976	8.32282871918086	8.32282871918086	8.79422788307516	71544	71544	71544	dRNA	C6, PC_12, PK_15	***
LT934125.1	+	TC_47	47	74218	74218	0	1	46.163789	0	0	0	74218	74218	74218	dRNA	PC_12	*
LT934125.1	+	TC_48	48	74593	74593	0	1	46.163789	0	0	0	74593	74593	74593	dRNA	PC_12	*
LT934125.1	+	TC_49	49	75639	75652	0	3	7438.961341	2.01020878075274	2.01020878075274	3.56785754675472	75648	75648	75648	dRNA	C6, PC_12, PK_15	***
LT934125.1	+	TC_5	5	11112	11112	0	1	129.082225	0	0	0	11112	11112	11112	dRNA	C6	*
LT934125.1	+	TC_50	50	76786	76786	0	1	129.082225	0	0	0	76786	76786	76786	dRNA	C6	*
LT934125.1	+	TC_51	51	79974	79998	0	3	137572.711721	0.21876580708643	0.21876580708643	0.998563353337915	79996	79996	79996	dRNA	C6, PC_12, PK_15	***
LT934125.1	+	TC_52	52	84254	84254	0	1	46.163789	0	0	0	84254	84254	84254	dRNA	PC_12	*
LT934125.1	+	TC_53	53	86158	86168	0	3	11944.461581	0.897728977247964	0.897728977247964	1.22521096794187	86167	86167	86167	dRNA	C6, PC_12, PK_15	***
LT934125.1	+	TC_54	54	91551	91562	0	2	226.123548	0	0	4.79764393196584	91559	91559	91559	dRNA	PC_12, PK_15	**
LT934125.1	+	TC_55	55	92045	92059	0	3	11348.090756	2.35132145708783	2.35132145708783	3.24327162430543	92059	92059	92059	dRNA	C6, PC_12, PK_15	***
LT934125.1	+	TC_56	56	95020	95020	0	1	129.082225	0	0	0	95020	95020	95020	dRNA	C6	
LT934125.1	+	TC_57	57	96246	96246	0	1	46.163789	0	0	0	96246	96246	96246	dRNA	PC_12	
LT934125.1	+	TC_58	58	98936	98936	0	1	46.163789	0	0	0	98936	98936	98936	dRNA	PC_12	
LT934125.1	+	TC_59	59	102393	102393	0	1	46.163789	0	0	0	102393	102393	102393	dRNA	PC_12	*
LT934125.1	+	TC_6	6	12517	12517	0	1	46.163789	0	0	0	12517	12517	12517	dRNA	PC_12	*
LT934125.1	+	TC_60	60	102587	102607	20	2	175.246014	0	0	0	102597	102587	102607	dRNA	C6, PC_12	**
LT934125.1	+	TC_61	61	104579	104579	0	1	46.163789	0	0	0	104579	104579	104579	dRNA	PC_12	*
LT934125.1	+	TC_62	62	107989	107989	0	1	129.082225	0	0	0	107989	107989	107989	dRNA	C6	*
LT934125.1	+	TC_63	63	108031	108031	0	1	129.082225	0	0	0	108031	108031	108031	dRNA	C6	*
LT934125.1	+	TC_64	64	108068	108071	3	2	350.492029	0	0	0	108070	108068	108071	dRNA	C6, PC_12	***
LT934125.1	+	TC_65	65	108120	108120	0	1	46.163789	0	0	0	108120	108120	108120	dRNA	PC_12	*
LT934125.1	+	TC_66	66	108229	108233	2	2	350.492028	1.58496250072116	1.58496250072116	1.58496250072116	108230	108229	108231	dRNA	C6, PC_12	**
LT934125.1	+	TC_67	67	108614	108614	0	1	92.327578	0	0	0	108614	108614	108614	dRNA	PC_12	*
