seqnames	strand	cluster	TC.start	TC.end	TC.width	support	score	mean_shape	min_shape	max_shape	consensus_peak	min_peak	max_peak	hpi_samples	cell_lines
LT934125.1	+	1	1789	1789	0	1	54.540496	0	0	0	1789	1789	1789	6h	C6
LT934125.1	+	2	2251	2275	1	27	585863.093765	0.743340428785194	0.743340428785194	4.16973289643757	2273	2272	2273	12h, 1h, 2h, 4h, 6h, 8h, 0.5h, 1.5h, 2.5h	C6, NRK, PC_12, PK_15
LT934125.1	+	3	7254	7254	0	1	54.540496	0	0	0	7254	7254	7254	6h	C6
LT934125.1	+	4	8509	8531	0	25	88138.000325	0	0	7.04287723872643	8523	8523	8523	12h, 1h, 2h, 4h, 6h, 8h, 1.5h, 2.5h	C6, NRK, PC_12, PK_15
LT934125.1	+	5	9272	9279	7	3	101.2033	0	0	2.95568441820438	9277	9272	9279	8h, 4h, 6h	C6, PK_15
LT934125.1	+	6	9934	9934	0	1	261.437908	0	0	0	9934	9934	9934	2h	PC_12
LT934125.1	+	7	9986	9986	0	1	51.474752	0	0	0	9986	9986	9986	4h	PC_12
LT934125.1	+	8	10332	10332	0	1	816.993464	0	0	0	10332	10332	10332	2h	NRK
LT934125.1	+	9	10412	10431	5	27	928695.88266	1.23677972418411	1.23677972418411	7.0445222110114	10426	10421	10426	12h, 1h, 2h, 4h, 6h, 8h, 0.5h, 1.5h, 2.5h	C6, NRK, PC_12, PK_15
LT934125.1	+	10	11996	12012	12	9	565.806258	0	0	8.67836846429158	12001	11996	12008	12h, 6h, 4h, 8h	C6, PC_12, PK_15
LT934125.1	+	11	12077	12092	10	10	838.873126	0	0	7.9238883329054	12085	12077	12087	12h, 6h, 4h, 8h	C6, PC_12, PK_15
LT934125.1	+	12	12166	12177	3	9	1459.583808	0	0	6.20724918161967	12169	12168	12171	12h, 8h, 4h, 6h	C6, PC_12, PK_15
LT934125.1	+	13	12221	12235	8	2	115.992027	0	0	2.69853231353071	12231	12227	12235	12h, 2h	C6, PK_15
LT934125.1	+	14	15554	15554	0	1	22.858188	0	0	0	15554	15554	15554	8h	PC_12
