chr	strand	gene	group	cluster	start	end	dominant_tss	tags	tags.dominant_tss	q_0.1	q_0.9	interquantile_width	inCoding	cluster_width	hpi	cell_line	Time	dominant_TC	CDS_start	CDS_end	CDS_prime5	CDS_prime3	TSS_CDS_dist	closest_TC
LT934125.1	+	ELIE	PC_12_6h	902	100385	100385	100385	26.651031	26.651031	100385	100385	1		1	6h	PC_12	6	902	100549	102393	100549	102393	164	902
LT934125.1	+	IE180_2	C6_12h	1202	136339	136351	136348	1370.734813	972.102749	136345	136351	7		13	12h	C6	12	1202	136420	140772	136420	140772	72	1202
LT934125.1	+	IE180_2	C6_2h	1202	136348	136348	136348	1239.157373	1239.157373	136348	136348	1		1	2h	C6	2	1202	136420	140772	136420	140772	72	1202
LT934125.1	+	IE180_2	C6_6h	1201	136236	136236	136236	86.244071	86.244071	136236	136236	1		1	6h	C6	6	0	136420	140772	136420	140772	184	0
LT934125.1	+	IE180_2	C6_6h	1202	136338	136351	136348	689.952566	258.732212	136338	136351	14		14	6h	C6	6	1202	136420	140772	136420	140772	72	1202
LT934125.1	+	IE180_2	C6_8h	1201	136289	136289	136289	32.2841	32.2841	136289	136289	1		1	8h	C6	8	0	136420	140772	136420	140772	131	0
LT934125.1	+	IE180_2	C6_8h	1202	136345	136352	136348	419.693301	258.272801	136348	136351	4		8	8h	C6	8	1202	136420	140772	136420	140772	72	1202
LT934125.1	+	IE180_2	NRK_12h	1201	136224	136224	136224	17.924841	17.924841	136224	136224	1		1	12h	NRK	12	0	136420	140772	136420	140772	196	0
LT934125.1	+	IE180_2	NRK_12h	1202	136339	136351	136348	600.482178	358.496823	136339	136351	13		13	12h	NRK	12	1202	136420	140772	136420	140772	72	1202
LT934125.1	+	IE180_2	NRK_2h	1202	136348	136348	136348	3236.245955	3236.245955	136348	136348	1		1	2h	NRK	2	1202	136420	140772	136420	140772	72	1202
LT934125.1	+	IE180_2	NRK_4h	1202	136335	136348	136348	5281.690141	4107.981221	136335	136348	14		14	4h	NRK	4	1202	136420	140772	136420	140772	72	1202
LT934125.1	+	IE180_2	NRK_6h	1202	136347	136351	136348	2959.773981	2287.098076	136348	136350	3		5	6h	NRK	6	1202	136420	140772	136420	140772	72	1202
LT934125.1	+	IE180_2	NRK_8h	1202	136345	136352	136348	898.545989	490.115994	136347	136349	3		8	8h	NRK	8	1202	136420	140772	136420	140772	72	1202
LT934125.1	+	IE180_2	PC_12_12h	1202	136339	136351	136348	525.572157	395.885521	136339	136348	10		13	12h	PC_12	12	1202	136420	140772	136420	140772	72	1202
LT934125.1	+	IE180_2	PC_12_2.5h	1202	136348	136348	136348	740.19245	740.19245	136348	136348	1		1	2.5h	PC_12	2.5	1202	136420	140772	136420	140772	72	1202
LT934125.1	+	IE180_2	PC_12_2h	1202	136348	136351	136348	2001.334224	667.111408	136348	136351	4		4	2h	PC_12	2	1202	136420	140772	136420	140772	72	1202
LT934125.1	+	IE180_2	PC_12_4h	1202	136339	136348	136348	702.670147	602.288697	136339	136348	10		10	4h	PC_12	4	1202	136420	140772	136420	140772	72	1202
LT934125.1	+	IE180_2	PC_12_6h	1201	136265	136265	136265	26.651031	26.651031	136265	136265	1		1	6h	PC_12	6	0	136420	140772	136420	140772	155	0
LT934125.1	+	IE180_2	PC_12_6h	1202	136339	136351	136348	533.020628	373.11444	136345	136351	7		13	6h	PC_12	6	1202	136420	140772	136420	140772	72	1202
LT934125.1	+	IE180_2	PC_12_8h	1201	136292	136292	136292	31.95705	31.95705	136292	136292	1		1	8h	PC_12	8	0	136420	140772	136420	140772	128	0
LT934125.1	+	IE180_2	PC_12_8h	1202	136322	136355	136348	735.012146	351.527547	136335	136351	17		34	8h	PC_12	8	1202	136420	140772	136420	140772	72	1202
LT934125.1	+	IE180_2	PK_15_12h	1202	136339	136351	136348	121.281465	86.956522	136339	136351	13		13	12h	PK_15	12	1202	136420	140772	136420	140772	72	1202
LT934125.1	+	IE180_2	PK_15_1h	1201	136270	136270	136270	2923.976608	2923.976608	136270	136270	1		1	1h	PK_15	1	1201	136420	140772	136420	140772	150	1201
LT934125.1	+	IE180_2	PK_15_2h	1201	136245	136245	136245	362.056481	362.056481	136245	136245	1		1	2h	PK_15	2	1201	136420	140772	136420	140772	175	1201
LT934125.1	+	IE180_2	PK_15_4h	1201	136289	136289	136289	81.188601	81.188601	136289	136289	1		1	4h	PK_15	4	0	136420	140772	136420	140772	131	0
LT934125.1	+	IE180_2	PK_15_4h	1202	136339	136352	136348	3491.10985	1948.526427	136341	136351	11		14	4h	PK_15	4	1202	136420	140772	136420	140772	72	1202
LT934125.1	+	IE180_2	PK_15_6h	1201	136289	136289	136289	16.129162	16.129162	136289	136289	1		1	6h	PK_15	6	0	136420	140772	136420	140772	131	0
LT934125.1	+	IE180_2	PK_15_6h	1202	136335	136351	136348	1806.466181	1193.558013	136339	136351	13		17	6h	PK_15	6	1202	136420	140772	136420	140772	72	1202
LT934125.1	+	IE180_2	PK_15_8h	1202	136335	136351	136348	1184.215721	750.003289	136339	136350	12		17	8h	PK_15	8	1202	136420	140772	136420	140772	72	1202
LT934125.1	+	NOIR	C6_12h	964	107420	107437	107432	237.78053	69.93545	107420	107432	13		18	12h	C6	12	0	107483	108830	107483	108830	51	0
LT934125.1	+	NOIR	C6_12h	965	107473	107485	107482	755.302857	349.677248	107482	107484	3		13	12h	C6	12	965	107483	108830	107483	108830	1	965
LT934125.1	+	NOIR	C6_4h	964	107420	107427	107420	1050.97215	525.486075	107420	107427	8		8	4h	C6	4	964	107483	108830	107483	108830	63	964
LT934125.1	+	NOIR	C6_6h	963	107344	107353	107344	172.488142	86.244071	107344	107353	10		10	6h	C6	6	0	107483	108830	107483	108830	139	0
LT934125.1	+	NOIR	C6_6h	965	107468	107485	107483	1034.928849	344.976283	107476	107484	9	NOIR	18	6h	C6	6	965	107483	108830	107483	108830	0	965
LT934125.1	+	NOIR	C6_8h	962	107304	107310	107304	64.5682	32.2841	107304	107310	7		7	8h	C6	8	0	107483	108830	107483	108830	179	0
LT934125.1	+	NOIR	C6_8h	964	107420	107450	107422	548.8297	129.1364	107420	107443	24		31	8h	C6	8	0	107483	108830	107483	108830	61	0
LT934125.1	+	NOIR	C6_8h	965	107470	107485	107482	1355.932203	807.102502	107482	107483	2		16	8h	C6	8	965	107483	108830	107483	108830	1	965
LT934125.1	+	NOIR	NRK_12h	962	107308	107308	107308	44.812103	44.812103	107308	107308	1		1	12h	NRK	12	0	107483	108830	107483	108830	175	0
LT934125.1	+	NOIR	NRK_12h	964	107420	107445	107422	510.857972	152.36115	107420	107437	18		26	12h	NRK	12	0	107483	108830	107483	108830	61	0
LT934125.1	+	NOIR	NRK_12h	965	107473	107494	107482	1505.686655	600.482178	107482	107485	4		22	12h	NRK	12	965	107483	108830	107483	108830	1	965
LT934125.1	+	NOIR	NRK_4h	964	107422	107422	107422	586.85446	586.85446	107422	107422	1		1	4h	NRK	4	0	107483	108830	107483	108830	61	0
LT934125.1	+	NOIR	NRK_4h	965	107482	107489	107482	2934.2723	1760.56338	107482	107489	8		8	4h	NRK	4	965	107483	108830	107483	108830	1	965
LT934125.1	+	NOIR	NRK_6h	964	107422	107429	107422	403.605543	134.535181	107422	107429	8		8	6h	NRK	6	0	107483	108830	107483	108830	61	0
