seqnames	strand	cluster	TC.start	TC.end	TC.width	support	score	mean_shape	min_shape	max_shape	consensus_peak	min_peak	max_peak	hpi_samples	cell_lines
LT934125.1	+	1	242	242	0	1	32.2841	0	0	0	242	242	242	8h	C6
LT934125.1	+	2	494	494	0	1	81.685999	0	0	0	494	494	494	8h	NRK
LT934125.1	+	3	622	646	24	5	804.912063	0	0	0	635	622	646	6h, 8h, 4h	C6, NRK, PC_12, PK_15
LT934125.1	+	4	771	782	1	17	9398.743438	0	0	3.68016895976738	779	778	779	12h, 4h, 6h, 8h, 2h	C6, NRK, PC_12, PK_15
LT934125.1	+	5	878	878	0	1	1239.157373	0	0	0	878	878	878	2h	C6
LT934125.1	+	6	976	994	3	22	59905.490321	0	0	7.54578612195436	990	987	990	12h, 1h, 2h, 4h, 6h, 8h, 1.5h, 2.5h	C6, NRK, PC_12, PK_15
LT934125.1	+	7	1036	1036	0	1	40.594301	0	0	0	1036	1036	1036	4h	PK_15
LT934125.1	+	8	1092	1122	30	4	260.797052	0	0	0	1104	1092	1122	12h, 6h, 8h	NRK, PC_12
LT934125.1	+	9	1167	1174	7	3	140.29408	0	0	0	1169	1167	1174	8h, 6h	NRK, PC_12
LT934125.1	+	10	1217	1258	41	7	1618.155546	0	0	0	1237	1217	1258	2h, 6h, 12h, 8h	C6, NRK, PC_12
LT934125.1	+	11	1290	1323	2	3	357.402493	0	0	14.3375814677532	1291	1290	1292	8h, 6h	C6, PC_12
LT934125.1	+	12	1323	1358	3	26	300558.073909	1.28584540492312	1.28584540492312	9.11330070724386	1337	1334	1337	12h, 1h, 2h, 4h, 6h, 8h, 1.5h, 2.5h	C6, NRK, PC_12, PK_15
LT934125.1	+	13	1393	1393	0	2	589.400174	0	0	0	1393	1393	1393	4h, 8h	C6, PC_12
LT934125.1	+	14	1428	1438	10	3	476.02658	0	0	0	1432	1428	1438	8h, 2h	C6, NRK, PK_15
LT934125.1	+	15	1469	1559	73	11	3248.04107	0	0	6.04439411935845	1505	1469	1542	12h, 8h, 4h, 2.5h, 2h, 6h	C6, NRK, PC_12, PK_15
LT934125.1	+	16	1583	1612	0	19	58655.580494	0	0	5.3579501900602	1600	1600	1600	12h, 4h, 6h, 8h, 2.5h, 2h	C6, NRK, PC_12, PK_15
LT934125.1	+	17	1644	1733	84	11	3369.330452	0	0	9.74711857333287	1692	1644	1728	2h, 6h, 4h, 8h	C6, NRK, PC_12, PK_15
LT934125.1	+	18	1770	1889	112	14	6106.670692	0	0	19.9866781594381	1825	1770	1882	12h, 6h, 8h, 2h, 2.5h, 4h	C6, NRK, PC_12, PK_15
LT934125.1	+	19	1908	2166	256	19	22171.761677	0	0	26.6203731636076	1973	1908	2164	12h, 4h, 8h, 1h, 6h, 2h	C6, NRK, PC_12, PK_15
LT934125.1	+	20	2732	2732	0	1	86.244071	0	0	0	2732	2732	2732	6h	C6
LT934125.1	+	21	2792	2792	0	1	32.2841	0	0	0	2792	2792	2792	8h	C6
LT934125.1	+	22	2854	2854	0	1	31.95705	0	0	0	2854	2854	2854	8h	PC_12
LT934125.1	+	23	2943	2943	0	1	586.85446	0	0	0	2943	2943	2943	4h	NRK
LT934125.1	+	24	3132	3132	0	1	31.95705	0	0	0	3132	3132	3132	8h	PC_12
LT934125.1	+	25	3218	3218	0	1	26.651031	0	0	0	3218	3218	3218	6h	PC_12
LT934125.1	+	26	3244	3244	0	1	86.244071	0	0	0	3244	3244	3244	6h	C6
LT934125.1	+	27	3372	3372	0	1	525.486075	0	0	0	3372	3372	3372	4h	C6
LT934125.1	+	28	3434	3434	0	1	26.651031	0	0	0	3434	3434	3434	6h	PC_12
LT934125.1	+	29	3487	3487	0	1	32.2841	0	0	0	3487	3487	3487	8h	C6
LT934125.1	+	30	3705	3705	0	1	1239.157373	0	0	0	3705	3705	3705	2h	C6
LT934125.1	+	31	4057	4057	0	1	86.244071	0	0	0	4057	4057	4057	6h	C6
LT934125.1	+	32	4335	4335	0	1	31.95705	0	0	0	4335	4335	4335	8h	PC_12
LT934125.1	+	33	4483	4502	19	2	58.935131	0	0	0	4492	4483	4502	8h, 6h	C6, PC_12
LT934125.1	+	34	4632	4637	3	3	152.47361	0	0	2	4633	4632	4635	12h, 8h	C6, PC_12
LT934125.1	+	35	4825	4825	0	1	26.651031	0	0	0	4825	4825	4825	6h	PC_12
LT934125.1	+	36	4947	4947	0	1	81.685999	0	0	0	4947	4947	4947	8h	NRK
LT934125.1	+	37	5102	5102	0	1	32.2841	0	0	0	5102	5102	5102	8h	C6
LT934125.1	+	38	5484	5504	20	2	58.608081	0	0	0	5494	5484	5504	6h, 8h	PC_12
