cluster	group	chr	start	end	strand	dominant_tss	tags	tags.dominant_tss	q_0.1	q_0.9	interquantile_width	shape.score	cluster_width	hpi	cell_line	Time	TC.start	TC.end	consensus_peak	min_peak	max_peak	mean_shape	min_shape	max_shape	support	score	hpi_samples	cell_lines	peak_shift	TC.width
1	C6_6h	LT934125.1	1789	1789	+	1789	54.540496	54.540496	1789	1789	1	0	1	6h	C6	6	1789	1789	1789	1789	1789	0	0	0	1	54.540496	6h	C6	0	0
2	C6_12h	LT934125.1	2266	2275	+	2273	10806.072632	7453.219542	2272	2275	4	1.92633728032844	10	12h	C6	12	2259	2275	2273	2272	2273	0.743340428785194	0.743340428785194	3.73964455027798	23	469991.551327	12h, 1h, 2h, 4h, 6h, 8h, 0.5h, 1.5h, 2.5h	C6, NRK, PC_12, PK_15	0	1
2	C6_1h	LT934125.1	2269	2275	+	2273	22831.050229	16307.89302	2272	2275	4	1.99144401166377	7	1h	C6	1	2259	2275	2273	2272	2273	0.743340428785194	0.743340428785194	3.73964455027798	23	469991.551327	12h, 1h, 2h, 4h, 6h, 8h, 0.5h, 1.5h, 2.5h	C6, NRK, PC_12, PK_15	0	1
2	C6_2h	LT934125.1	2269	2275	+	2273	20335.53635	11692.933401	2271	2275	5	3.52992218763998	7	2h	C6	2	2259	2275	2273	2272	2273	0.743340428785194	0.743340428785194	3.73964455027798	23	469991.551327	12h, 1h, 2h, 4h, 6h, 8h, 0.5h, 1.5h, 2.5h	C6, NRK, PC_12, PK_15	0	1
2	C6_4h	LT934125.1	2259	2275	+	2273	29495.178671	19568.916619	2273	2275	3	1.34199046218198	17	4h	C6	4	2259	2275	2273	2272	2273	0.743340428785194	0.743340428785194	3.73964455027798	23	469991.551327	12h, 1h, 2h, 4h, 6h, 8h, 0.5h, 1.5h, 2.5h	C6, NRK, PC_12, PK_15	0	1
2	C6_6h	LT934125.1	2266	2275	+	2273	23725.115899	17507.499318	2272	2275	4	1.60986361273782	10	6h	C6	6	2259	2275	2273	2272	2273	0.743340428785194	0.743340428785194	3.73964455027798	23	469991.551327	12h, 1h, 2h, 4h, 6h, 8h, 0.5h, 1.5h, 2.5h	C6, NRK, PC_12, PK_15	0	1
2	C6_8h	LT934125.1	2266	2275	+	2273	17130.934513	11689.056456	2271	2275	5	2.77778661119244	10	8h	C6	8	2259	2275	2273	2272	2273	0.743340428785194	0.743340428785194	3.73964455027798	23	469991.551327	12h, 1h, 2h, 4h, 6h, 8h, 0.5h, 1.5h, 2.5h	C6, NRK, PC_12, PK_15	0	1
2	NRK_1h	LT934125.1	2269	2275	+	2273	31578.947367	23684.210526	2271	2273	3	0.743340428785194	7	1h	NRK	1	2259	2275	2273	2272	2273	0.743340428785194	0.743340428785194	3.73964455027798	23	469991.551327	12h, 1h, 2h, 4h, 6h, 8h, 0.5h, 1.5h, 2.5h	C6, NRK, PC_12, PK_15	0	1
2	NRK_2h	LT934125.1	2270	2275	+	2273	21241.830065	14705.882353	2271	2275	5	2.73073860564455	6	2h	NRK	2	2259	2275	2273	2272	2273	0.743340428785194	0.743340428785194	3.73964455027798	23	469991.551327	12h, 1h, 2h, 4h, 6h, 8h, 0.5h, 1.5h, 2.5h	C6, NRK, PC_12, PK_15	0	1
2	PC_12_0.5h	LT934125.1	2272	2273	+	2272	33333.333334	16666.666667	2272	2273	2	1	2	0.5h	PC_12	0.5	2259	2275	2273	2272	2273	0.743340428785194	0.743340428785194	3.73964455027798	23	469991.551327	12h, 1h, 2h, 4h, 6h, 8h, 0.5h, 1.5h, 2.5h	C6, NRK, PC_12, PK_15	1	1
