group	enhancer	cluster.m	cluster.p	chr	dominant_tss.m	dominant_tss.p	tags.m	tags.p	D	hpi	cell_line	Time
C6_12h	9	1383	145	LT934125.1	15130	15170	20.980635	167.84508	0.777777777777778	12h	C6	12
C6_12h	10	1388	152	LT934125.1	15834	15856	118.890264	41.96127	-0.478260866321611	12h	C6	12
C6_12h	11	1517	214	LT934125.1	27761	27867	69.93545	27.97418	-0.428571428571429	12h	C6	12
C6_12h	18	1567	269	LT934125.1	32888	33088	55.94836	34.967725	-0.230769230769231	12h	C6	12
C6_12h	26	1742	460	LT934125.1	55567	55627	76.928995	20.980635	-0.571428571428572	12h	C6	12
C6_12h	31	1812	540	LT934125.1	62075	62152	48.954815	27.97418	-0.272727272727273	12h	C6	12
C6_12h	33	1886	598	LT934125.1	68527	68667	90.916085	125.88381	0.161290322580645	12h	C6	12
C6_12h	34	1887	601	LT934125.1	68709	68873	62.941905	55.94836	-0.0588235294117647	12h	C6	12
C6_12h	36	1890	606	LT934125.1	69254	69311	279.7418	48.954815	-0.702127659574468	12h	C6	12
C6_12h	42	2014	757	LT934125.1	83954	83975	20.980635	181.832169	0.793103447255727	12h	C6	12
C6_12h	44	2092	852	LT934125.1	92217	92243	20.980635	55.94836	0.454545454545455	12h	C6	12
C6_12h	46	2144	872	LT934125.1	95694	95750	104.903174	90.916084	-0.0714285721581072	12h	C6	12
C6_12h	47	2152	877	LT934125.1	96146	96197	34.967725	27.97418	-0.111111111111111	12h	C6	12
C6_12h	48	2156	878	LT934125.1	96486	96526	62.941905	20.980635	-0.5	12h	C6	12
C6_12h	58	2342	1060	LT934125.1	119499	119567	230.786984	160.851534	-0.178571429483348	12h	C6	12
C6_12h	59	2346	1066	LT934125.1	119910	119941	230.786984	342.683704	0.195121951900007	12h	C6	12
C6_12h	62	2367	1100	LT934125.1	122320	122405	41.96127	20.980635	-0.333333333333333	12h	C6	12
C6_2h	1	1388	152	LT934125.1	15833	15836	1239.157373	1239.157373	0	2h	C6	2
C6_2h	3	2002	748	LT934125.1	82329	82476	1239.157373	1239.157373	0	2h	C6	2
C6_4h	2	1672	358	LT934125.1	46751	46815	525.486075	525.486075	0	4h	C6	4
C6_4h	5	2092	852	LT934125.1	92171	92247	525.486075	525.486075	0	4h	C6	4
C6_4h	6	2313	1021	LT934125.1	115638	115759	525.486075	525.486075	0	4h	C6	4
C6_4h	8	2346	1066	LT934125.1	119910	119949	525.486075	525.486075	0	4h	C6	4
C6_4h	10	2411	1155	LT934125.1	127958	128057	525.486075	525.486075	0	4h	C6	4
C6_6h	2	1322	40	LT934125.1	5966	6022	86.244071	86.244071	0	6h	C6	6
C6_6h	3	1335	66	LT934125.1	8371	8439	86.244071	86.244071	0	6h	C6	6
C6_6h	5	1365	101	LT934125.1	11467	11498	86.244071	86.244071	0	6h	C6	6
C6_6h	6	1374	122	LT934125.1	13185	13256	86.244071	172.488142	0.333333333333333	6h	C6	6
C6_6h	8	1383	146	LT934125.1	15127	15287	86.244071	172.488141	0.333333330756667	6h	C6	6
C6_6h	9	1470	181	LT934125.1	23540	23570	86.244071	86.244071	0	6h	C6	6
C6_6h	10	1479	182	LT934125.1	23992	24083	86.244071	86.244071	0	6h	C6	6
C6_6h	12	1519	227	LT934125.1	28550	28681	344.976284	86.244071	-0.6	6h	C6	6
C6_6h	15	1534	237	LT934125.1	29972	30026	86.244071	86.244071	0	6h	C6	6
C6_6h	21	1571	274	LT934125.1	33304	33387	86.244071	86.244071	0	6h	C6	6
C6_6h	22	1576	278	LT934125.1	33566	33698	86.244071	86.244071	0	6h	C6	6
C6_6h	23	1578	280	LT934125.1	33827	33900	172.488142	86.244071	-0.333333333333333	6h	C6	6
C6_6h	24	1579	281	LT934125.1	33928	33984	172.488142	86.244071	-0.333333333333333	6h	C6	6
C6_6h	25	1636	314	LT934125.1	43158	43230	86.244071	86.244071	0	6h	C6	6
C6_6h	26	1642	316	LT934125.1	43598	43659	86.244071	86.244071	0	6h	C6	6
C6_6h	31	1690	394	LT934125.1	49357	49543	86.244071	86.244071	0	6h	C6	6
C6_6h	37	1723	433	LT934125.1	53036	53060	86.244071	172.488142	0.333333333333333	6h	C6	6
C6_6h	39	1741	458	LT934125.1	55454	55484	258.732212	86.244071	-0.499999998550625	6h	C6	6
C6_6h	47	1842	555	LT934125.1	64944	64979	86.244071	86.244071	0	6h	C6	6
C6_6h	51	1912	635	LT934125.1	71882	71905	172.488141	86.244071	-0.333333330756667	6h	C6	6
C6_6h	53	1934	666	LT934125.1	74006	74191	86.244071	86.244071	0	6h	C6	6
C6_6h	55	1940	673	LT934125.1	74562	74701	86.244071	344.976284	0.6	6h	C6	6
C6_6h	56	1945	677	LT934125.1	75065	75183	86.244071	86.244071	0	6h	C6	6
C6_6h	57	1969	713	LT934125.1	78652	78763	86.244071	86.244071	0	6h	C6	6
