group	cluster	chr	start	end	strand	dominant_tss	tags	tags.dominant_tss	q_0.1	q_0.9	interquantile_width	cluster_width	hpi	cell_line	Time
C6_dRNA	1	LT934125.1	2266	2275	+	2273	17297.018201	11617.400284	2273	2275	3	10	dRNA	C6	dRNA
C6_dRNA	2	LT934125.1	8519	8526	+	8519	1807.151155	1032.657803	8519	8523	5	8	dRNA	C6	dRNA
C6_dRNA	4	LT934125.1	10418	10431	+	10426	52149.219053	42726.2166	10426	10429	4	14	dRNA	C6	dRNA
C6_dRNA	5	LT934125.1	11112	11112	+	11112	129.082225	129.082225	11112	11112	1	1	dRNA	C6	dRNA
C6_dRNA	8	LT934125.1	13033	13033	+	13033	129.082225	129.082225	13033	13033	1	1	dRNA	C6	dRNA
C6_dRNA	9	LT934125.1	13193	13193	+	13193	129.082225	129.082225	13193	13193	1	1	dRNA	C6	dRNA
C6_dRNA	10	LT934125.1	15006	15006	+	15006	129.082225	129.082225	15006	15006	1	1	dRNA	C6	dRNA
C6_dRNA	11	LT934125.1	15082	15082	+	15082	129.082225	129.082225	15082	15082	1	1	dRNA	C6	dRNA
C6_dRNA	13	LT934125.1	16210	16226	+	16224	41822.641021	37821.092036	16224	16224	1	17	dRNA	C6	dRNA
C6_dRNA	15	LT934125.1	21872	21872	+	21872	129.082225	129.082225	21872	21872	1	1	dRNA	C6	dRNA
C6_dRNA	17	LT934125.1	28629	28632	+	28632	1161.740028	1032.657803	28629	28632	4	4	dRNA	C6	dRNA
C6_dRNA	18	LT934125.1	32406	32415	+	32415	80160.061959	63895.701562	32413	32415	3	10	dRNA	C6	dRNA
C6_dRNA	20	LT934125.1	44943	44943	+	44943	129.082225	129.082225	44943	44943	1	1	dRNA	C6	dRNA
C6_dRNA	21	LT934125.1	46034	46038	+	46038	10455.660256	8777.591326	46036	46038	3	5	dRNA	C6	dRNA
C6_dRNA	22	LT934125.1	46190	46190	+	46190	129.082225	129.082225	46190	46190	1	1	dRNA	C6	dRNA
C6_dRNA	23	LT934125.1	46297	46297	+	46297	129.082225	129.082225	46297	46297	1	1	dRNA	C6	dRNA
C6_dRNA	24	LT934125.1	48315	48315	+	48315	129.082225	129.082225	48315	48315	1	1	dRNA	C6	dRNA
C6_dRNA	25	LT934125.1	48641	48641	+	48641	129.082225	129.082225	48641	48641	1	1	dRNA	C6	dRNA
C6_dRNA	26	LT934125.1	48878	48885	+	48878	258.16445	129.082225	48878	48885	8	8	dRNA	C6	dRNA
C6_dRNA	27	LT934125.1	49164	49164	+	49164	129.082225	129.082225	49164	49164	1	1	dRNA	C6	dRNA
C6_dRNA	29	LT934125.1	49640	49647	+	49647	38337.420936	35239.447528	49647	49647	1	8	dRNA	C6	dRNA
C6_dRNA	30	LT934125.1	52426	52439	+	52435	12262.81141	6841.357945	52430	52439	10	14	dRNA	C6	dRNA
C6_dRNA	31	LT934125.1	53591	53604	+	53594	11101.071382	4001.548987	53594	53604	11	14	dRNA	C6	dRNA
C6_dRNA	32	LT934125.1	53758	53758	+	53758	129.082225	129.082225	53758	53758	1	1	dRNA	C6	dRNA
C6_dRNA	33	LT934125.1	54271	54271	+	54271	129.082225	129.082225	54271	54271	1	1	dRNA	C6	dRNA
C6_dRNA	34	LT934125.1	54412	54412	+	54412	129.082225	129.082225	54412	54412	1	1	dRNA	C6	dRNA
C6_dRNA	36	LT934125.1	55154	55161	+	55161	20524.073834	19362.333807	55161	55161	1	8	dRNA	C6	dRNA
C6_dRNA	37	LT934125.1	55271	55279	+	55271	645.411127	258.164451	55271	55279	9	9	dRNA	C6	dRNA
C6_dRNA	39	LT934125.1	60247	60254	+	60251	11230.153607	10068.413579	60251	60251	1	8	dRNA	C6	dRNA
C6_dRNA	40	LT934125.1	62336	62341	+	62340	10584.742481	6454.111269	62338	62340	3	6	dRNA	C6	dRNA
C6_dRNA	41	LT934125.1	63280	63280	+	63280	129.082225	129.082225	63280	63280	1	1	dRNA	C6	dRNA
C6_dRNA	42	LT934125.1	63577	63577	+	63577	129.082225	129.082225	63577	63577	1	1	dRNA	C6	dRNA
C6_dRNA	44	LT934125.1	70507	70521	+	70521	17813.347101	16135.278172	70521	70521	1	15	dRNA	C6	dRNA
C6_dRNA	45	LT934125.1	70709	70709	+	70709	129.082225	129.082225	70709	70709	1	1	dRNA	C6	dRNA
