group	enhancer	cluster.m	cluster.p	chr	dominant_tss.m	dominant_tss.p	tags.m	tags.p	D	hpi	cell_line	Time
C6_12h	9	1414	149	LT934125.1	15130	15170	20.980635	167.84508	0.777777777777778	12h	C6	12
C6_12h	10	1419	157	LT934125.1	15834	15856	118.890264	41.96127	-0.478260866321611	12h	C6	12
C6_12h	11	1543	220	LT934125.1	27761	27867	69.93545	27.97418	-0.428571428571429	12h	C6	12
C6_12h	18	1597	277	LT934125.1	32888	33088	55.94836	34.967725	-0.230769230769231	12h	C6	12
C6_12h	26	1771	474	LT934125.1	55567	55627	76.928995	20.980635	-0.571428571428572	12h	C6	12
C6_12h	32	1840	554	LT934125.1	62075	62152	48.954815	27.97418	-0.272727272727273	12h	C6	12
C6_12h	34	1914	612	LT934125.1	68527	68667	90.916085	97.90963	0.0370370370370369	12h	C6	12
C6_12h	35	1915	615	LT934125.1	68709	68873	62.941905	55.94836	-0.0588235294117647	12h	C6	12
C6_12h	37	1918	620	LT934125.1	69254	69311	279.7418	48.954815	-0.702127659574468	12h	C6	12
C6_12h	43	2040	776	LT934125.1	83954	83975	20.980635	181.832169	0.793103447255727	12h	C6	12
C6_12h	45	2112	872	LT934125.1	92217	92243	20.980635	55.94836	0.454545454545455	12h	C6	12
C6_12h	47	2167	891	LT934125.1	95694	95750	104.903174	90.916084	-0.0714285721581072	12h	C6	12
C6_12h	48	2175	896	LT934125.1	96146	96197	34.967725	27.97418	-0.111111111111111	12h	C6	12
C6_12h	49	2181	897	LT934125.1	96486	96526	62.941905	20.980635	-0.5	12h	C6	12
C6_12h	59	2360	1080	LT934125.1	119499	119567	230.786984	160.851534	-0.178571429483348	12h	C6	12
C6_12h	60	2364	1086	LT934125.1	119910	119941	230.786984	342.683704	0.195121951900007	12h	C6	12
C6_12h	63	2384	1123	LT934125.1	122320	122405	41.96127	20.980635	-0.333333333333333	12h	C6	12
C6_2h	1	1419	157	LT934125.1	15833	15836	1239.157373	1239.157373	0	2h	C6	2
C6_2h	3	2028	768	LT934125.1	82329	82476	1239.157373	1239.157373	0	2h	C6	2
C6_4h	2	1702	364	LT934125.1	46751	46815	525.486075	525.486075	0	4h	C6	4
C6_4h	5	2112	872	LT934125.1	92171	92247	525.486075	525.486075	0	4h	C6	4
