hpi	cell_line	seqnames	strand	cluster	cluster_start	cluster_end	cluster_peak	cluster_width	cluster_total_count	meta_cluster
12h	C6	LT934125.1	-	20	3870	3942	3910	73	123	1
12h	C6	LT934125.1	-	52	9449	9534	9494	86	343	2
12h	C6	LT934125.1	-	102	17279	17379	17341	101	204	3
12h	C6	LT934125.1	-	127	19423	19483	19471	61	917	4
12h	C6	LT934125.1	-	174	25273	25315	25313	43	105	5
12h	C6	LT934125.1	-	201	29342	29427	29412	86	3436	6
12h	C6	LT934125.1	-	215	30873	30917	30877	45	85	7
12h	C6	LT934125.1	-	292	41981	41997	41995	17	119	8
12h	C6	LT934125.1	-	317	44823	44899	44889	77	397	9
12h	C6	LT934125.1	-	354	51094	51184	51147	91	487	10
12h	C6	LT934125.1	-	382	55352	55397	55378	46	77	11
12h	C6	LT934125.1	-	383	55402	55454	55438	53	117	12
12h	C6	LT934125.1	-	385	55546	55642	55567	97	72	13
12h	C6	LT934125.1	-	386	55655	55738	55685	84	80	14
12h	C6	LT934125.1	-	389	55909	56004	55958	96	72	15
12h	C6	LT934125.1	-	391	56072	56158	56115	87	142	16
12h	C6	LT934125.1	-	392	56161	56200	56188	40	10338	17
12h	C6	LT934125.1	-	401	56915	56953	56946	39	1168	18
12h	C6	LT934125.1	-	418	58542	58575	58570	34	221	19
12h	C6	LT934125.1	-	425	59189	59281	59277	93	187	20
12h	C6	LT934125.1	-	452	63351	63438	63420	88	9181	21
12h	C6	LT934125.1	-	474	65744	65773	65752	30	422	22
12h	C6	LT934125.1	-	496	68879	68922	68886	44	99	23
12h	C6	LT934125.1	-	507	70415	70492	70470	78	142	24
12h	C6	LT934125.1	-	572	80853	80912	80891	60	74	25
12h	C6	LT934125.1	-	584	81792	81864	81804	73	2356	26
12h	C6	LT934125.1	-	585	81876	81900	81897	25	80	27
12h	C6	LT934125.1	-	621	87079	87163	87161	85	349	28
12h	C6	LT934125.1	-	638	89072	89162	89079	91	156	29
12h	C6	LT934125.1	-	662	92894	92973	92933	80	3454	30
12h	C6	LT934125.1	-	670	93623	93665	93654	43	388	31
12h	C6	LT934125.1	-	680	94521	94578	94526	58	345	32
12h	C6	LT934125.1	-	684	94923	95018	94947	96	416	33
12h	C6	LT934125.1	-	696	96552	96640	96596	89	77	34
12h	C6	LT934125.1	-	705	97317	97368	97361	52	717	35
12h	C6	LT934125.1	-	772	107321	107382	107369	62	212	36
12h	C6	LT934125.1	-	774	107536	107603	107559	68	175	37
12h	C6	LT934125.1	-	802	115459	115535	115528	77	147	38
12h	C6	LT934125.1	-	804	115637	115730	115638	94	130	39
12h	C6	LT934125.1	-	822	118983	119067	119058	85	95	40
12h	C6	LT934125.1	-	836	120409	120468	120431	60	87	41
12h	C6	LT934125.1	-	877	126864	126945	126926	82	114	42
12h	C6	LT934125.1	-	878	126949	127011	127002	63	108	43
12h	C6	LT934125.1	-	882	127237	127317	127254	81	112	44
12h	C6	LT934125.1	-	898	128683	128738	128732	56	8911	45
12h	C6	LT934125.1	-	935	136209	136249	136235	41	119	46
12h	C6	LT934125.1	+	3	959	1038	990	80	369	1
12h	C6	LT934125.1	+	6	1295	1375	1337	81	219	2
12h	C6	LT934125.1	+	9	1590	1652	1600	63	298	3
12h	C6	LT934125.1	+	45	7569	7633	7588	65	389	4
12h	C6	LT934125.1	+	57	9103	9163	9113	61	1261	5
12h	C6	LT934125.1	+	59	9260	9325	9270	66	1846	6
12h	C6	LT934125.1	+	63	9548	9609	9548	62	93	7
12h	C6	LT934125.1	+	64	9640	9684	9646	45	912	8
12h	C6	LT934125.1	+	73	10430	10493	10431	64	231	9
12h	C6	LT934125.1	+	83	11780	11864	11793	85	133	10
12h	C6	LT934125.1	+	105	14033	14082	14048	50	2782	11
12h	C6	LT934125.1	+	197	30235	30298	30240	64	132	12
12h	C6	LT934125.1	+	204	31079	31167	31098	89	2589	13
12h	C6	LT934125.1	+	216	31990	32051	32038	62	11404	14
12h	C6	LT934125.1	+	217	32057	32110	32091	54	89	15
12h	C6	LT934125.1	+	218	32116	32180	32161	65	147	16
12h	C6	LT934125.1	+	219	32185	32281	32185	97	107	17
12h	C6	LT934125.1	+	274	44779	44848	44812	70	1713	18
12h	C6	LT934125.1	+	285	46005	46031	46024	27	189	19
12h	C6	LT934125.1	+	312	48559	48621	48567	63	2880	20
12h	C6	LT934125.1	+	337	51148	51244	51235	97	1109	21
12h	C6	LT934125.1	+	351	52432	52525	52460	94	972	22
12h	C6	LT934125.1	+	363	53640	53696	53648	57	1013	23
12h	C6	LT934125.1	+	382	55276	55358	55303	83	191	24
12h	C6	LT934125.1	+	385	55705	55782	55712	78	116	25
12h	C6	LT934125.1	+	406	59011	59106	59068	96	825	26
12h	C6	LT934125.1	+	418	60182	60262	60234	81	253	27
12h	C6	LT934125.1	+	457	66333	66431	66338	99	747	28
12h	C6	LT934125.1	+	486	69237	69293	69244	57	164	29
12h	C6	LT934125.1	+	497	70075	70144	70090	70	114	30
12h	C6	LT934125.1	+	502	70481	70544	70531	64	8002	31
12h	C6	LT934125.1	+	511	71185	71284	71190	100	110	32
12h	C6	LT934125.1	+	523	72751	72766	72759	16	156	33
12h	C6	LT934125.1	+	536	74364	74456	74402	93	2335	34
12h	C6	LT934125.1	+	555	76677	76749	76683	73	222	35
12h	C6	LT934125.1	+	563	78002	78065	78044	64	355	36
12h	C6	LT934125.1	+	578	79413	79456	79444	44	3003	37
12h	C6	LT934125.1	+	663	91399	91463	91409	65	280	38
12h	C6	LT934125.1	+	755	107468	107508	107482	41	118	39
12h	C6	LT934125.1	+	791	114933	115003	114985	71	8781	40
12h	C6	LT934125.1	+	792	115009	115056	115012	48	130	41
12h	C6	LT934125.1	+	808	116367	116438	116429	72	94	42
12h	C6	LT934125.1	+	812	116640	116730	116715	91	91	43
12h	C6	LT934125.1	+	813	116736	116807	116791	72	141	44
12h	C6	LT934125.1	+	819	117516	117613	117607	98	76	45
12h	C6	LT934125.1	+	820	117708	117800	117769	93	74	46
12h	C6	LT934125.1	+	832	118846	118938	118864	93	10570	47
12h	C6	LT934125.1	+	846	119897	119988	119941	92	85	48
12h	C6	LT934125.1	+	852	120483	120575	120555	93	340	49
12h	C6	LT934125.1	+	865	121782	121868	121784	87	1353	50
12h	C6	LT934125.1	+	877	122978	123065	122979	88	1013	51
12h	C6	LT934125.1	+	894	124517	124584	124563	68	74	52
12h	C6	LT934125.1	+	897	124725	124770	124756	46	1188	53
12h	C6	LT934125.1	+	903	125189	125238	125225	50	4925	54
12h	C6	LT934125.1	+	924	127987	128073	128061	87	110	55
12h	C6	LT934125.1	+	925	128076	128136	128083	61	74	56
