seqnames	strand	gene	cluster	TC.start	TC.end	TC.width	support	score	mean_shape	min_shape	max_shape	consensus_peak	min_peak	max_peak	hpi_samples	cell_lines	dcDNA_TC_significance
LT934125.1	+	TC_1	1	1789	1789	0	1	54.540496	0	0	0	1789	1789	1789	6h	C6	*
LT934125.1	+	TC_10	10	11996	12012	12	9	565.806258	0	0	8.67836846429158	12001	11996	12008	12h, 6h, 4h, 8h	C6, PC_12, PK_15	**
LT934125.1	+	TC_100	100	115391	115410	19	2	63.649237	0	0	0	115400	115391	115410	12h, 4h	C6, PC_12	*
LT934125.1	+	TC_101	101	115495	115528	33	5	145.337811	0	0	0	115518	115495	115528	6h, 4h, 12h, 8h	C6, PC_12, PK_15	**
LT934125.1	+	TC_102	102	115569	115569	0	1	430.663221	0	0	0	115569	115569	115569	2.5h	PC_12	*
LT934125.1	+	TC_103	103	115633	115633	0	1	508.388409	0	0	0	115633	115633	115633	2h	C6	*
LT934125.1	+	TC_104	104	115663	115676	8	2	59.6198	0	0	2.54677779500805	115667	115663	115671	8h, 6h	C6, PK_15	*
LT934125.1	+	TC_105	105	115700	115731	22	6	1964.4418	0	0	10.354479562543	115714	115700	115722	12h, 2h, 4h, 6h, 2.5h	C6, PC_12	**
LT934125.1	+	TC_106	106	115754	115775	21	2	338.147983	0	0	0	115764	115754	115775	4h, 6h	C6	**
LT934125.1	+	TC_107	107	115863	115885	22	5	282.061363	0	0	3.58496250072116	115876	115863	115885	12h, 6h, 4h, 2h	C6, PC_12, PK_15	**
LT934125.1	+	TC_108	108	115924	115929	5	2	160.555744	0	0	1	115926	115924	115929	6h, 4h	C6, PC_12	**
LT934125.1	+	TC_109	109	115968	116003	0	1	218.161984	10.3398500028846	10.3398500028846	10.3398500028846	115968	115968	115968	6h	C6	*
LT934125.1	+	TC_11	11	12077	12092	10	10	838.873126	0	0	7.9238883329054	12085	12077	12087	12h, 6h, 4h, 8h	C6, PC_12, PK_15	***
LT934125.1	+	TC_110	110	116075	116075	0	1	54.540496	0	0	0	116075	116075	116075	6h	C6	*
LT934125.1	+	TC_111	111	116108	116108	0	1	51.474752	0	0	0	116108	116108	116108	4h	PC_12	*
LT934125.1	+	TC_112	112	116189	116189	0	1	54.540496	0	0	0	116189	116189	116189	6h	C6	*
LT934125.1	+	TC_113	113	116257	116257	0	1	54.540496	0	0	0	116257	116257	116257	6h	C6	*
LT934125.1	+	TC_114	114	116378	116470	45	19	18578.302421	0	0	23.1592042162047	116439	116417	116462	12h, 2h, 4h, 6h, 8h, 1h, 2.5h	C6, NRK, PC_12, PK_15	***
LT934125.1	+	TC_115	115	116494	116512	18	5	555.200565	0	0	8.9854435874247	116502	116494	116512	12h, 2h, 4h, 6h	PC_12, PK_15	**
LT934125.1	+	TC_116	116	116558	116572	5	13	2288.015798	0	0	4.982892159347	116564	116560	116565	12h, 1h, 8h, 2h, 4h, 6h	C6, PC_12, PK_15	***
LT934125.1	+	TC_117	117	116615	116707	18	10	53884.603204	0	0	25.0635536518426	116629	116621	116639	1h, 2h, 4h, 6h, 2.5h	C6, PC_12, PK_15	***
LT934125.1	+	TC_118	118	116619	116754	15	13	85682.472622	0	0	33.2200704461739	116674	116669	116684	12h, 4h, 8h, 1.5h, 1h, 2.5h, 2h	C6, PC_12, PK_15	***
LT934125.1	+	TC_119	119	116619	116754	22	17	85696.817641	0	0	32.9799973178004	116735	116728	116750	12h, 1h, 4h, 6h, 8h, 0.5h, 1.5h, 2.5h, 2h	C6, PC_12, PK_15	***
LT934125.1	+	TC_12	12	12166	12177	3	9	1459.583808	0	0	6.20724918161967	12169	12168	12171	12h, 8h, 4h, 6h	C6, PC_12, PK_15	***
LT934125.1	+	TC_120	120	116837	116837	0	1	54.540496	0	0	0	116837	116837	116837	6h	C6	*
LT934125.1	+	TC_121	121	116937	116962	0	23	1187622.083052	0	0	1.16852966640376	116962	116962	116962	12h, 1h, 2h, 4h, 6h, 8h, 0.5h, 1.5h, 2.5h	C6, NRK, PC_12, PK_15	***
LT934125.1	+	TC_122	122	117026	117026	0	1	51.474752	0	0	0	117026	117026	117026	4h	PC_12	*
LT934125.1	+	TC_123	123	119498	119498	0	1	54.540496	0	0	0	119498	119498	119498	6h	C6	*
LT934125.1	+	TC_124	124	119923	119923	0	1	13.527004	0	0	0	119923	119923	119923	12h	PC_12	*
LT934125.1	+	TC_125	125	120049	120049	0	1	261.437908	0	0	0	120049	120049	120049	2h	PC_12	*
LT934125.1	+	TC_126	126	120404	120404	0	1	54.540496	0	0	0	120404	120404	120404	6h	C6	*
LT934125.1	+	TC_127	127	120462	120478	0	23	1683816.66367	1.83659166810231	1.83659166810231	4.06785387158416	120477	120477	120477	12h, 1h, 2h, 4h, 6h, 8h, 0.5h, 1.5h, 2.5h	C6, NRK, PC_12, PK_15	***
LT934125.1	+	TC_128	128	120564	120564	0	1	261.437908	0	0	0	120564	120564	120564	2h	PC_12	*
LT934125.1	+	TC_129	129	122409	122409	0	1	54.540496	0	0	0	122409	122409	122409	6h	C6	*
LT934125.1	+	TC_13	13	12221	12235	8	2	115.992027	0	0	2.69853231353071	12231	12227	12235	12h, 2h	C6, PK_15	**
LT934125.1	+	TC_130	130	122462	122462	0	1	283.607487	0	0	0	122462	122462	122462	4h	C6	*
LT934125.1	+	TC_131	131	122898	122916	0	22	340294.670944	1.33315671595076	1.33315671595076	4.06116642219662	122915	122915	122915	12h, 1h, 2h, 4h, 6h, 8h, 1.5h, 2.5h	C6, NRK, PC_12, PK_15	***
LT934125.1	+	TC_132	132	122956	122956	0	1	430.663221	0	0	0	122956	122956	122956	2.5h	PC_12	*
LT934125.1	+	TC_133	133	124451	124451	0	1	51.474752	0	0	0	124451	124451	124451	4h	PC_12	*
LT934125.1	+	TC_134	134	124808	124808	0	1	25.623615	0	0	0	124808	124808	124808	6h	PC_12	*
LT934125.1	+	TC_135	135	125131	125131	0	3	156.640526	0	0	0	125131	125131	125131	6h, 8h, 12h	C6, PC_12, PK_15	**
LT934125.1	+	TC_136	136	125220	125242	0	22	308634.390524	0	0	5.6398948456454	125230	125230	125230	12h, 1h, 2h, 4h, 6h, 8h, 1.5h, 2.5h	C6, NRK, PC_12, PK_15	***
LT934125.1	+	TC_137	137	125618	125618	0	1	84.338366	0	0	0	125618	125618	125618	2h	PK_15	*
LT934125.1	+	TC_138	138	125876	125876	0	1	51.474752	0	0	0	125876	125876	125876	4h	PC_12	*
LT934125.1	+	TC_139	139	126137	126154	0	23	1064303.084284	0	0	4.26519146781086	126151	126151	126151	12h, 1h, 2h, 4h, 6h, 8h, 0.5h, 1.5h, 2.5h	C6, NRK, PC_12, PK_15	***
LT934125.1	+	TC_14	14	15554	15554	0	1	22.858188	0	0	0	15554	15554	15554	8h	PC_12	*
LT934125.1	+	TC_140	140	126457	126467	0	9	2661.372417	0	0	4.68266711174451	126462	126462	126462	12h, 1h, 8h, 1.5h, 4h, 6h	C6, PC_12, PK_15	***
LT934125.1	+	TC_141	141	127001	127001	0	1	51.474752	0	0	0	127001	127001	127001	4h	PC_12	*
LT934125.1	+	TC_142	142	127069	127069	0	1	261.437908	0	0	0	127069	127069	127069	2h	PC_12	*
LT934125.1	+	TC_143	143	127109	127131	21	17	8432.035269	0	0	5.56999985547025	127116	127110	127131	12h, 1h, 2h, 4h, 6h, 8h, 2.5h	C6, PC_12, PK_15	***
LT934125.1	+	TC_144	144	127174	127189	15	5	379.142863	0	0	0	127177	127174	127189	12h, 2h, 4h, 8h	C6, PC_12, PK_15	**
LT934125.1	+	TC_145	145	127252	127252	0	1	25.623615	0	0	0	127252	127252	127252	6h	PC_12	*
LT934125.1	+	TC_146	146	127362	127362	0	1	51.474752	0	0	0	127362	127362	127362	4h	PC_12	*
LT934125.1	+	TC_147	147	127464	127464	0	3	49.342415	0	0	0	127464	127464	127464	12h, 6h, 8h	PK_15	*
LT934125.1	+	TC_148	148	127553	127553	0	1	84.338366	0	0	0	127553	127553	127553	2h	PK_15	*
LT934125.1	+	TC_149	149	127618	127642	24	2	67.012714	0	0	0	127630	127618	127642	6h, 8h	C6, PK_15	*
LT934125.1	+	TC_15	15	15608	15612	0	1	38.958351	2.21612714257854	2.21612714257854	2.21612714257854	15612	15612	15612	12h	C6	*
LT934125.1	+	TC_150	150	127693	127693	0	1	84.338366	0	0	0	127693	127693	127693	2h	PK_15	*
LT934125.1	+	TC_151	151	127750	127750	0	1	25.154828	0	0	0	127750	127750	127750	6h	PK_15	*
LT934125.1	+	TC_152	152	127837	127837	0	1	261.437908	0	0	0	127837	127837	127837	2h	PC_12	*
LT934125.1	+	TC_153	153	128130	128130	0	1	54.540496	0	0	0	128130	128130	128130	6h	C6	*
LT934125.1	+	TC_154	154	128732	128732	0	1	15.092897	0	0	0	128732	128732	128732	6h	PK_15	*
LT934125.1	+	TC_155	155	131296	131296	0	1	51.474752	0	0	0	131296	131296	131296	4h	PC_12	
LT934125.1	+	TC_156	156	131952	131952	0	1	430.663221	0	0	0	131952	131952	131952	2.5h	PC_12	
LT934125.1	+	TC_157	157	133508	133515	6	13	21962.283193	0	0	4.44955227767627	133510	133508	133514	6h, 8h, 0.5h, 12h, 1h, 2h, 4h	C6, PC_12, PK_15	
LT934125.1	+	TC_158	158	134958	134958	0	1	51.474752	0	0	0	134958	134958	134958	4h	PC_12	
LT934125.1	+	TC_159	159	135216	135216	0	1	51.474752	0	0	0	135216	135216	135216	4h	PC_12	
LT934125.1	+	TC_16	16	15744	15744	0	3	38.54121	0	0	0	15744	15744	15744	12h, 8h	C6, PK_15	*
LT934125.1	+	TC_160	160	135580	135580	0	1	25.623615	0	0	0	135580	135580	135580	6h	PC_12	
LT934125.1	+	TC_161	161	136215	136215	0	1	54.540496	0	0	0	136215	136215	136215	6h	C6	*
LT934125.1	+	TC_162	162	136599	136599	0	1	54.540496	0	0	0	136599	136599	136599	6h	C6	*
LT934125.1	+	TC_163	163	136688	136688	0	1	84.338366	0	0	0	136688	136688	136688	2h	PK_15	*
LT934125.1	+	TC_164	164	137655	137655	0	1	54.540496	0	0	0	137655	137655	137655	6h	C6	*
LT934125.1	+	TC_165	165	138326	138326	0	1	748.502994	0	0	0	138326	138326	138326	1h	PK_15	*
LT934125.1	+	TC_166	166	141344	141360	2	23	569518.064749	0	0	4.09706862941342	141356	141354	141356	12h, 1h, 2h, 4h, 6h, 8h, 0.5h, 1.5h, 2.5h	C6, NRK, PC_12, PK_15	***
LT934125.1	+	TC_167	167	141404	141404	0	1	84.338366	0	0	0	141404	141404	141404	2h	PK_15	*
LT934125.1	+	TC_168	168	142452	142452	0	1	51.474752	0	0	0	142452	142452	142452	4h	PC_12	*
LT934125.1	+	TC_17	17	15782	15782	0	1	748.502994	0	0	0	15782	15782	15782	1h	PK_15	*
LT934125.1	+	TC_18	18	16209	16228	0	23	759674.267904	0	0	3.6476343209443	16224	16224	16224	12h, 1h, 2h, 4h, 6h, 8h, 0.5h, 1.5h, 2.5h	C6, NRK, PC_12, PK_15	***
LT934125.1	+	TC_19	19	28614	28633	1	21	39727.818003	0	0	2.51210612869226	28632	28631	28632	12h, 1h, 2h, 4h, 6h, 8h, 1.5h, 2.5h	C6, NRK, PC_12, PK_15	***
LT934125.1	+	TC_2	2	2259	2275	1	23	469991.551327	0.743340428785194	0.743340428785194	3.73964455027798	2273	2272	2273	12h, 1h, 2h, 4h, 6h, 8h, 0.5h, 1.5h, 2.5h	C6, NRK, PC_12, PK_15	***
LT934125.1	+	TC_20	20	28877	28877	0	1	54.540496	0	0	0	28877	28877	28877	6h	C6	*
LT934125.1	+	TC_21	21	28947	28947	0	1	84.338366	0	0	0	28947	28947	28947	2h	PK_15	*
LT934125.1	+	TC_22	22	32187	32187	0	1	84.338366	0	0	0	32187	32187	32187	2h	PK_15	*
LT934125.1	+	TC_23	23	32276	32276	0	1	25.623615	0	0	0	32276	32276	32276	6h	PC_12	*
