dcDNA_TC_ID	seqnames	strand	transcript_id	exon_number	start.TR	end.TR	start.exon	end.exon	start	end	prime5.TR	prime5.ex	prime3.TR	prime3.ex	last_exon	source	TC.start	TC.end	support	score	consensus_peak	dcDNA_TC_significance
	LT934125.1	+	ELIE-1	1	100549	102393	100549	102393	100549	102393	100549	100549	102393	102393	TRUE	NAGATA						
	LT934125.1	+	ELIE-2	1	101661	102393	101661	102393	101661	102393	101661	101661	102393	102393	TRUE	NAGATA						
	LT934125.1	+	NOIR-1S3	1	108030	108830	108030	108830	108030	108830	108030	108030	108830	108830	TRUE	NAGATA						
	LT934125.1	+	NOIR1-L	1	105212	108829	105212	108829	105212	108829	105212	105212	108829	108829	TRUE	NAGATA						
	LT934125.1	+	ORF-1L1	1	419	2273	419	2273	419	2273	419	419	2273	2273	TRUE	NAGATA						
	LT934125.1	+	ORF-1L2	1	227	2273	227	2273	227	2273	227	227	2273	2273	TRUE	NAGATA						
	LT934125.1	+	ORF-1M1-S	1	1496	2273	1496	2273	1496	2273	1496	1496	2273	2273	TRUE	NAGATA						
	LT934125.1	+	UL14L-13-12	1	75675	79955	75675	79955	75675	79955	75675	75675	79955	79955	TRUE	NAGATA						
	LT934125.1	+	UL19.11	1	66959	70521	66959	70521	66959	70521	66959	66959	70521	70521	TRUE	NAGATA						
	LT934125.1	+	UL19.27	1	68910	70521	68910	70521	68910	70521	68910	68910	70521	70521	TRUE	NAGATA						
	LT934125.1	+	UL19.9	1	66797	70521	66797	70521	66797	70521	66797	66797	70521	70521	TRUE	NAGATA						
	LT934125.1	+	UL1L-2-3-3.5	1	92069	95694	92069	95694	92069	95694	92069	92069	95694	95694	TRUE	NAGATA						
	LT934125.1	+	UL21-as	1	63850	65656	63850	65656	63850	65656	63850	63850	65656	65656	TRUE	NAGATA						
	LT934125.1	+	UL25-24-23	1	55896	60251	55896	60251	55896	60251	55896	55896	60251	60251	TRUE	NAGATA						
	LT934125.1	+	UL32-33-34-35	1	28636	32415	28636	32415	28636	32415	28636	28636	32415	32415	TRUE	NAGATA						
	LT934125.1	+	UL37-38	1	39430	46038	39430	46038	39430	46038	39430	39430	46038	46038	TRUE	NAGATA						
	LT934125.1	+	UL40-L18	1	47203	49647	47203	49647	47203	49647	47203	47203	49647	49647	TRUE	NAGATA						
	LT934125.1	+	UL40-L20	1	47168	49647	47168	49647	47168	49647	47168	47168	49647	49647	TRUE	NAGATA						
	LT934125.1	+	UL40-L21	1	46754	49647	46754	49647	46754	49647	46754	46754	49647	49647	TRUE	NAGATA						
	LT934125.1	+	UL40-L9	1	47655	49647	47655	49647	47655	49647	47655	47655	49647	49647	TRUE	NAGATA						
	LT934125.1	+	UL41-42	1	49894	52434	49894	52434	49894	52434	49894	49894	52434	52434	TRUE	NAGATA						
	LT934125.1	+	UL42-43-L	1	50133	53594	50133	53594	50133	53594	50133	50133	53594	53594	TRUE	NAGATA						
	LT934125.1	+	UL44.4-S17	1	54497	55161	54497	55161	54497	55161	54497	54497	55161	55161	TRUE	NAGATA						
	LT934125.1	+	UL44.4-S18	1	54519	55161	54519	55161	54519	55161	54519	54519	55161	55161	TRUE	NAGATA						
	LT934125.1	+	UL44.4-S7	1	54165	55161	54165	55161	54165	55161	54165	54165	55161	55161	TRUE	NAGATA						
	LT934125.1	+	UL46-L8	1	12812	16224	12812	16224	12812	16224	12812	12812	16224	16224	TRUE	NAGATA						
	LT934125.1	+	UL46-L9	1	12406	16224	12406	16224	12406	16224	12406	12406	16224	16224	TRUE	NAGATA						
	LT934125.1	+	UL46.10	1	14307	16224	14307	16224	14307	16224	14307	14307	16224	16224	TRUE	NAGATA						
	LT934125.1	+	UL48	1	10467	11912	10467	11912	10467	11912	10467	10467	11912	11912	TRUE	NAGATA						
	LT934125.1	+	UL50-49.5-49	1	8597	10426	8597	10426	8597	10426	8597	8597	10426	10426	TRUE	NAGATA						
	LT934125.1	+	UL51L-50-49.5-49	1	7475	10426	7475	10426	7475	10426	7475	7475	10426	10426	TRUE	NAGATA						
	LT934125.1	+	UL8-L2	1	82509	86167	82509	86167	82509	86167	82509	82509	86167	86167	TRUE	NAGATA						
	LT934125.1	+	UL8.5-S	1	85607	86167	85607	86167	85607	86167	85607	85607	86167	86167	TRUE	NAGATA						
	LT934125.1	+	US1-splice-L	1	114001	116961	114001	115138	114001	116961	114001	114001	116961	115138	FALSE	NAGATA						
	LT934125.1	+	US1-splice-L	2	114001	116961	115256	115308	114001	116961	114001	115256	116961	115308	FALSE	NAGATA						
	LT934125.1	+	US1-splice-L	3	114001	116961	115464	116961	114001	116961	114001	115464	116961	116961	TRUE	NAGATA						
	LT934125.1	+	US4.3	1	119127	120477	119127	120477	119127	120477	119127	119127	120477	120477	TRUE	NAGATA						
	LT934125.1	+	US4.5-S	1	119404	120477	119404	120477	119404	120477	119404	119404	120477	120477	TRUE	NAGATA						
