cluster	group	chr	start	end	strand	dominant_tss	tags	tags.dominant_tss	q_0.1	q_0.9	interquantile_width	shape.score	cluster_width	hpi	cell_line	Time	TC.start	TC.end	consensus_peak	min_peak	max_peak	mean_shape	min_shape	max_shape	support	score	hpi_samples	cell_lines	peak_shift	TC.width
1	PK_15_4h	LT934125.1	775	775	+	775	62.932662	62.932662	775	775	1	0	1	4h	PK_15	4	775	775	775	775	775	0	0	0	1	62.932662	4h	PK_15	0	0
2	PC_12_4h	LT934125.1	949	949	+	949	241.779497	241.779497	949	949	1	0	1	4h	PC_12	4	949	949	949	949	949	0	0	0	1	241.779497	4h	PC_12	0	0
3	C6_12h	LT934125.1	986	990	+	990	3083.303773	2974.160277	990	990	1	0	5	12h	C6	12	985	990	990	987	990	0	0	1.49319665010434	6	23498.565689	12h, 4h	C6, PC_12, PK_15	0	3
3	C6_4h	LT934125.1	987	990	+	990	9085.746735	8517.887564	990	990	1	0	4	4h	C6	4	985	990	990	987	990	0	0	1.49319665010434	6	23498.565689	12h, 4h	C6, PC_12, PK_15	0	3
3	PC_12_12h	LT934125.1	987	990	+	990	2539.458816	2320.749444	990	990	1	0	4	12h	PC_12	12	985	990	990	987	990	0	0	1.49319665010434	6	23498.565689	12h, 4h	C6, PC_12, PK_15	0	3
3	PC_12_4h	LT934125.1	988	990	+	990	4352.030948	4110.251451	990	990	1	0	3	4h	PC_12	4	985	990	990	987	990	0	0	1.49319665010434	6	23498.565689	12h, 4h	C6, PC_12, PK_15	0	3
3	PK_15_12h	LT934125.1	985	987	+	987	1480.190301	1404.560139	987	987	1	0	3	12h	PK_15	12	985	990	990	987	990	0	0	1.49319665010434	6	23498.565689	12h, 4h	C6, PC_12, PK_15	3	3
3	PK_15_4h	LT934125.1	986	990	+	990	2957.835116	2454.37382	987	990	4	1.49319665010434	5	4h	PK_15	4	985	990	990	987	990	0	0	1.49319665010434	6	23498.565689	12h, 4h	C6, PC_12, PK_15	0	3
4	C6_12h	LT934125.1	1033	1035	+	1035	109.143496	81.857622	1033	1035	3	1.28584540492312	3	12h	C6	12	1033	1035	1035	1035	1035	1.28584540492312	1.28584540492312	1.28584540492312	1	109.143496	12h	C6	0	0
5	PK_15_4h	LT934125.1	1108	1108	+	1108	62.932662	62.932662	1108	1108	1	0	1	4h	PK_15	4	1108	1108	1108	1108	1108	0	0	0	1	62.932662	4h	PK_15	0	0
6	C6_12h	LT934125.1	1174	1174	+	1174	27.285874	27.285874	1174	1174	1	0	1	12h	C6	12	1174	1174	1174	1174	1174	0	0	0	1	27.285874	12h	C6	0	0
7	C6_12h	LT934125.1	1260	1260	+	1260	27.285874	27.285874	1260	1260	1	0	1	12h	C6	12	1257	1260	1258	1257	1260	0	0	0	2	90.218536	12h, 4h	C6, PK_15	-2	3
7	PK_15_4h	LT934125.1	1257	1257	+	1257	62.932662	62.932662	1257	1257	1	0	1	4h	PK_15	4	1257	1260	1258	1257	1260	0	0	0	2	90.218536	12h, 4h	C6, PK_15	1	3
8	C6_12h	LT934125.1	1332	1339	+	1339	327.430489	136.429371	1332	1339	8	6.16375550076101	8	12h	C6	12	1327	1339	1336	1334	1339	1.5695159675136	1.5695159675136	6.16375550076101	6	6740.009665	12h, 4h	C6, PC_12, PK_15	-3	5
8	C6_4h	LT934125.1	1334	1337	+	1334	1135.718342	567.859171	1334	1337	4	2	4	4h	C6	4	1327	1339	1336	1334	1339	1.5695159675136	1.5695159675136	6.16375550076101	6	6740.009665	12h, 4h	C6, PC_12, PK_15	2	5
8	PC_12_12h	LT934125.1	1327	1339	+	1337	364.515619	255.160934	1334	1337	4	1.78599070877942	13	12h	PC_12	12	1327	1339	1336	1334	1339	1.5695159675136	1.5695159675136	6.16375550076101	6	6740.009665	12h, 4h	C6, PC_12, PK_15	-1	5
8	PC_12_4h	LT934125.1	1332	1337	+	1336	967.117988	483.558994	1332	1337	6	3.87744375108173	6	4h	PC_12	4	1327	1339	1336	1334	1339	1.5695159675136	1.5695159675136	6.16375550076101	6	6740.009665	12h, 4h	C6, PC_12, PK_15	0	5
8	PK_15_12h	LT934125.1	1334	1339	+	1334	169.267504	144.05745	1334	1339	6	1.5695159675136	6	12h	PK_15	12	1327	1339	1336	1334	1339	1.5695159675136	1.5695159675136	6.16375550076101	6	6740.009665	12h, 4h	C6, PC_12, PK_15	2	5
8	PK_15_4h	LT934125.1	1331	1339	+	1337	3775.959723	1699.181875	1334	1339	6	4.60994925530757	9	4h	PK_15	4	1327	1339	1336	1334	1339	1.5695159675136	1.5695159675136	6.16375550076101	6	6740.009665	12h, 4h	C6, PC_12, PK_15	-1	5
9	C6_12h	LT934125.1	1382	1382	+	1382	54.571748	54.571748	1382	1382	1	0	1	12h	C6	12	1379	1382	1381	1379	1382	0	0	0	3	141.805451	12h, 4h	C6, PC_12, PK_15	-1	3
9	PC_12_12h	LT934125.1	1381	1381	+	1381	24.301041	24.301041	1381	1381	1	0	1	12h	PC_12	12	1379	1382	1381	1379	1382	0	0	0	3	141.805451	12h, 4h	C6, PC_12, PK_15	0	3
9	PK_15_4h	LT934125.1	1379	1379	+	1379	62.932662	62.932662	1379	1379	1	0	1	4h	PK_15	4	1379	1382	1381	1379	1382	0	0	0	3	141.805451	12h, 4h	C6, PC_12, PK_15	2	3
10	C6_12h	LT934125.1	1469	1469	+	1469	27.285874	27.285874	1469	1469	1	0	1	12h	C6	12	1469	1469	1469	1469	1469	0	0	0	2	90.218536	12h, 4h	C6, PK_15	0	0
10	PK_15_4h	LT934125.1	1469	1469	+	1469	62.932662	62.932662	1469	1469	1	0	1	4h	PK_15	4	1469	1469	1469	1469	1469	0	0	0	2	90.218536	12h, 4h	C6, PK_15	0	0
11	PC_12_12h	LT934125.1	1501	1501	+	1501	48.602083	48.602083	1501	1501	1	0	1	12h	PC_12	12	1501	1501	1501	1501	1501	0	0	0	1	48.602083	12h	PC_12	0	0
12	C6_12h	LT934125.1	1597	1603	+	1600	900.433845	627.575104	1600	1603	4	1.99737968806911	7	12h	C6	12	1597	1604	1600	1599	1600	0	0	3.53380760191737	6	4814.66339	12h, 4h	C6, PC_12, PK_15	0	1
12	C6_4h	LT934125.1	1600	1600	+	1600	1703.577513	1703.577513	1600	1600	1	0	1	4h	C6	4	1597	1604	1600	1599	1600	0	0	3.53380760191737	6	4814.66339	12h, 4h	C6, PC_12, PK_15	0	1
