hpi	cell_line	seqnames	strand	cluster	cluster_start	cluster_end	cluster_peak	cluster_width	cluster_total_count	cluster_ratio	meta_cluster
4h	PC-12	LT934125.1	+	1	779	782	779	4	6	0.000602288697048785	1
12h	PK-15	LT934125.1	+	4	940	1028	990	89	407	0.000931350114416476	2
8h	C6	LT934125.1	+	4	952	1007	990	56	67	0.00216303470540759	2
12h	PC-12	LT934125.1	+	3	955	1019	990	65	161	0.00109892360092009	2
12h	C6	LT934125.1	+	3	959	1038	990	80	369	0.00258061808950339	2
6h	PC-12	LT934125.1	+	3	959	994	990	36	83	0.00221203560577794	2
6h	C6	LT934125.1	+	3	960	997	990	38	71	0.0061233290211298	2
4h	PC-12	LT934125.1	+	2	960	994	990	35	24	0.00240915478819514	2
6h	PK-15	LT934125.1	+	2	962	1033	990	72	136	0.00109678303857289	2
8h	PC-12	LT934125.1	+	2	978	1001	990	24	56	0.00175559596212929	2
4h	PK-15	LT934125.1	+	3	978	1036	990	59	20	0.000811886011204027	2
8h	PK-15	LT934125.1	+	3	978	1028	990	51	267	0.00117105776779723	2
4h	C6	LT934125.1	+	2	982	990	990	9	17	0.00893326326852339	2
8h	C6	LT934125.1	+	5	1292	1375	1337	84	142	0.00458434221146086	3
8h	PK-15	LT934125.1	+	6	1292	1376	1337	85	367	0.00160965618270256	3
12h	C6	LT934125.1	+	6	1295	1375	1337	81	219	0.00153158634580282	3
12h	PC-12	LT934125.1	+	6	1295	1369	1337	75	121	0.000825899103797088	3
2h	PC-12	LT934125.1	+	2	1295	1393	1337	99	34	0.0226817878585724	3
1.5h	PC-12	LT934125.1	+	2	1302	1345	1337	44	13	0.0287610619469027	3
2.5h	PC-12	LT934125.1	+	2	1302	1358	1334	57	28	0.0207253886010363	3
4h	PK-15	LT934125.1	+	4	1305	1340	1337	36	189	0.00767232280587806	3
6h	C6	LT934125.1	+	5	1314	1396	1337	83	76	0.00655454937473049	3
8h	PC-12	LT934125.1	+	5	1325	1412	1337	88	97	0.00304094300583109	3
6h	PK-15	LT934125.1	+	5	1326	1369	1337	44	384	0.00309679916773522	3
2h	PK-15	LT934125.1	+	1	1331	1429	1337	99	57	0.0206372194062274	3
1h	C6	LT934125.1	+	2	1332	1337	1334	6	11	0.0169491525423729	3
2h	C6	LT934125.1	+	4	1334	1351	1337	18	15	0.0175849941383353	3
4h	C6	LT934125.1	+	3	1334	1393	1334	60	13	0.00683131897004729	3
2h	NRK	LT934125.1	+	3	1334	1339	1334	6	5	0.0161812297734628	3
1h	PC-12	LT934125.1	+	1	1334	1339	1337	6	11	0.0244988864142539	3
