chr	strand	gene	group	cluster	start	end	dominant_tss	tags	tags.dominant_tss	q_0.1	q_0.9	interquantile_width	inCoding	cluster_width	hpi	cell_line	Time	dominant_TC	CDS_start	CDS_end	CDS_prime5	CDS_prime3	TSS_CDS_dist	closest_TC	gene_mean_dominant_TSS	gene_dominant_TSS_shift	gene_mean_shift_TSS	gene_sd_shift_TSS	gene_varcoeff_shif_TSS
LT934125.1	+	ELIE	PC_12_4h	790	100437	100437	100437	241.779497	241.779497	100437	100437	1		1	4h	PC_12	4	790	100549	102393	100549	102393	112	790	100437	0	0	0	
LT934125.1	+	ELIE	PK_15_4h	790	100437	100437	100437	62.932662	62.932662	100437	100437	1		1	4h	PK_15	4	790	100549	102393	100549	102393	112	790	100437	0	0	0	
LT934125.1	+	IE180_2	C6_12h	1112	136342	136348	136345	873.147971	682.146853	136345	136347	3		7	12h	C6	12	1112	136420	140772	136420	140772	75	1112	136346	1	2.83333333333333	2.56255081250434	0.904429698530944
LT934125.1	+	IE180_2	C6_4h	1112	136338	136338	136338	567.859171	567.859171	136338	136338	1		1	4h	C6	4	1112	136420	140772	136420	140772	82	1112	136346	8	2.83333333333333	2.56255081250434	0.904429698530944
LT934125.1	+	IE180_2	PC_12_12h	1112	136335	136351	136348	1057.095296	704.730198	136345	136349	5		17	12h	PC_12	12	1112	136420	140772	136420	140772	72	1112	136346	-2	2.83333333333333	2.56255081250434	0.904429698530944
LT934125.1	+	IE180_2	PC_12_4h	1112	136345	136349	136348	2659.574468	1934.235977	136348	136349	2		5	4h	PC_12	4	1112	136420	140772	136420	140772	72	1112	136346	-2	2.83333333333333	2.56255081250434	0.904429698530944
LT934125.1	+	IE180_2	PK_15_12h	1112	136337	136351	136348	601.439854	432.17235	136344	136348	5		15	12h	PK_15	12	1112	136420	140772	136420	140772	72	1112	136346	-2	2.83333333333333	2.56255081250434	0.904429698530944
LT934125.1	+	IE180_2	PK_15_4h	1112	136335	136351	136348	6607.929514	4908.74764	136339	136348	10		17	4h	PK_15	4	1112	136420	140772	136420	140772	72	1112	136346	-2	2.83333333333333	2.56255081250434	0.904429698530944
LT934125.1	+	NOIR	C6_12h	825	107473	107482	107482	8731.479712	8595.050342	107482	107482	1		10	12h	C6	12	825	107483	108830	107483	108830	1	825	107482	0	0	0	
LT934125.1	+	NOIR	C6_4h	825	107482	107485	107482	4542.873367	3975.014196	107482	107485	4		4	4h	C6	4	825	107483	108830	107483	108830	1	825	107482	0	0	0	
LT934125.1	+	NOIR	PC_12_12h	825	107479	107482	107482	12587.939393	12551.487831	107482	107482	1		4	12h	PC_12	12	825	107483	108830	107483	108830	1	825	107482	0	0	0	
LT934125.1	+	NOIR	PC_12_4h	825	107482	107486	107482	8704.061895	7736.943907	107482	107483	2		5	4h	PC_12	4	825	107483	108830	107483	108830	1	825	107482	0	0	0	
LT934125.1	+	NOIR	PK_15_12h	825	107473	107482	107482	7739.486507	7710.675017	107482	107482	1		10	12h	PK_15	12	825	107483	108830	107483	108830	1	825	107482	0	0	0	
LT934125.1	+	NOIR	PK_15_4h	825	107479	107482	107482	16740.088106	16677.155444	107482	107482	1		4	4h	PK_15	4	825	107483	108830	107483	108830	1	825	107482	0	0	0	
LT934125.1	+	ORF-1	C6_12h	12	1597	1603	1600	900.433845	627.575104	1600	1603	4		7	12h	C6	12	12	1623	2243	1623	2243	23	12	1600	0	0.166666666666667	0.408248290463863	2.44948974278318
LT934125.1	+	ORF-1	C6_4h	12	1600	1600	1600	1703.577513	1703.577513	1600	1600	1		1	4h	C6	4	12	1623	2243	1623	2243	23	12	1600	0	0.166666666666667	0.408248290463863	2.44948974278318
LT934125.1	+	ORF-1	PC_12_12h	12	1600	1603	1600	656.128115	546.773429	1600	1603	4		4	12h	PC_12	12	12	1623	2243	1623	2243	23	12	1600	0	0.166666666666667	0.408248290463863	2.44948974278318
