group	cluster	chr	start	end	strand	dominant_tes	tags	tags.dominant_tes	q_0.1	q_0.9	interquantile_width	shape.score	cluster_width	hpi	cell_line	Time
C6_dRNA	1	LT934125.1	2266	2275	+	2273	17297.018201	11617.400284	2273	2275	3	1.30118331445939	10	dRNA	C6	dRNA
C6_dRNA	2	LT934125.1	8519	8526	+	8519	1807.151155	1032.657803	8519	8523	5	2.23192227841236	8	dRNA	C6	dRNA
C6_dRNA	4	LT934125.1	10418	10431	+	10426	52149.219053	42726.2166	10426	10429	4	0.652180296765906	14	dRNA	C6	dRNA
C6_dRNA	5	LT934125.1	11112	11112	+	11112	129.082225	129.082225	11112	11112	1	0	1	dRNA	C6	dRNA
C6_dRNA	8	LT934125.1	13033	13033	+	13033	129.082225	129.082225	13033	13033	1	0	1	dRNA	C6	dRNA
C6_dRNA	9	LT934125.1	13193	13193	+	13193	129.082225	129.082225	13193	13193	1	0	1	dRNA	C6	dRNA
C6_dRNA	10	LT934125.1	15006	15006	+	15006	129.082225	129.082225	15006	15006	1	0	1	dRNA	C6	dRNA
C6_dRNA	11	LT934125.1	15082	15082	+	15082	129.082225	129.082225	15082	15082	1	0	1	dRNA	C6	dRNA
C6_dRNA	13	LT934125.1	16210	16226	+	16224	41822.641021	37821.092036	16224	16224	1	0	17	dRNA	C6	dRNA
C6_dRNA	15	LT934125.1	21872	21872	+	21872	129.082225	129.082225	21872	21872	1	0	1	dRNA	C6	dRNA
C6_dRNA	17	LT934125.1	28629	28632	+	28632	1161.740028	1032.657803	28629	28632	4	1.00651666782974	4	dRNA	C6	dRNA
C6_dRNA	18	LT934125.1	32406	32415	+	32415	80160.061959	63895.701562	32413	32415	3	1.31565016551312	10	dRNA	C6	dRNA
C6_dRNA	20	LT934125.1	44943	44943	+	44943	129.082225	129.082225	44943	44943	1	0	1	dRNA	C6	dRNA
C6_dRNA	21	LT934125.1	46034	46038	+	46038	10455.660256	8777.591326	46036	46038	3	0.676427953243869	5	dRNA	C6	dRNA
C6_dRNA	22	LT934125.1	46190	46190	+	46190	129.082225	129.082225	46190	46190	1	0	1	dRNA	C6	dRNA
C6_dRNA	23	LT934125.1	46297	46297	+	46297	129.082225	129.082225	46297	46297	1	0	1	dRNA	C6	dRNA
C6_dRNA	24	LT934125.1	48315	48315	+	48315	129.082225	129.082225	48315	48315	1	0	1	dRNA	C6	dRNA
C6_dRNA	25	LT934125.1	48641	48641	+	48641	129.082225	129.082225	48641	48641	1	0	1	dRNA	C6	dRNA
C6_dRNA	26	LT934125.1	48878	48885	+	48878	258.16445	129.082225	48878	48885	8	3	8	dRNA	C6	dRNA
C6_dRNA	27	LT934125.1	49164	49164	+	49164	129.082225	129.082225	49164	49164	1	0	1	dRNA	C6	dRNA
C6_dRNA	29	LT934125.1	49640	49647	+	49647	38337.420936	35239.447528	49647	49647	1	0	8	dRNA	C6	dRNA
C6_dRNA	30	LT934125.1	52426	52439	+	52435	12262.81141	6841.357945	52430	52439	10	5.20550748698154	14	dRNA	C6	dRNA
C6_dRNA	31	LT934125.1	53591	53604	+	53594	11101.071382	4001.548987	53594	53604	11	8.01499867280815	14	dRNA	C6	dRNA
C6_dRNA	32	LT934125.1	53758	53758	+	53758	129.082225	129.082225	53758	53758	1	0	1	dRNA	C6	dRNA
C6_dRNA	33	LT934125.1	54271	54271	+	54271	129.082225	129.082225	54271	54271	1	0	1	dRNA	C6	dRNA
C6_dRNA	34	LT934125.1	54412	54412	+	54412	129.082225	129.082225	54412	54412	1	0	1	dRNA	C6	dRNA
C6_dRNA	36	LT934125.1	55154	55161	+	55161	20524.073834	19362.333807	55161	55161	1	0	8	dRNA	C6	dRNA
C6_dRNA	37	LT934125.1	55271	55279	+	55271	645.411127	258.164451	55271	55279	9	4.82439791641632	9	dRNA	C6	dRNA
C6_dRNA	39	LT934125.1	60247	60254	+	60251	11230.153607	10068.413579	60251	60251	1	0	8	dRNA	C6	dRNA
C6_dRNA	40	LT934125.1	62336	62341	+	62340	10584.742481	6454.111269	62338	62340	3	1.45546446149025	6	dRNA	C6	dRNA
C6_dRNA	41	LT934125.1	63280	63280	+	63280	129.082225	129.082225	63280	63280	1	0	1	dRNA	C6	dRNA
C6_dRNA	42	LT934125.1	63577	63577	+	63577	129.082225	129.082225	63577	63577	1	0	1	dRNA	C6	dRNA
C6_dRNA	44	LT934125.1	70507	70521	+	70521	17813.347101	16135.278172	70521	70521	1	0	15	dRNA	C6	dRNA
C6_dRNA	45	LT934125.1	70709	70709	+	70709	129.082225	129.082225	70709	70709	1	0	1	dRNA	C6	dRNA
C6_dRNA	46	LT934125.1	71528	71546	+	71544	32270.556344	11359.235833	71530	71544	15	8.50999316163837	19	dRNA	C6	dRNA
C6_dRNA	49	LT934125.1	75647	75652	+	75648	3872.466761	2452.562282	75648	75652	5	3.56785754675472	6	dRNA	C6	dRNA
C6_dRNA	50	LT934125.1	76786	76786	+	76786	129.082225	129.082225	76786	76786	1	0	1	dRNA	C6	dRNA
C6_dRNA	51	LT934125.1	79987	79998	+	79996	58990.576996	49051.245643	79993	79996	4	0.845904218482002	12	dRNA	C6	dRNA
C6_dRNA	53	LT934125.1	86161	86168	+	86167	4388.795662	3743.384536	86164	86167	4	0.897728977247964	8	dRNA	C6	dRNA
C6_dRNA	55	LT934125.1	92051	92059	+	92059	5421.453465	4517.877888	92052	92059	8	2.35132145708783	9	dRNA	C6	dRNA
C6_dRNA	56	LT934125.1	95020	95020	+	95020	129.082225	129.082225	95020	95020	1	0	1	dRNA	C6	dRNA
C6_dRNA	60	LT934125.1	102587	102587	+	102587	129.082225	129.082225	102587	102587	1	0	1	dRNA	C6	dRNA
C6_dRNA	62	LT934125.1	107989	107989	+	107989	129.082225	129.082225	107989	107989	1	0	1	dRNA	C6	dRNA
C6_dRNA	63	LT934125.1	108031	108031	+	108031	129.082225	129.082225	108031	108031	1	0	1	dRNA	C6	dRNA
C6_dRNA	64	LT934125.1	108071	108071	+	108071	258.164451	258.164451	108071	108071	1	0	1	dRNA	C6	dRNA
C6_dRNA	66	LT934125.1	108229	108231	+	108229	258.16445	129.082225	108229	108231	3	1.58496250072116	3	dRNA	C6	dRNA
C6_dRNA	69	LT934125.1	108816	108830	+	108829	6970.440169	5937.782367	108828	108829	2	0.462749058644926	15	dRNA	C6	dRNA
C6_dRNA	70	LT934125.1	109987	109987	+	109987	129.082225	129.082225	109987	109987	1	0	1	dRNA	C6	dRNA
C6_dRNA	72	LT934125.1	115213	115213	+	115213	129.082225	129.082225	115213	115213	1	0	1	dRNA	C6	dRNA
C6_dRNA	73	LT934125.1	115310	115310	+	115310	129.082225	129.082225	115310	115310	1	0	1	dRNA	C6	dRNA
C6_dRNA	74	LT934125.1	115376	115376	+	115376	129.082225	129.082225	115376	115376	1	0	1	dRNA	C6	dRNA
C6_dRNA	75	LT934125.1	115664	115664	+	115664	129.082225	129.082225	115664	115664	1	0	1	dRNA	C6	dRNA
C6_dRNA	76	LT934125.1	115887	115887	+	115887	129.082225	129.082225	115887	115887	1	0	1	dRNA	C6	dRNA
C6_dRNA	77	LT934125.1	115935	115935	+	115935	129.082225	129.082225	115935	115935	1	0	1	dRNA	C6	dRNA
C6_dRNA	79	LT934125.1	116164	116164	+	116164	129.082225	129.082225	116164	116164	1	0	1	dRNA	C6	dRNA
C6_dRNA	81	LT934125.1	116372	116372	+	116372	129.082225	129.082225	116372	116372	1	0	1	dRNA	C6	dRNA
C6_dRNA	82	LT934125.1	116914	116914	+	116914	129.082225	129.082225	116914	116914	1	0	1	dRNA	C6	dRNA
C6_dRNA	83	LT934125.1	116957	116962	+	116962	1419.904478	1161.740028	116960	116962	3	0.743340427674793	6	dRNA	C6	dRNA
C6_dRNA	84	LT934125.1	118933	118933	+	118933	129.082225	129.082225	118933	118933	1	0	1	dRNA	C6	dRNA
C6_dRNA	85	LT934125.1	120469	120477	+	120477	53181.876855	40015.489867	120472	120477	6	2.43513233767752	9	dRNA	C6	dRNA
C6_dRNA	86	LT934125.1	120563	120563	+	120563	129.082225	129.082225	120563	120563	1	0	1	dRNA	C6	dRNA
C6_dRNA	87	LT934125.1	122905	122916	+	122912	18975.087131	8648.5091	122908	122915	8	4.85668762202043	12	dRNA	C6	dRNA
C6_dRNA	88	LT934125.1	123070	123070	+	123070	129.082225	129.082225	123070	123070	1	0	1	dRNA	C6	dRNA
C6_dRNA	89	LT934125.1	125225	125235	+	125230	9681.166903	8132.180199	125230	125230	1	0	11	dRNA	C6	dRNA
C6_dRNA	91	LT934125.1	126139	126151	+	126151	49696.65677	44404.28553	126148	126151	4	0.807847355071825	13	dRNA	C6	dRNA
C6_dRNA	92	LT934125.1	126462	126467	+	126462	258.16445	129.082225	126462	126467	6	2.58496250072116	6	dRNA	C6	dRNA
C6_dRNA	93	LT934125.1	126512	126512	+	126512	129.082225	129.082225	126512	126512	1	0	1	dRNA	C6	dRNA
C6_dRNA	95	LT934125.1	132111	132111	+	132111	129.082225	129.082225	132111	132111	1	0	1	dRNA	C6	dRNA
C6_dRNA	96	LT934125.1	132364	132364	+	132364	129.082225	129.082225	132364	132364	1	0	1	dRNA	C6	dRNA
C6_dRNA	99	LT934125.1	139091	139091	+	139091	129.082225	129.082225	139091	139091	1	0	1	dRNA	C6	dRNA
C6_dRNA	100	LT934125.1	141348	141359	+	141356	4517.877888	2581.644508	141350	141359	10	4.90893586613019	12	dRNA	C6	dRNA
C6_dRNA	101	LT934125.1	1399	1399	-	1399	129.082225	129.082225	1399	1399	1	0	1	dRNA	C6	dRNA
C6_dRNA	102	LT934125.1	2778	2781	-	2778	13166.386988	12133.729185	2778	2778	1	0	4	dRNA	C6	dRNA
C6_dRNA	103	LT934125.1	2922	2922	-	2922	129.082225	129.082225	2922	2922	1	0	1	dRNA	C6	dRNA
C6_dRNA	104	LT934125.1	3494	3494	-	3494	129.082225	129.082225	3494	3494	1	0	1	dRNA	C6	dRNA
