seqnames	strand	TSS	TES	NOV_TX_ID	C6_dRNA	C6_dcDNA_12h	C6_dcDNA_1h	C6_dcDNA_2h	C6_dcDNA_4h	C6_dcDNA_6h	C6_dcDNA_8h	NRK_dcDNA_12h	NRK_dcDNA_1h	NRK_dcDNA_2h	NRK_dcDNA_4h	NRK_dcDNA_6h	NRK_dcDNA_8h	PC_12_dRNA	PC_12_dcDNA_0.5h	PC_12_dcDNA_1.5h	PC_12_dcDNA_12h	PC_12_dcDNA_1h	PC_12_dcDNA_2.5h	PC_12_dcDNA_2h	PC_12_dcDNA_4h	PC_12_dcDNA_6h	PC_12_dcDNA_8h	PK_15_dRNA	PK_15_dcDNA_12h	PK_15_dcDNA_1h	PK_15_dcDNA_2h	PK_15_dcDNA_4h	PK_15_dcDNA_6h	PK_15_dcDNA_8h
LT934125.1	+	779	2273	NOV_TX_2	0	23	0	0	2	1	6	17	0	0	1	4	4	0	0	0	10	1	0	0	5	19	5	1	11	0	0	3	14	24
LT934125.1	+	990	2273	NOV_TX_4	1	526	3	3	27	110	122	661	0	1	21	105	194	6	0	0	442	0	3	2	40	142	155	26	536	0	4	26	183	375
LT934125.1	+	1036	2273	NOV_TX_5	2	174	1	0	5	4	52	56	0	0	2	5	17	2	0	0	58	0	0	0	9	19	13	15	77	0	0	8	27	45
LT934125.1	+	1102	2273	NOV_TX_6	0	6	0	0	1	0	1	8	0	0	0	2	3	0	0	0	7	0	0	0	1	0	2	1	2	0	0	0	1	2
LT934125.1	+	1170	2273	NOV_TX_8	1	14	0	0	0	0	1	14	0	0	0	1	7	0	0	0	8	0	0	0	1	3	5	1	13	0	0	0	3	7
LT934125.1	+	1220	2273	NOV_TX_9	0	0	0	1	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0
LT934125.1	+	1241	2273	NOV_TX_10	1	4	0	0	0	0	2	0	0	0	0	0	3	1	0	0	3	0	0	0	0	0	6	5	2	0	0	0	3	1
LT934125.1	+	1258	2273	NOV_TX_11	1	23	0	0	0	6	1	0	0	0	2	4	0	3	0	0	11	0	0	0	1	0	0	6	11	0	0	3	5	2
LT934125.1	+	1291	2273	NOV_TX_13	0	3	0	0	0	0	5	2	0	0	0	0	1	0	0	0	2	0	0	0	0	3	4	3	5	0	0	0	0	2
LT934125.1	+	1335	2273	NOV_TX_14	10	289	16	19	17	98	164	456	7	12	67	160	251	46	0	15	203	17	25	44	82	329	170	174	72	5	138	222	495	439
LT934125.1	+	1381	2273	NOV_TX_15	1	50	0	0	1	4	19	27	0	2	2	4	14	4	0	0	26	0	1	1	2	14	14	18	10	0	3	30	24	30
LT934125.1	+	1393	2273	NOV_TX_16	1	13	0	1	1	1	7	12	0	1	0	2	2	0	0	0	3	0	0	1	1	3	10	5	5	0	1	2	13	13
LT934125.1	+	1432	2273	NOV_TX_17	0	14	0	0	1	0	9	23	0	0	2	3	18	1	0	0	14	0	0	0	0	3	4	1	12	0	2	5	8	17
LT934125.1	+	1472	2273	NOV_TX_18	0	14	0	0	0	1	0	0	0	0	0	2	0	0	0	0	7	0	0	3	0	0	12	1	2	0	0	10	7	7
LT934125.1	+	1496	2273	NOV_TX_19	0	0	0	0	1	3	0	52	0	0	0	5	19	3	0	0	61	1	0	0	0	0	0	5	37	0	3	0	37	39
LT934125.1	+	1522	2273	NOV_TX_20	0	64	0	0	0	0	20	0	0	0	3	0	0	0	0	0	0	0	0	0	5	21	0	0	0	0	0	0	0	0
