seqnames	strand	gene	cluster	TC.start	TC.end	TC.width	support	score	mean_shape	min_shape	max_shape	consensus_peak	min_peak	max_peak	hpi_samples	cell_lines	dcDNA.TSS_TC_significance
LT934125.1	+	TC_1	1	242	242	0	1	32.2841	0	0	0	242	242	242	8h	C6	*
LT934125.1	+	TC_10	10	1217	1258	41	7	1618.155546	0	0	0	1237	1217	1258	2h, 6h, 12h, 8h	C6, NRK, PC_12	***
LT934125.1	+	TC_100	100	11321	11321	0	1	26.651031	0	0	0	11321	11321	11321	6h	PC_12	*
LT934125.1	+	TC_1000	1000	112883	112888	0	12	1245.01929	0	0	2.13221689650914	112884	112884	112884	12h, 6h, 8h, 4h	C6, NRK, PC_12, PK_15	***
LT934125.1	+	TC_1001	1001	113003	113003	0	1	26.651031	0	0	0	113003	113003	113003	6h	PC_12	*
LT934125.1	+	TC_1002	1002	113159	113190	31	3	76.532922	0	0	0	113176	113159	113190	12h, 6h, 8h	NRK, PC_12	*
LT934125.1	+	TC_1003	1003	113243	113272	29	3	252.736302	0	0	0	113258	113243	113272	6h, 8h	C6, NRK, PC_12	**
LT934125.1	+	TC_1004	1004	113411	113444	29	6	1877.541101	0	0	6.60483093345315	113430	113411	113440	2h, 8h, 12h, 4h, 6h	C6, PC_12	***
LT934125.1	+	TC_1005	1005	113555	113555	0	1	26.651031	0	0	0	113555	113555	113555	6h	PC_12	*
LT934125.1	+	TC_1006	1006	113976	113976	0	1	16.129162	0	0	0	113976	113976	113976	6h	PK_15	*
LT934125.1	+	TC_1007	1007	114106	114106	0	1	134.535181	0	0	0	114106	114106	114106	6h	NRK	*
LT934125.1	+	TC_1008	1008	114761	114761	0	1	32.2841	0	0	0	114761	114761	114761	8h	C6	*
LT934125.1	+	TC_1009	1009	114835	114837	2	3	76.229692	0	0	0	114836	114835	114837	12h, 4h, 6h	PK_15	*
LT934125.1	+	TC_101	101	11498	11498	0	1	86.244071	0	0	0	11498	11498	11498	6h	C6	*
LT934125.1	+	TC_1010	1010	114979	114988	0	26	1773963.775105	0	0	2.74190118882261	114985	114985	114985	12h, 1h, 2h, 4h, 6h, 8h, 0.5h, 1.5h, 2.5h	C6, NRK, PC_12, PK_15	***
LT934125.1	+	TC_1011	1011	115056	115067	11	3	1030.099542	0	0	0	115061	115056	115067	4h, 2h	NRK, PK_15	**
LT934125.1	+	TC_1012	1012	115093	115102	9	2	136.231132	0	0	0	115098	115093	115102	12h, 4h	NRK, PC_12	*
LT934125.1	+	TC_1013	1013	115144	115167	23	3	207.413582	0	0	0	115154	115144	115167	8h, 6h, 4h	C6, NRK, PK_15	**
LT934125.1	+	TC_1014	1014	115238	115276	38	4	270.905206	0	0	2.8073549220576	115259	115238	115276	6h, 8h	C6, PC_12, PK_15	**
LT934125.1	+	TC_1015	1015	115379	115379	0	1	40.594301	0	0	0	115379	115379	115379	4h	PK_15	*
LT934125.1	+	TC_1016	1016	115411	115435	24	2	426.624681	0	0	2.58496250072116	115423	115411	115435	8h, 2h	C6, PK_15	*
LT934125.1	+	TC_1017	1017	115464	115508	25	14	7916.863733	0	0	5.49185309632968	115472	115464	115489	12h, 6h, 8h, 2h, 2.5h, 4h	C6, NRK, PC_12, PK_15	***
LT934125.1	+	TC_1018	1018	115536	115573	37	10	779.71058	0	0	0	115550	115536	115573	12h, 8h, 4h, 6h, 2h	C6, NRK, PC_12, PK_15	**
LT934125.1	+	TC_1019	1019	115602	115603	1	2	64.24115	0	0	0	115602	115602	115603	8h	C6, PC_12	*
LT934125.1	+	TC_102	102	11788	11806	3	12	4431.578238	0	0	9.32364519087167	11793	11791	11794	12h, 8h, 6h, 4h	C6, NRK, PC_12, PK_15	***
LT934125.1	+	TC_1020	1020	115649	115652	0	2	2280.473554	0	0	2	115649	115649	115649	1h, 6h	PC_12	*
LT934125.1	+	TC_1021	1021	115705	115768	63	16	2260.907085	0	0	8.76544197913097	115742	115705	115768	12h, 4h, 6h, 8h, 2h	C6, NRK, PC_12, PK_15	***
LT934125.1	+	TC_1022	1022	115808	115841	26	12	3019.452967	0	0	1.51314596221941	115820	115815	115841	12h, 6h, 2h, 4h, 8h	C6, NRK, PC_12, PK_15	***
LT934125.1	+	TC_1023	1023	115880	115974	83	17	7143.664623	0	0	19.0232760756519	115923	115880	115963	12h, 6h, 8h, 2h, 2.5h, 4h	C6, NRK, PC_12, PK_15	***
LT934125.1	+	TC_1024	1024	115993	116081	79	17	4489.318565	0	0	19.9068657827814	116044	115993	116072	12h, 2h, 6h, 8h, 2.5h, 4h	C6, NRK, PC_12, PK_15	***
LT934125.1	+	TC_1025	1025	116100	116288	177	22	35960.888938	0	0	31.8062811540081	116218	116106	116283	12h, 1h, 2h, 6h, 8h, 4h, 1.5h, 2.5h	C6, NRK, PC_12, PK_15	***
LT934125.1	+	TC_1026	1026	116331	116583	221	22	43851.889781	0	0	38.2396589137425	116429	116331	116552	12h, 1h, 4h, 6h, 8h, 1.5h, 2.5h, 2h	C6, NRK, PC_12, PK_15	***
LT934125.1	+	TC_1027	1027	116359	116781	129	24	46494.695346	0	0	46.7594766691922	116641	116586	116715	12h, 1h, 2h, 4h, 6h, 8h, 1.5h, 2.5h	C6, NRK, PC_12, PK_15	***
LT934125.1	+	TC_1028	1028	116745	116798	43	17	13981.0999	0	0	15.2315910307679	116776	116748	116791	12h, 4h, 8h, 2h, 6h, 1h	C6, NRK, PC_12, PK_15	***
