group	cluster	chr	start	end	strand	dominant_tss	tags	tags.dominant_tss	q_0.1	q_0.9	interquantile_width	cluster_width	hpi	cell_line	Time
C6_12h	4	LT934125.1	779	782	+	779	265.754709	244.774074	779	779	1	4	12h	C6	12
C6_12h	6	LT934125.1	986	990	+	990	2342.837561	2000.153858	989	990	2	5	12h	C6	12
C6_12h	12	LT934125.1	1334	1351	+	1337	1433.676717	615.431956	1334	1342	9	18	12h	C6	12
C6_12h	15	LT934125.1	1519	1519	+	1519	27.97418	27.97418	1519	1519	1	1	12h	C6	12
C6_12h	16	LT934125.1	1600	1604	+	1600	1951.199044	1433.676716	1600	1603	4	5	12h	C6	12
C6_12h	18	LT934125.1	1880	1880	+	1880	20.980635	20.980635	1880	1880	1	1	12h	C6	12
C6_12h	19	LT934125.1	1959	2153	+	1959	83.92254	20.980635	1959	2153	195	195	12h	C6	12
C6_12h	34	LT934125.1	4632	4635	+	4632	55.94836	27.97418	4632	4635	4	4	12h	C6	12
C6_12h	54	LT934125.1	7587	7596	+	7588	2657.547083	1272.825182	7588	7592	5	10	12h	C6	12
C6_12h	57	LT934125.1	7811	7811	+	7811	118.890264	118.890264	7811	7811	1	1	12h	C6	12
C6_12h	58	LT934125.1	7858	7858	+	7858	20.980635	20.980635	7858	7858	1	1	12h	C6	12
C6_12h	75	LT934125.1	9107	9113	+	9113	8378.26686	6371.119457	9107	9113	7	7	12h	C6	12
C6_12h	78	LT934125.1	9267	9270	+	9270	12301.645581	9818.937121	9268	9270	3	4	12h	C6	12
C6_12h	79	LT934125.1	9338	9338	+	9338	27.97418	27.97418	9338	9338	1	1	12h	C6	12
C6_12h	82	LT934125.1	9548	9550	+	9548	545.496506	426.606242	9548	9550	3	3	12h	C6	12
C6_12h	83	LT934125.1	9640	9650	+	9646	6189.287286	2755.456713	9643	9646	4	11	12h	C6	12
C6_12h	84	LT934125.1	9699	9704	+	9699	90.916085	62.941905	9699	9704	6	6	12h	C6	12
C6_12h	85	LT934125.1	9771	9852	+	9771	118.890265	48.954815	9771	9852	82	82	12h	C6	12
C6_12h	87	LT934125.1	10075	10075	+	10075	48.954815	48.954815	10075	10075	1	1	12h	C6	12
C6_12h	88	LT934125.1	10205	10205	+	10205	34.967725	34.967725	10205	10205	1	1	12h	C6	12
C6_12h	89	LT934125.1	10252	10252	+	10252	48.954815	48.954815	10252	10252	1	1	12h	C6	12
C6_12h	90	LT934125.1	10331	10337	+	10337	48.954815	27.97418	10331	10337	7	7	12h	C6	12
C6_12h	91	LT934125.1	10431	10435	+	10431	1566.554071	1412.696082	10431	10431	1	5	12h	C6	12
C6_12h	102	LT934125.1	11788	11798	+	11793	825.238305	258.761163	11791	11797	7	11	12h	C6	12
C6_12h	104	LT934125.1	11919	11919	+	11919	20.980635	20.980635	11919	11919	1	1	12h	C6	12
C6_12h	105	LT934125.1	11990	11990	+	11990	20.980635	20.980635	11990	11990	1	1	12h	C6	12
C6_12h	106	LT934125.1	12079	12079	+	12079	20.980635	20.980635	12079	12079	1	1	12h	C6	12
C6_12h	108	LT934125.1	12196	12196	+	12196	20.980635	20.980635	12196	12196	1	1	12h	C6	12
C6_12h	122	LT934125.1	13296	13296	+	13296	27.97418	27.97418	13296	13296	1	1	12h	C6	12
C6_12h	125	LT934125.1	13458	13458	+	13458	20.980635	20.980635	13458	13458	1	1	12h	C6	12
C6_12h	126	LT934125.1	13521	13521	+	13521	20.980635	20.980635	13521	13521	1	1	12h	C6	12
C6_12h	136	LT934125.1	14042	14048	+	14048	17938.442818	17197.127052	14048	14048	1	7	12h	C6	12
C6_12h	137	LT934125.1	14136	14178	+	14136	55.94836	27.97418	14136	14178	43	43	12h	C6	12
C6_12h	140	LT934125.1	14352	14352	+	14352	20.980635	20.980635	14352	14352	1	1	12h	C6	12
C6_12h	141	LT934125.1	14457	14457	+	14457	34.967725	34.967725	14457	14457	1	1	12h	C6	12
C6_12h	142	LT934125.1	14560	14730	+	14670	300.722434	125.883809	14560	14724	165	171	12h	C6	12
C6_12h	143	LT934125.1	14853	14859	+	14853	55.94836	27.97418	14853	14859	7	7	12h	C6	12
C6_12h	144	LT934125.1	14930	14930	+	14930	69.93545	69.93545	14930	14930	1	1	12h	C6	12
C6_12h	145	LT934125.1	15021	15170	+	15170	167.84508	69.93545	15021	15170	150	150	12h	C6	12
C6_12h	146	LT934125.1	15270	15287	+	15287	139.8709	62.941905	15270	15287	18	18	12h	C6	12
C6_12h	148	LT934125.1	15387	15429	+	15387	41.96127	20.980635	15387	15429	43	43	12h	C6	12
C6_12h	151	LT934125.1	15597	15750	+	15750	335.69016	69.93545	15604	15750	147	154	12h	C6	12
C6_12h	152	LT934125.1	15856	15856	+	15856	41.96127	41.96127	15856	15856	1	1	12h	C6	12
C6_12h	153	LT934125.1	15962	15962	+	15962	76.928995	76.928995	15962	15962	1	1	12h	C6	12
C6_12h	154	LT934125.1	16013	16108	+	16014	237.78053	48.954815	16013	16108	96	96	12h	C6	12
C6_12h	168	LT934125.1	19079	19079	+	19079	69.93545	69.93545	19079	19079	1	1	12h	C6	12
C6_12h	171	LT934125.1	19507	19507	+	19507	20.980635	20.980635	19507	19507	1	1	12h	C6	12
C6_12h	186	LT934125.1	24824	24824	+	24824	27.97418	27.97418	24824	24824	1	1	12h	C6	12
C6_12h	187	LT934125.1	25157	25157	+	25157	34.967725	34.967725	25157	25157	1	1	12h	C6	12
C6_12h	189	LT934125.1	25420	25422	+	25420	90.916085	69.93545	25420	25422	3	3	12h	C6	12
C6_12h	211	LT934125.1	27548	27548	+	27548	27.97418	27.97418	27548	27548	1	1	12h	C6	12
C6_12h	214	LT934125.1	27867	27867	+	27867	27.97418	27.97418	27867	27867	1	1	12h	C6	12
C6_12h	232	LT934125.1	29338	29338	+	29338	62.941905	62.941905	29338	29338	1	1	12h	C6	12
C6_12h	233	LT934125.1	29464	29468	+	29468	132.877355	55.94836	29464	29468	5	5	12h	C6	12
C6_12h	240	LT934125.1	30235	30241	+	30240	832.23185	587.457776	30235	30240	6	7	12h	C6	12
C6_12h	247	LT934125.1	30684	30684	+	30684	20.980635	20.980635	30684	30684	1	1	12h	C6	12
C6_12h	249	LT934125.1	30932	30932	+	30932	146.864444	146.864444	30932	30932	1	1	12h	C6	12
C6_12h	252	LT934125.1	31093	31098	+	31098	16889.411074	14469.644518	31096	31098	3	6	12h	C6	12
C6_12h	253	LT934125.1	31149	31152	+	31149	209.806349	139.870899	31149	31152	4	4	12h	C6	12
C6_12h	254	LT934125.1	31268	31268	+	31268	20.980635	20.980635	31268	31268	1	1	12h	C6	12
C6_12h	255	LT934125.1	31363	31363	+	31363	27.97418	27.97418	31363	31363	1	1	12h	C6	12
C6_12h	257	LT934125.1	31507	31507	+	31507	34.967725	34.967725	31507	31507	1	1	12h	C6	12
C6_12h	258	LT934125.1	31556	31678	+	31678	97.90963	48.954815	31556	31678	123	123	12h	C6	12
C6_12h	260	LT934125.1	31784	31859	+	31859	167.845079	146.864444	31784	31859	76	76	12h	C6	12
C6_12h	261	LT934125.1	31930	31930	+	31930	118.890264	118.890264	31930	31930	1	1	12h	C6	12
C6_12h	262	LT934125.1	32028	32038	+	32038	75712.117715	44443.978208	32036	32038	3	11	12h	C6	12
C6_12h	263	LT934125.1	32091	32095	+	32091	244.774074	139.870899	32091	32095	5	5	12h	C6	12
C6_12h	264	LT934125.1	32161	32200	+	32167	825.238307	202.812804	32161	32192	32	40	12h	C6	12
C6_12h	265	LT934125.1	32266	32322	+	32269	328.696614	97.909629	32266	32322	57	57	12h	C6	12
C6_12h	266	LT934125.1	32421	32421	+	32421	48.954815	48.954815	32421	32421	1	1	12h	C6	12
C6_12h	269	LT934125.1	33088	33088	+	33088	34.967725	34.967725	33088	33088	1	1	12h	C6	12
C6_12h	276	LT934125.1	33584	33584	+	33584	48.954815	48.954815	33584	33584	1	1	12h	C6	12
C6_12h	285	LT934125.1	34695	34695	+	34695	20.980635	20.980635	34695	34695	1	1	12h	C6	12
C6_12h	286	LT934125.1	34749	34749	+	34749	62.941905	62.941905	34749	34749	1	1	12h	C6	12
C6_12h	288	LT934125.1	34854	34854	+	34854	34.967725	34.967725	34854	34854	1	1	12h	C6	12
