cluster	group	chr	start	end	strand	dominant_tss	tags	tags.dominant_tss	q_0.1	q_0.9	interquantile_width	shape.score	cluster_width	hpi	cell_line	Time	TC.start	TC.end	consensus_peak	min_peak	max_peak	mean_shape	min_shape	max_shape	support	score	hpi_samples	cell_lines	peak_shift	TC.width
1	C6_dRNA	LT934125.1	2266	2275	+	2273	17297.018201	11617.400284	2273	2275	3	1.30118331445939	10	dRNA	C6	dRNA	2265	2275	2273	2273	2273	1.30118331445939	1.30118331445939	2.26449396932099	3	42931.946413	dRNA	C6, PC_12, PK_15	0	0
1	PC_12_dRNA	LT934125.1	2266	2275	+	2273	15511.033144	10109.869818	2271	2275	5	2.16278243861997	10	dRNA	PC_12	dRNA	2265	2275	2273	2273	2273	1.30118331445939	1.30118331445939	2.26449396932099	3	42931.946413	dRNA	C6, PC_12, PK_15	0	0
1	PK_15_dRNA	LT934125.1	2265	2275	+	2273	10123.895068	6770.076085	2271	2275	5	2.26449396932099	11	dRNA	PK_15	dRNA	2265	2275	2273	2273	2273	1.30118331445939	1.30118331445939	2.26449396932099	3	42931.946413	dRNA	C6, PC_12, PK_15	0	0
2	C6_dRNA	LT934125.1	8519	8526	+	8519	1807.151155	1032.657803	8519	8523	5	2.23192227841236	8	dRNA	C6	dRNA	8515	8526	8519	8519	8519	2.23192227841236	2.23192227841236	5.3025669449454	3	6041.531518	dRNA	C6, PC_12, PK_15	0	0
2	PC_12_dRNA	LT934125.1	8518	8526	+	8519	2031.206722	969.439572	8519	8526	8	5.22222471848594	9	dRNA	PC_12	dRNA	8515	8526	8519	8519	8519	2.23192227841236	2.23192227841236	5.3025669449454	3	6041.531518	dRNA	C6, PC_12, PK_15	0	0
2	PK_15_dRNA	LT934125.1	8515	8526	+	8519	2203.173641	1043.608567	8519	8526	8	5.3025669449454	12	dRNA	PK_15	dRNA	8515	8526	8519	8519	8519	2.23192227841236	2.23192227841236	5.3025669449454	3	6041.531518	dRNA	C6, PC_12, PK_15	0	0
3	PC_12_dRNA	LT934125.1	8666	8666	+	8666	46.163789	46.163789	8666	8666	1	0	1	dRNA	PC_12	dRNA	8666	8666	8666	8666	8666	0	0	0	1	46.163789	dRNA	PC_12	0	0
4	C6_dRNA	LT934125.1	10418	10431	+	10426	52149.219053	42726.2166	10426	10429	4	0.652180296765906	14	dRNA	C6	dRNA	10413	10431	10426	10426	10426	0.468053884990384	0.468053884990384	1.62503428865047	3	169729.133603	dRNA	C6, PC_12, PK_15	0	0
4	PC_12_dRNA	LT934125.1	10416	10431	+	10426	56827.624411	47641.030376	10426	10429	4	0.468053884990384	16	dRNA	PC_12	dRNA	10413	10431	10426	10426	10426	0.468053884990384	0.468053884990384	1.62503428865047	3	169729.133603	dRNA	C6, PC_12, PK_15	0	0
4	PK_15_dRNA	LT934125.1	10413	10431	+	10426	60752.290139	46391.522687	10426	10430	5	1.62503428865047	19	dRNA	PK_15	dRNA	10413	10431	10426	10426	10426	0.468053884990384	0.468053884990384	1.62503428865047	3	169729.133603	dRNA	C6, PC_12, PK_15	0	0
5	C6_dRNA	LT934125.1	11112	11112	+	11112	129.082225	129.082225	11112	11112	1	0	1	dRNA	C6	dRNA	11112	11112	11112	11112	11112	0	0	0	1	129.082225	dRNA	C6	0	0
6	PC_12_dRNA	LT934125.1	12517	12517	+	12517	46.163789	46.163789	12517	12517	1	0	1	dRNA	PC_12	dRNA	12517	12517	12517	12517	12517	0	0	0	1	46.163789	dRNA	PC_12	0	0
7	PC_12_dRNA	LT934125.1	12765	12765	+	12765	46.163789	46.163789	12765	12765	1	0	1	dRNA	PC_12	dRNA	12765	12765	12765	12765	12765	0	0	0	1	46.163789	dRNA	PC_12	0	0
8	C6_dRNA	LT934125.1	13033	13033	+	13033	129.082225	129.082225	13033	13033	1	0	1	dRNA	C6	dRNA	13033	13033	13033	13033	13033	0	0	0	1	129.082225	dRNA	C6	0	0
9	C6_dRNA	LT934125.1	13193	13193	+	13193	129.082225	129.082225	13193	13193	1	0	1	dRNA	C6	dRNA	13193	13193	13193	13193	13193	0	0	0	1	129.082225	dRNA	C6	0	0
10	C6_dRNA	LT934125.1	15006	15006	+	15006	129.082225	129.082225	15006	15006	1	0	1	dRNA	C6	dRNA	15006	15006	15006	15006	15006	0	0	0	1	129.082225	dRNA	C6	0	0
11	C6_dRNA	LT934125.1	15082	15082	+	15082	129.082225	129.082225	15082	15082	1	0	1	dRNA	C6	dRNA	15082	15082	15082	15082	15082	0	0	0	1	129.082225	dRNA	C6	0	0
12	PC_12_dRNA	LT934125.1	15630	15630	+	15630	46.163789	46.163789	15630	15630	1	0	1	dRNA	PC_12	dRNA	15630	15630	15630	15630	15630	0	0	0	1	46.163789	dRNA	PC_12	0	0
13	C6_dRNA	LT934125.1	16210	16226	+	16224	41822.641021	37821.092036	16224	16224	1	0	17	dRNA	C6	dRNA	16209	16226	16224	16224	16224	0	0	0	3	149516.362984	dRNA	C6, PC_12, PK_15	0	0
13	PC_12_dRNA	LT934125.1	16209	16226	+	16224	56735.296831	51518.788662	16224	16224	1	0	18	dRNA	PC_12	dRNA	16209	16226	16224	16224	16224	0	0	0	3	149516.362984	dRNA	C6, PC_12, PK_15	0	0
13	PK_15_dRNA	LT934125.1	16209	16226	+	16224	50958.425132	47024.823612	16224	16224	1	0	18	dRNA	PK_15	dRNA	16209	16226	16224	16224	16224	0	0	0	3	149516.362984	dRNA	C6, PC_12, PK_15	0	0
14	PC_12_dRNA	LT934125.1	18834	18834	+	18834	46.163789	46.163789	18834	18834	1	0	1	dRNA	PC_12	dRNA	18834	18834	18834	18834	18834	0	0	0	1	46.163789	dRNA	PC_12	0	0
15	C6_dRNA	LT934125.1	21872	21872	+	21872	129.082225	129.082225	21872	21872	1	0	1	dRNA	C6	dRNA	21872	21872	21872	21872	21872	0	0	0	1	129.082225	dRNA	C6	0	0
16	PK_15_dRNA	LT934125.1	28428	28428	+	28428	17.839463	17.839463	28428	28428	1	0	1	dRNA	PK_15	dRNA	28428	28428	28428	28428	28428	0	0	0	1	17.839463	dRNA	PK_15	0	0
17	C6_dRNA	LT934125.1	28629	28632	+	28632	1161.740028	1032.657803	28629	28632	4	1.00651666782974	4	dRNA	C6	dRNA	28629	28632	28632	28632	28632	0	0	1.25033113697621	3	2541.48724	dRNA	C6, PC_12, PK_15	0	0
17	PC_12_dRNA	LT934125.1	28629	28632	+	28632	969.439571	877.111993	28632	28632	1	0	4	dRNA	PC_12	dRNA	28629	28632	28632	28632	28632	0	0	1.25033113697621	3	2541.48724	dRNA	C6, PC_12, PK_15	0	0
17	PK_15_dRNA	LT934125.1	28629	28632	+	28632	410.307641	330.030059	28630	28632	3	1.25033113697621	4	dRNA	PK_15	dRNA	28629	28632	28632	28632	28632	0	0	1.25033113697621	3	2541.48724	dRNA	C6, PC_12, PK_15	0	0
18	C6_dRNA	LT934125.1	32406	32415	+	32415	80160.061959	63895.701562	32413	32415	3	1.31565016551312	10	dRNA	C6	dRNA	32402	32415	32415	32415	32415	0.272412957271354	0.272412957271354	1.31565016551312	3	230800.391236	dRNA	C6, PC_12, PK_15	0	0
18	PC_12_dRNA	LT934125.1	32402	32415	+	32415	80094.174129	69661.157788	32414	32415	2	0.272412957271354	14	dRNA	PC_12	dRNA	32402	32415	32415	32415	32415	0.272412957271354	0.272412957271354	1.31565016551312	3	230800.391236	dRNA	C6, PC_12, PK_15	0	0
18	PK_15_dRNA	LT934125.1	32403	32415	+	32415	70546.155148	60895.005842	32414	32415	2	0.323955606889955	13	dRNA	PK_15	dRNA	32402	32415	32415	32415	32415	0.272412957271354	0.272412957271354	1.31565016551312	3	230800.391236	dRNA	C6, PC_12, PK_15	0	0
19	PC_12_dRNA	LT934125.1	32704	32704	+	32704	46.163789	46.163789	32704	32704	1	0	1	dRNA	PC_12	dRNA	32704	32704	32704	32704	32704	0	0	0	1	46.163789	dRNA	PC_12	0	0
20	C6_dRNA	LT934125.1	44943	44943	+	44943	129.082225	129.082225	44943	44943	1	0	1	dRNA	C6	dRNA	44943	44943	44943	44943	44943	0	0	0	1	129.082225	dRNA	C6	0	0
21	C6_dRNA	LT934125.1	46034	46038	+	46038	10455.660256	8777.591326	46036	46038	3	0.676427953243869	5	dRNA	C6	dRNA	46034	46039	46038	46038	46038	0.6478248352415	0.6478248352415	1.73206694019068	3	41742.70458	dRNA	C6, PC_12, PK_15	0	0
21	PC_12_dRNA	LT934125.1	46035	46038	+	46038	12002.585172	10294.524975	46036	46038	3	0.6478248352415	4	dRNA	PC_12	dRNA	46034	46039	46038	46038	46038	0.6478248352415	0.6478248352415	1.73206694019068	3	41742.70458	dRNA	C6, PC_12, PK_15	0	0
