sample	cluster_id	peak_id	chr	strand	cluster_start	cluster_end	peak_pos	gamma_TSS	gamma_shape	gamma_rate	sn_TSS	sn_location	sn_scale	sn_skew
PC_12_6h	3	1	LT934125.1	+	749	809	778.979851396716	777	6.48386196023804	0.744827528259246				
PC_12_6h	3	2	LT934125.1	+	741	801	771.010122080374	777	6.48386196023804	0.744827528259246				
C6_12h	3	1	LT934125.1	+	749	809	779.003035788296	779	4.24116489760138	3.20091696129666				
C6_12h	3	2	LT934125.1	+	752	812	781.976244983861	779	4.24116489760138	3.20091696129666				
C6_12h	3	3	LT934125.1	+	751	811	781.074958572662	779	4.24116489760138	3.20091696129666				
C6_8h	3	1	LT934125.1	+	749	809	779.004645152231	779	2.62083613133972	1.57248041409946				
C6_8h	3	2	LT934125.1	+	752	812	781.995354847769	779	2.62083613133972	1.57248041409946				
PC_12_4h	3	1	LT934125.1	+	749	809	779.008495612428	779	2.76013753089952	1.50560897807799				
PC_12_4h	3	2	LT934125.1	+	751	811	781.468417540746	779	2.76013753089952	1.50560897807799				
PC_12_8h	3	1	LT934125.1	+	749	809	779.003966332152	779	7.06203411732685	5.88485045588136				
PC_12_8h	3	2	LT934125.1	+	751	811	780.996033667848	779	7.06203411732685	5.88485045588136				
PK_15_4h	3	1	LT934125.1	+	749	809	779.016280192376	779	2.3026822882867	1.00738857788226				
PK_15_4h	3	2	LT934125.1	+	752	812	781.94901291154	779	2.3026822882867	1.00738857788226				
PK_15_6h	3	1	LT934125.1	+	749	809	779.00044864614	779	4.65471176328177	3.69147262646148				
PK_15_6h	3	2	LT934125.1	+	752	812	781.99955135386	779	4.65471176328177	3.69147262646148				
PK_15_8h	3	1	LT934125.1	+	749	809	778.992537051151	779	2.51951587579662	1.31362716876113	780	1.26881009486331	0.972843735086147	0.995149676118656
PK_15_8h	3	2	LT934125.1	+	752	812	781.929153185272	779	2.48058669963598	1.30329975456033	780	-1.66780603925756	0.972843735086147	0.995149676118656
C6_8h	5	1	LT934125.1	+	960	1020	989.970786192511	984	6.38991463357502	0.218411097681083	988	-2.31787625268259	5.47904675627107	-0.517437863969889
C6_8h	5	2	LT934125.1	+	957	1017	987.109915648109	984	6.38991463357502	0.218411097681083	988	0.542994291719428	5.47904675627107	-0.517437863969889
C6_8h	5	3	LT934125.1	+	930	990	959.988862887178	983	8.01796510308677	0.220653158757804	984	24.0475644769444	4.60406903835553	-0.995149676118656
C6_8h	5	4	LT934125.1	+	946	1006	976.00973793583	983	8.12152949345934	0.222978870101693	985	9.15385489248611	5.07245929169535	-0.959590940461536
C6_8h	5	5	LT934125.1	+	948	1008	977.955129906023	983	8.03781417342773	0.218914132910398	987	8.78973715140073	6.49055212728777	-0.626107349482227
C6_8h	5	6	LT934125.1	+	977	1037	1007.02157463715	988	11.3105547555641	0.915920791405559	989	-17.5700351989639	3.00742343037011	0.222860302431758
C6_8h	5	7	LT934125.1	+	922	982	951.978425362853	955	1.28888983396668	0.0756285514416333				
C6_8h	5	8	LT934125.1	+	952	1012	981.960348668186	983	8.03781417342773	0.218914132910398	987	4.7845183892379	6.49055212728777	-0.626107349482227
C6_8h	5	9	LT934125.1	+	963	1023	992.946091558689	988	9.54102129549392	0.674700491225286	989	-3.76527958812177	3.45631953679391	0.109743300900648
C6_8h	5	10	LT934125.1	+	938	998	967.5415611244	983	8.12152949345934	0.222978870101693	985	17.6220317039161	5.07245929169535	-0.959590940461537
C6_8h	5	11	LT934125.1	+	941	1001	970.516866490578	983	8.12152949345934	0.222978870101693	985	14.646726337738	5.07245929169535	-0.959590940461537
C6_8h	5	12	LT934125.1	+	939	999	968.571474520384	983	8.12152949345934	0.222978870101693	985	16.5921183079314	5.07245929169535	-0.959590940461537
C6_8h	5	13	LT934125.1	+	938	998	967.999300411504	983	8.12152949345934	0.222978870101693	985	17.1642924168118	5.07245929169535	-0.959590940461536
C6_8h	5	14	LT934125.1	+	940	1000	970.287996847025	983	8.12152949345934	0.222978870101693	985	14.8755959812902	5.07245929169535	-0.959590940461537
C6_8h	5	15	LT934125.1	+	935	995	965.138429867102	983	8.12152949345934	0.222978870101693	985	20.0251629612138	5.07245929169535	-0.959590940461536
C6_8h	5	16	LT934125.1	+	938	998	968.342604876832	983	8.12152949345934	0.222978870101693	985	16.8209879514835	5.07245929169535	-0.959590940461536
C6_8h	5	17	LT934125.1	+	937	997	967.083821837295	983	8.12152949345934	0.222978870101693	985	18.0797709910205	5.07245929169535	-0.959590940461537
C6_8h	5	18	LT934125.1	+	937	997	966.740517371967	983	8.12152949345934	0.222978870101693	985	18.4230754563486	5.07245929169535	-0.959590940461536
C6_8h	5	19	LT934125.1	+	940	1000	969.944692381697	983	8.12152949345934	0.222978870101693	985	15.2189004466184	5.07245929169535	-0.959590940461537
C6_8h	5	20	LT934125.1	+	936	996	965.596169154206	983	8.12152949345934	0.222978870101693	985	19.5674236741094	5.07245929169535	-0.959590940461537
C6_8h	5	21	LT934125.1	+	939	999	969.258083451041	983	8.12152949345934	0.222978870101693	985	15.9055093772749	5.07245929169535	-0.959590940461536
C6_8h	5	22	LT934125.1	+	971	1031	1000.72765943946	988	9.54102129549392	0.674700491225286	989	-11.5468474688953	3.45631953679391	0.109743300900648
C6_8h	5	23	LT934125.1	+	970	1030	1000.15548533058	988	9.54102129549392	0.674700491225286	989	-10.9746733600149	3.45631953679391	0.109743300900648
C6_8h	5	24	LT934125.1	+	970	1030	999.697746043478	988	9.54102129549392	0.674700491225286	989	-10.5169340729106	3.45631953679391	0.109743300900648
C6_8h	5	25	LT934125.1	+	971	1031	1001.41426837012	988	9.54102129549392	0.674700491225286	989	-12.2334563995518	3.45631953679391	0.109743300900648
PC_12_6h	5	1	LT934125.1	+	960	1020	989.923207617153	985	10.0144983487573	0.344864534015626	987	-3.07291120725298	3.98605831016639	-0.896806495262918
PC_12_6h	5	2	LT934125.1	+	935	995	965.033528187096	984	7.36042752584033	0.247967160755482	986	21.1645107352105	4.5764344014535	-0.918608145333168
