group	cluster	chr	start	end	strand	dominant_tss	tags	tags.dominant_tss	q_0.1	q_0.9	interquantile_width	shape.score	cluster_width	hpi	cell_line	Time
C6_12h	3	LT934125.1	779	782	+	779	265.754709	244.774074	779	779	1	0	4	12h	C6	12
C6_12h	5	LT934125.1	986	990	+	990	2342.837561	2000.153858	989	990	2	0.3117876112701	5	12h	C6	12
C6_12h	11	LT934125.1	1334	1351	+	1337	1433.676717	615.431956	1334	1342	9	6.179292494875	18	12h	C6	12
C6_12h	15	LT934125.1	1519	1519	+	1519	27.97418	27.97418	1519	1519	1	0	1	12h	C6	12
C6_12h	16	LT934125.1	1600	1604	+	1600	1951.199044	1433.676716	1600	1603	4	1.85168084188069	5	12h	C6	12
C6_12h	19	LT934125.1	1880	1880	+	1880	20.980635	20.980635	1880	1880	1	0	1	12h	C6	12
C6_12h	21	LT934125.1	1959	1959	+	1959	20.980635	20.980635	1959	1959	1	0	1	12h	C6	12
C6_12h	23	LT934125.1	2153	2153	+	2153	20.980635	20.980635	2153	2153	1	0	1	12h	C6	12
C6_12h	37	LT934125.1	4632	4635	+	4632	55.94836	27.97418	4632	4635	4	2	4	12h	C6	12
C6_12h	53	LT934125.1	7587	7596	+	7588	2657.547083	1272.825182	7588	7592	5	3.13315828940134	10	12h	C6	12
C6_12h	56	LT934125.1	7811	7811	+	7811	118.890264	118.890264	7811	7811	1	0	1	12h	C6	12
C6_12h	57	LT934125.1	7858	7858	+	7858	20.980635	20.980635	7858	7858	1	0	1	12h	C6	12
C6_12h	73	LT934125.1	9107	9113	+	9113	8378.26686	6371.119457	9107	9113	7	3.59498102792737	7	12h	C6	12
C6_12h	76	LT934125.1	9267	9270	+	9270	12301.645581	9818.937121	9268	9270	3	0.922545402335502	4	12h	C6	12
C6_12h	77	LT934125.1	9338	9338	+	9338	27.97418	27.97418	9338	9338	1	0	1	12h	C6	12
C6_12h	80	LT934125.1	9548	9550	+	9548	545.496506	426.606242	9548	9550	3	1.19887228313979	3	12h	C6	12
C6_12h	81	LT934125.1	9640	9650	+	9646	6189.287286	2755.456713	9643	9646	4	3.53373416232081	11	12h	C6	12
C6_12h	82	LT934125.1	9699	9704	+	9699	90.916085	62.941905	9699	9704	6	2.30188749717306	6	12h	C6	12
C6_12h	83	LT934125.1	9771	9771	+	9771	48.954815	48.954815	9771	9771	1	0	1	12h	C6	12
C6_12h	84	LT934125.1	9852	9852	+	9852	27.97418	27.97418	9852	9852	1	0	1	12h	C6	12
C6_12h	87	LT934125.1	10075	10075	+	10075	48.954815	48.954815	10075	10075	1	0	1	12h	C6	12
C6_12h	88	LT934125.1	10205	10205	+	10205	34.967725	34.967725	10205	10205	1	0	1	12h	C6	12
C6_12h	89	LT934125.1	10252	10252	+	10252	48.954815	48.954815	10252	10252	1	0	1	12h	C6	12
C6_12h	90	LT934125.1	10331	10337	+	10337	48.954815	27.97418	10331	10337	7	2.76588505704539	7	12h	C6	12
C6_12h	91	LT934125.1	10431	10435	+	10431	1566.554071	1412.696082	10431	10431	1	0	5	12h	C6	12
C6_12h	101	LT934125.1	11788	11798	+	11793	825.238305	258.761163	11791	11797	7	6.34904864795842	11	12h	C6	12
C6_12h	103	LT934125.1	11919	11919	+	11919	20.980635	20.980635	11919	11919	1	0	1	12h	C6	12
C6_12h	104	LT934125.1	11990	11990	+	11990	20.980635	20.980635	11990	11990	1	0	1	12h	C6	12
C6_12h	105	LT934125.1	12079	12079	+	12079	20.980635	20.980635	12079	12079	1	0	1	12h	C6	12
C6_12h	107	LT934125.1	12196	12196	+	12196	20.980635	20.980635	12196	12196	1	0	1	12h	C6	12
C6_12h	125	LT934125.1	13296	13296	+	13296	27.97418	27.97418	13296	13296	1	0	1	12h	C6	12
C6_12h	128	LT934125.1	13458	13458	+	13458	20.980635	20.980635	13458	13458	1	0	1	12h	C6	12
C6_12h	129	LT934125.1	13521	13521	+	13521	20.980635	20.980635	13521	13521	1	0	1	12h	C6	12
C6_12h	139	LT934125.1	14042	14048	+	14048	17938.442818	17197.127052	14048	14048	1	0	7	12h	C6	12
C6_12h	140	LT934125.1	14136	14178	+	14136	55.94836	27.97418	14136	14178	43	5.4262647547021	43	12h	C6	12
C6_12h	143	LT934125.1	14352	14352	+	14352	20.980635	20.980635	14352	14352	1	0	1	12h	C6	12
C6_12h	144	LT934125.1	14457	14457	+	14457	34.967725	34.967725	14457	14457	1	0	1	12h	C6	12
C6_12h	145	LT934125.1	14560	14560	+	14560	48.954815	48.954815	14560	14560	1	0	1	12h	C6	12
C6_12h	146	LT934125.1	14670	14730	+	14670	251.767619	125.883809	14670	14730	61	11.4576697407387	61	12h	C6	12
C6_12h	147	LT934125.1	14853	14859	+	14853	55.94836	27.97418	14853	14859	7	2.8073549220576	7	12h	C6	12
C6_12h	148	LT934125.1	14930	14930	+	14930	69.93545	69.93545	14930	14930	1	0	1	12h	C6	12
C6_12h	149	LT934125.1	15021	15170	+	15170	167.84508	69.93545	15021	15170	150	15.3448291204304	150	12h	C6	12
C6_12h	150	LT934125.1	15270	15287	+	15287	139.8709	62.941905	15270	15287	18	7.67053980397441	18	12h	C6	12
C6_12h	152	LT934125.1	15387	15429	+	15387	41.96127	20.980635	15387	15429	43	5.4262647547021	43	12h	C6	12
C6_12h	156	LT934125.1	15597	15750	+	15750	335.69016	69.93545	15604	15750	147	23.107774760244	154	12h	C6	12
C6_12h	157	LT934125.1	15856	15856	+	15856	41.96127	41.96127	15856	15856	1	0	1	12h	C6	12
C6_12h	159	LT934125.1	15962	15962	+	15962	76.928995	76.928995	15962	15962	1	0	1	12h	C6	12
C6_12h	160	LT934125.1	16013	16108	+	16014	237.78053	48.954815	16013	16108	96	18.0005201930605	96	12h	C6	12
C6_12h	174	LT934125.1	19079	19079	+	19079	69.93545	69.93545	19079	19079	1	0	1	12h	C6	12
C6_12h	178	LT934125.1	19507	19507	+	19507	20.980635	20.980635	19507	19507	1	0	1	12h	C6	12
C6_12h	194	LT934125.1	24824	24824	+	24824	27.97418	27.97418	24824	24824	1	0	1	12h	C6	12
C6_12h	195	LT934125.1	25157	25157	+	25157	34.967725	34.967725	25157	25157	1	0	1	12h	C6	12
C6_12h	197	LT934125.1	25420	25422	+	25420	90.916085	69.93545	25420	25422	3	1.23524026705109	3	12h	C6	12
C6_12h	219	LT934125.1	27548	27548	+	27548	27.97418	27.97418	27548	27548	1	0	1	12h	C6	12
