seqnames	strand	TSS	TES	NOV_TX_ID	AllRefCat	max_count	prevalence	C6_dcDNA_12h	C6_dcDNA_1h	C6_dcDNA_2h	C6_dcDNA_4h	C6_dcDNA_6h	C6_dcDNA_8h	NRK_dcDNA_1h	NRK_dcDNA_2h	PC-12_dcDNA_0.5h	PC-12_dcDNA_1.5h	PC-12_dcDNA_12h	PC-12_dcDNA_1h	PC-12_dcDNA_2.5h	PC-12_dcDNA_2h	PC-12_dcDNA_4h	PC-12_dcDNA_6h	PC-12_dcDNA_8h	PK-15_dcDNA_12h	PK-15_dcDNA_1h	PK-15_dcDNA_2h	PK-15_dcDNA_4h	PK-15_dcDNA_6h	PK-15_dcDNA_8h
LT934125.1	+	1337	2273	NOV_TX_2544	ORF-1M1::5`-short;ORF-1M1::5`-short;ORF-1M1::5`-short;ORF-1M1::5`-short;ORF-1M1::5`-short;ORF-1M1::5`-short;ORF-1M1::5`-short;ORF-1M1::5`-short;ORF-1M1::5`-short;ORF-1M1::5`-short;ORF-1M1::5`-short;ORF-1M1::5`-short;ORF-1M1::5`-short;ORF-1M1::5`-short	25	14	0	0	1	0	0	5	0	1	0	1	10	1	2	0	3	9	8	2	0	0	14	25	10
LT934125.1	+	1469	2273	NOV_TX_1204	ORF-1M1-S::5`-long;ORF-1M1-S::5`-long	14	2	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0
LT934125.1	+	1519	2273	NOV_TX_43	ORF-1M1-S::5`-short;ORF-1M1-S::5`-short;ORF-1M1-S::5`-short;ORF-1M1-S::5`-short;ORF-1M1-S::5`-short	9	5	9	0	0	0	0	5	0	0	0	0	0	0	0	0	4	3	0	0	0	0	1	0	0
LT934125.1	+	1712	2273	NOV_TX_1476	ORF-1.5::5`-long;ORF-1.5::5`-long;ORF-1.5::5`-long;ORF-1.5::5`-long;ORF-1.5::5`-long	23	5	19	0	0	0	0	0	0	0	0	0	23	0	0	0	1	0	0	0	0	1	9	0	0
LT934125.1	+	1815	2273	NOV_TX_944	ORF-1.5-S::5`-short;ORF-1.5-S::5`-short	15	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	15	0	0	0	0	0
LT934125.1	+	1821	2273	NOV_TX_1494	ORF-1.5-S::5`-short;ORF-1.5-S::5`-short	18	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	18	0
LT934125.1	+	1869	2273	NOV_TX_1492	ORF-1.5-S::5`-short;ORF-1.5-S::5`-short	40	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	40	0	0	0	0	0	0
LT934125.1	+	1912	2273	NOV_TX_1500	ORF-1.5-S::5`-short;ORF-1.5-S::5`-short;ORF-1.5-S::5`-short;ORF-1.5-S::5`-short;ORF-1.5-S::5`-short	94	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	94	1	0	29	0	87
LT934125.1	+	1934	2273	NOV_TX_340	ORF-1.5-S::5`-short;ORF-1.5-S::5`-short;ORF-1.5-S::5`-short	30	3	0	0	0	0	0	5	0	0	0	0	30	0	0	0	0	16	0	0	0	0	0	0	0
LT934125.1	+	2057	2273	NOV_TX_467	ORF-1.5-S::5`-short;ORF-1.5-S::5`-short;ORF-1.5-S::5`-short;ORF-1.5-S::5`-short;ORF-1.5-S::5`-short;ORF-1.5-S::5`-short	59	6	0	0	0	0	0	0	0	0	0	0	59	0	0	3	0	24	30	0	0	0	11	37	0
LT934125.1	+	2153	2273	NOV_TX_49	ORF-1.5-S::5`-short;ORF-1.5-S::5`-short;ORF-1.5-S::5`-short;ORF-1.5-S::5`-short	60	4	60	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	8	36	0
LT934125.1	+	2168	2273	NOV_TX_1530	ORF-1.5-S::5`-short;ORF-1.5-S::5`-short	110	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	110	0	0	59	0	0
LT934125.1	+	7591	8523	NOV_TX_2040	UL51::5`-short;UL51::5`-short;UL51::5`-short;UL51::5`-short;UL51::5`-short;UL51::5`-short	14	6	13	0	0	0	0	0	0	0	0	0	14	0	0	2	3	0	0	12	0	0	10	0	0
LT934125.1	+	7591	10426	NOV_TX_2041	UL51-50-49.5-49::5`-short;UL51-50-49.5-49::5`-short	6	2	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0
LT934125.1	+	7698	8523	NOV_TX_2067	UL51::5`-short;UL51.5::5`-long;UL51::5`-short	10	2	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0
LT934125.1	+	7858	8523	NOV_TX_2110	UL51.5::5`-short;UL51.5::5`-short;UL51.5::5`-short;UL51.5::5`-short;UL51.5::5`-short	11	5	11	1	0	0	0	0	0	0	0	0	0	0	0	0	1	5	6	0	0	0	0	0	0
LT934125.1	+	8346	8523	NOV_TX_742	UL51.5::5`-short;UL51.5::5`-short;UL51.5::5`-short	16	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	2	0	0	0	0	16	0
LT934125.1	+	9112	10426	NOV_TX_2335	UL49.5-49::5`-long;UL49.5-49::5`-long	6	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0
LT934125.1	+	9113	10426	NOV_TX_2334	UL49.5-49::5`-long;UL49.5-49::5`-long;UL49.5-49::5`-long;UL49.5-49::5`-long;UL49.5-49::5`-long;UL49.5-49::5`-long;UL49.5-49::5`-long;UL49.5-49::5`-long;UL49.5-49::5`-long;UL49.5-49::5`-long;UL49.5-49::5`-long;UL49.5-49::5`-long;UL49.5-49::5`-long	2952	13	1400	0	0	5	44	153	0	0	0	0	1277	0	0	0	19	222	208	2952	0	5	10	277	990
LT934125.1	+	9415	10426	NOV_TX_2367	UL49-L2::5`-short;UL49-L2::5`-short;UL49-L2::5`-short	31	3	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31	0	0	2	0	0
LT934125.1	+	9456	10426	NOV_TX_900	UL49-L2::5`-short;UL49-L2::5`-short;UL49-L2::5`-short;UL49-L2::5`-short	53	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	53	0	0	0	3	12
LT934125.1	+	9479	10426	NOV_TX_2381	UL49-L::5`-long;UL49-L2::5`-short;UL49-L2::5`-short	41	2	0	0	0	0	0	0	0	0	0	0	41	0	0	0	2	0	0	0	0	0	0	0	0
LT934125.1	+	9480	10426	NOV_TX_2380	UL49-L::5`-long;UL49-L2::5`-short;UL49-L::5`-long;UL49-L2::5`-short;UL49-L::5`-long;UL49-L2::5`-short	167	3	71	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	167	0	0	8	0	0
LT934125.1	+	9643	10426	NOV_TX_2428	UL49::5`-long;UL49::5`-long;UL49::5`-long;UL49::5`-long	23	4	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	23	0	0	2	2	0
LT934125.1	+	9699	16224	NOV_TX_117	UL49.5-49-48-47-46::5`-short;UL49.5-49-48-47-46::5`-short;UL49.5-49-48-47-46::5`-short	5	3	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0
LT934125.1	+	9759	10426	NOV_TX_2443	UL49.1::5`-short;UL49.1::5`-short	124	2	124	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0
LT934125.1	+	9762	10426	NOV_TX_2445	UL49.1::5`-short;UL49.1::5`-short	167	2	0	0	0	0	0	0	0	0	0	0	167	0	0	0	0	0	0	0	0	0	22	0	0
LT934125.1	+	9771	10426	NOV_TX_2444	UL49.1::5`-short;UL49.1::5`-short;UL49.1::5`-short	80	3	75	0	0	0	0	0	0	0	0	0	80	0	0	0	0	0	0	0	0	0	0	44	0
LT934125.1	+	9798	10426	NOV_TX_2457	UL49.1::5`-short;UL49.1::5`-short	11	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	11	0	0
LT934125.1	+	9804	10426	NOV_TX_2454	UL49.1::5`-short;UL49.1::5`-short	154	2	77	0	0	0	0	0	0	0	0	0	154	0	0	0	0	0	0	0	0	0	0	0	0
LT934125.1	+	9861	10426	NOV_TX_2469	UL49.1-S::5`-long;UL49.1-S::5`-long	72	2	0	0	0	0	0	15	0	0	0	0	72	0	0	0	0	0	0	0	0	0	0	0	0
LT934125.1	+	9862	10426	NOV_TX_2468	UL49.1-S::5`-long;UL49.1-S::5`-long;UL49.1-S::5`-long	170	3	75	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	170	0	0	0	0	0
LT934125.1	+	9919	10426	NOV_TX_510	UL49.1-S::5`-long;UL49.1-S::5`-long;UL49.1-S::5`-long	77	3	0	0	0	0	0	0	0	0	0	0	77	0	0	0	0	6	0	0	0	0	0	0	38
LT934125.1	+	9932	10426	NOV_TX_2477	UL49.1-S::5`-short;UL49.1-S::5`-short	34	2	0	0	0	0	0	0	0	0	0	0	34	0	0	0	1	0	0	0	0	0	0	0	0
LT934125.1	+	9933	10426	NOV_TX_2476	UL49.1-S::5`-short;UL49.1-S::5`-short;UL49.1-S::5`-short	75	3	44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	75	0	0	2	0	0
LT934125.1	+	9977	10426	NOV_TX_419	UL49.1-S::5`-short;UL49.1-S::5`-short;UL49.1-S::5`-short	77	3	0	0	0	0	0	6	0	0	0	0	77	0	0	0	3	0	0	0	0	0	0	0	0
