seqnames	strand	cluster	TC.start	TC.end	TC.width	support	score	mean_shape	min_shape	max_shape	consensus_peak	min_peak	max_peak	hpi_samples	cell_lines
LT934125.1	+	1	242	242	0	1	32.2841	0	0	0	242	242	242	8h	C6
LT934125.1	+	2	623	646	23	4	218.057603	0	0	0	638.25	623	646	6h, 8h, 4h	C6, PC_12, PK_15
LT934125.1	+	3	771	782	0	13	6527.089446	0	0	2.5032583392032	779	779	779	12h, 4h, 6h, 8h, 2h	C6, NRK, PC_12, PK_15
LT934125.1	+	4	878	878	0	1	1172.332943	0	0	0	878	878	878	2h	C6
LT934125.1	+	5	976	994	3	18	43637.421439	0	0	7.54578612195436	989.833333333333	987	990	12h, 1h, 2h, 4h, 6h, 8h, 1.5h, 2.5h	C6, NRK, PC_12, PK_15
LT934125.1	+	6	1036	1036	0	1	40.594301	0	0	0	1036	1036	1036	4h	PK_15
LT934125.1	+	7	1122	1122	0	1	26.651031	0	0	0	1122	1122	1122	6h	PC_12
LT934125.1	+	8	1167	1167	0	2	58.000959	0	0	0	1167	1167	1167	6h, 8h	PC_12
LT934125.1	+	9	1217	1258	41	4	1316.577973	0	0	0	1234.25	1217	1258	2h, 6h, 8h	C6, PC_12
LT934125.1	+	10	1290	1323	2	3	356.795371	0	0	14.3375814677532	1290.66666666667	1290	1292	8h, 6h	C6, PC_12
LT934125.1	+	11	1323	1358	3	22	255017.812182	1.28584540492312	1.28584540492312	9.11330070724386	1336.59090909091	1334	1337	12h, 1h, 2h, 4h, 6h, 8h, 1.5h, 2.5h	C6, NRK, PC_12, PK_15
LT934125.1	+	12	1393	1393	0	2	588.185931	0	0	0	1393	1393	1393	4h, 8h	C6, PC_12
LT934125.1	+	13	1428	1429	1	2	394.340581	0	0	0	1428.5	1428	1429	8h, 2h	C6, PK_15
LT934125.1	+	14	1469	1477	8	3	739.055637	0	0	0	1472.33333333333	1469	1477	2h, 8h, 4h	PC_12, PK_15
LT934125.1	+	15	1519	1542	23	7	1739.61989	0	0	0	1524.71428571429	1519	1542	12h, 8h, 2.5h, 4h, 6h	C6, PC_12, PK_15
LT934125.1	+	16	1583	1604	0	15	35040.63068	0	0	5.3579501900602	1600	1600	1600	12h, 4h, 6h, 8h, 2.5h, 2h	C6, PC_12, PK_15
LT934125.1	+	17	1644	1686	42	3	105.480049	0	0	2	1666	1644	1686	6h, 8h	PC_12, PK_15
LT934125.1	+	18	1712	1728	16	5	2123.665727	0	0	2.58496250072116	1717.6	1712	1728	2h, 6h, 4h	C6, PC_12, PK_15
LT934125.1	+	19	1770	1889	110	11	5242.475749	0	0	19.9866781383902	1827.81818181818	1770	1880	12h, 6h, 8h, 2h, 2.5h, 4h	C6, NRK, PC_12, PK_15
LT934125.1	+	20	1908	1934	26	9	3899.396452	0	0	0	1918.66666666667	1908	1934	8h, 12h, 2h, 4h, 6h, 1h	C6, PC_12, PK_15
LT934125.1	+	21	1959	2015	51	5	913.024337	0	0	8.44171825650175	1989.8	1959	2010	12h, 4h, 8h, 6h	C6, PC_12, PK_15
LT934125.1	+	22	2057	2074	17	8	11110.845253	0	0	1.62255624891827	2059.5	2057	2074	8h, 1h, 12h, 2h, 6h, 4h	C6, NRK, PC_12, PK_15
LT934125.1	+	23	2099	2166	67	8	2658.774109	0	0	5.44196861823467	2145	2099	2166	12h, 1h, 4h, 6h, 8h	C6, PC_12, PK_15
LT934125.1	+	24	2732	2732	0	1	86.244071	0	0	0	2732	2732	2732	6h	C6
LT934125.1	+	25	2792	2792	0	1	32.2841	0	0	0	2792	2792	2792	8h	C6
LT934125.1	+	26	2854	2854	0	1	31.349928	0	0	0	2854	2854	2854	8h	PC_12
LT934125.1	+	27	3132	3132	0	1	31.349928	0	0	0	3132	3132	3132	8h	PC_12
LT934125.1	+	28	3218	3218	0	1	26.651031	0	0	0	3218	3218	3218	6h	PC_12
LT934125.1	+	29	3244	3244	0	1	86.244071	0	0	0	3244	3244	3244	6h	C6
LT934125.1	+	30	3372	3372	0	1	525.486075	0	0	0	3372	3372	3372	4h	C6
LT934125.1	+	31	3434	3434	0	1	26.651031	0	0	0	3434	3434	3434	6h	PC_12
LT934125.1	+	32	3487	3487	0	1	32.2841	0	0	0	3487	3487	3487	8h	C6
LT934125.1	+	33	3705	3705	0	1	1172.332943	0	0	0	3705	3705	3705	2h	C6
LT934125.1	+	34	4057	4057	0	1	86.244071	0	0	0	4057	4057	4057	6h	C6
LT934125.1	+	35	4335	4335	0	1	31.349928	0	0	0	4335	4335	4335	8h	PC_12
LT934125.1	+	36	4483	4502	19	2	58.935131	0	0	0	4492.5	4483	4502	8h, 6h	C6, PC_12
LT934125.1	+	37	4632	4637	3	3	151.866488	0	0	2	4633	4632	4635	12h, 8h	C6, PC_12
LT934125.1	+	38	4825	4825	0	1	26.651031	0	0	0	4825	4825	4825	6h	PC_12
LT934125.1	+	39	5102	5102	0	1	32.2841	0	0	0	5102	5102	5102	8h	C6
LT934125.1	+	40	5484	5504	20	2	58.000959	0	0	0	5494	5484	5504	6h, 8h	PC_12
LT934125.1	+	41	6021	6030	9	5	285.220781	0	0	0	6024	6021	6030	6h, 4h, 8h	C6, PC_12, PK_15
LT934125.1	+	42	6663	6669	6	2	58.000959	0	0	0	6666	6663	6669	6h, 8h	PC_12
LT934125.1	+	43	6705	6705	0	1	26.651031	0	0	0	6705	6705	6705	6h	PC_12
LT934125.1	+	44	6812	6813	1	2	112.895102	0	0	0	6812.5	6812	6813	6h	C6, PC_12
LT934125.1	+	45	6840	6840	0	1	31.349928	0	0	0	6840	6840	6840	8h	PC_12
LT934125.1	+	46	6885	6891	2	5	310.594316	0	0	2.32192809488736	6886.6	6885	6887	6h, 4h	C6, PC_12, PK_15
LT934125.1	+	47	6912	6912	0	1	32.2841	0	0	0	6912	6912	6912	8h	C6
LT934125.1	+	48	6992	6996	4	3	164.015478	0	0	0	6994.33333333333	6992	6996	8h, 4h	C6, PC_12
LT934125.1	+	49	7184	7187	3	2	127.032481	0	0	0	7185.5	7184	7187	4h, 6h	PC_12
LT934125.1	+	50	7238	7254	9	2	85.586162	0	0	3	7242.5	7238	7247	8h, 6h	C6, PC_12
LT934125.1	+	51	7346	7346	0	1	740.19245	0	0	0	7346	7346	7346	2.5h	PC_12
LT934125.1	+	52	7419	7419	0	1	31.349928	0	0	0	7419	7419	7419	8h	PC_12
LT934125.1	+	53	7584	7596	4	21	77690.898752	0	0	5.55597598414139	7589.04761904762	7588	7592	12h, 1h, 2h, 4h, 6h, 8h, 1.5h, 2.5h	C6, NRK, PC_12, PK_15
LT934125.1	+	54	7664	7729	49	6	1842.607471	0	0	4.95174260275601	7687.33333333333	7664	7713	1h, 6h, 8h, 4h	C6, PC_12, PK_15
LT934125.1	+	55	7768	7768	0	1	100.38145	0	0	0	7768	7768	7768	4h	PC_12
LT934125.1	+	56	7810	7814	0	14	5225.31878	0	0	3.358939866416	7811	7811	7811	12h, 2h, 6h, 8h, 4h	C6, PC_12, PK_15
LT934125.1	+	57	7858	7872	6	6	2076.124595	0	0	6.38450691980223	7859	7858	7864	12h, 1h, 6h, 4h, 8h	C6, PC_12
LT934125.1	+	58	7899	7913	14	2	63.634028	0	0	0	7906	7899	7913	8h	C6, PC_12
LT934125.1	+	59	7955	8001	46	4	299.164051	0	0	5.49185309632968	7973.25	7955	8001	6h, 4h, 8h	C6, PC_12, PK_15
LT934125.1	+	60	8055	8055	0	1	53.302063	0	0	0	8055	8055	8055	6h	PC_12
LT934125.1	+	61	8089	8094	5	2	556.836003	0	0	0	8091.5	8089	8094	4h, 8h	C6, PC_12
LT934125.1	+	62	8148	8148	0	2	126.838372	0	0	0	8148	8148	8148	6h, 4h	C6, PK_15
LT934125.1	+	63	8184	8192	8	3	142.967534	0	0	0	8188.66666666667	8184	8192	6h, 4h	C6, PK_15
LT934125.1	+	64	8324	8346	22	4	2998.106729	0	0	0	8340.5	8324	8346	6h, 8h, 1h	PC_12, PK_15
LT934125.1	+	65	8433	8439	6	3	2345.699663	0	0	0	8436.66666666667	8433	8439	6h, 8h, 1h	C6, PC_12
