gene	seqnames	start	end	strand	type	Name	part	ID	Kinetic_class	cluster	au	si	gene_to_centroid_dist	sil_width
AZURE									E	cluster_1	1	1	0	0
CTO									L		0.949825510795276	0.76458199628741	0.485170277774611	0.495848680670658
ELIE									unknown	cluster_3	0.931566647294039	0.785349849654969	0	0
EP0	LT934125.1	96990	97346	-	CDS	SOF05972.1	1	SOF05972.1_1	E	cluster_4	0.950287083059071	0.84039421222697	0.17837425641246	0.17951097359857
EP0	LT934125.1	96114	96851	-	CDS	SOF05972.1	2	SOF05972.1_2	E	cluster_4	0.950287083059071	0.84039421222697	0.17837425641246	0.17951097359857
IE180	LT934125.1	102945	107297	-	CDS	SOF05973.1		SOF05973.1	IE	cluster_5	0.969865014590819	0.777630800701005	0	0
IE180	LT934125.1	136420	140772	+	CDS	SOF05983.1		SOF05983.1	IE	cluster_5	0.969865014590819	0.777630800701005	0	0
NOIR									E	cluster_6	0.954980551711333	0.791165103252262	0.0179573279504896	0.419068180313452
NOIR									E	cluster_6	0.954980551711333	0.791165103252262	0.0178822256033872	0.419928588768355
ORF-1	LT934125.1	1623	2243	+	CDS	SOF05915.1		ORF-1	E	cluster_7	0.837537451858675	0.494816024843736	0.0572804070798221	0.5718529625887
UL1	LT934125.1	94461	94931	-	CDS	SOF05971.1		UL1						
UL1-2-3-3.5									E/L		0.949825510795276	0.76458199628741	0.0739559973895319	-0.240673629010666
UL10	LT934125.1	80370	81551	-	CDS	SOF05961.1		UL10	L	cluster_2	0.949825510795276	0.76458199628741	0.0712528154758697	0.658451211296267
UL11	LT934125.1	79779	79970	+	CDS	SOF05960.1		UL11						
UL12	LT934125.1	78364	79821	+	CDS	SOF05959.1		UL12						
UL13	LT934125.1	77202	78398	+	CDS	SOF05958.1		UL13						
UL14	LT934125.1	76753	77232	+	CDS	SOF05957.1		UL14						
UL14-13-12-11									L		0.831682685247675	0.49884384527584	0.0578052920794547	0.152832396513716
UL15	LT934125.1	75663	76754	-	CDS	SOF05954.1	1	SOF05954.1_1	L	cluster_6	0.954980551711333	0.791165103252262	0.0477733321926645	0.176895145648295
UL15	LT934125.1	71647	72783	-	CDS	SOF05954.1	2	SOF05954.1_2	L	cluster_6	0.954980551711333	0.791165103252262	0.0477733321926645	0.176895145648295
UL16	LT934125.1	74654	75640	+	CDS	SOF05956.1		UL16						
UL17	LT934125.1	72834	74627	+	CDS	SOF05955.1		UL17						
UL17-16									L		0.954980551711333	0.791165103252262	0.0375910465187367	0.136920069695127
UL18	LT934125.1	70559	71449	+	CDS	SOF05953.1		UL18						
UL19	LT934125.1	66399	70391	+	CDS	SOF05952.1		UL19						
UL2	LT934125.1	93521	94483	-	CDS	SOF05970.1		UL2						
UL20	LT934125.1	65827	66312	+	CDS	SOF05951.1		UL20						
UL20-19-18									L		0.949825510795276	0.76458199628741	0.118538311312611	0.323118258080024
UL21	LT934125.1	64143	65720	-	CDS	SOF05950.1		UL21	L	cluster_6	0.954980551711333	0.791165103252262	0.0325742441125653	0.11366657649024
UL22	LT934125.1	60254	62314	+	CDS	SOF05949.1		UL22						
UL23	LT934125.1	59156	60118	+	CDS	SOF05948.1		UL23						
UL23-22									L		0.954980551711333	0.791165103252262	0.033606039124429	-0.324281579559895
UL24	LT934125.1	58648	59163	-	CDS	SOF05947.1		UL24						
UL24-25-26-26.5									L		0.831682685247675	0.49884384527584	0.0742810947000325	0.614788703495498
UL25	LT934125.1	56951	58555	-	CDS	SOF05946.1		UL25						
UL26	LT934125.1	55343	56917	-	CDS	SOF05944.1		UL26						
UL26.5	LT934125.1	55343	56179	-	CDS	SOF05945.1		UL26.5						
UL27	LT934125.1	16625	19375	-	CDS	SOF05926.1		UL27						
UL28	LT934125.1	19246	21402	-	CDS	SOF05927.1		UL28						
UL29	LT934125.1	21554	25087	-	CDS	SOF05928.1		UL29						
UL29-28-27									E/L		0.949825510795276	0.76458199628741	0.11728092830397	0.396959104331427
UL3	LT934125.1	92749	93465	-	CDS	SOF05969.1		UL3						
UL3.5	LT934125.1	92099	92752	-	CDS	SOF05968.1		UL3.5						
UL30	LT934125.1	25434	28580	+	CDS	SOF05929.1		UL30	E	cluster_4	0.950287083059071	0.84039421222697	0.17837425641246	0.196652842946241
UL31	LT934125.1	28501	29316	-	CDS	SOF05930.1		UL31						
UL32	LT934125.1	29309	30721	-	CDS	SOF05931.1		UL32						
UL32-31									L		0.949825510795276	0.76458199628741	0.0838165399001135	0.255382521233726
UL33	LT934125.1	30720	31070	+	CDS	SOF05932.1		UL33						
UL33-34-35									E/L		0.949825510795276	0.76458199628741	0.0821680939386021	0.378615343167272
UL34	LT934125.1	31226	32011	+	CDS	SOF05933.1		UL34						
UL35	LT934125.1	32066	32377	+	CDS	SOF05934.1		UL35						
UL36	LT934125.1	32705	41983	-	CDS	SOF05935.1		UL36						
UL37	LT934125.1	42021	44780	-	CDS	SOF05936.1		UL37						
UL37-36									L		0.925472739100843	0.593831667570605	0	0
UL38	LT934125.1	44837	45943	+	CDS	SOF05937.1		UL38						
UL38-39-40									E		0.837537451858675	0.494816024843736	0.0846302742672194	0.461436659091248
UL39	LT934125.1	46274	48646	+	CDS	SOF05938.1		UL39						
UL4	LT934125.1	91486	91923	+	CDS	SOF05967.1		UL4						
UL40	LT934125.1	48656	49567	+	CDS	SOF05939.1		UL40						
UL41	LT934125.1	50044	51141	-	CDS	SOF05940.1		UL41	L	cluster_10	0.916193085781207	0.680653907294378	0	0
UL42	LT934125.1	51270	52415	+	CDS	SOF05941.1		UL42						
UL42-43-44									L		0.949825510795276	0.76458199628741	0.111434561008821	0.522131134500154
UL43	LT934125.1	52473	53594	+	CDS	SOF05942.1		UL43						
UL44	LT934125.1	53661	55103	+	CDS	SOF05943.1		UL44						
UL46	LT934125.1	14071	16146	+	CDS	SOF05925.1		UL46						
UL47	LT934125.1	11815	14052	+	CDS	SOF05924.1		UL47						
UL48	LT934125.1	10473	11714	+	CDS	SOF05923.1		UL48						
UL48-47-46									L		0.831682685247675	0.49884384527584	0.0455191785340067	0.132567618526945
UL49	LT934125.1	9657	10409	+	CDS	SOF05922.1		UL49						
UL49.5	LT934125.1	9323	9619	+	CDS	SOF05921.1		UL49.5						
UL49.5-49									L		0.831682685247675	0.49884384527584	0.0350518646784345	0.580225701947743
UL5	LT934125.1	88923	91427	+	CDS	SOF05966.1		UL5						
UL5-4									E/L		0.954980551711333	0.791165103252262	0.0442867185853686	0.101211716022565
UL50	LT934125.1	8593	9399	-	CDS	SOF05920.1		UL50	L	cluster_11	0.731225203397008	0.222560571449955	0.00885800428153388	0.410238601410161
UL51	LT934125.1	7729	8439	+	CDS	SOF05919.1		UL51	L	cluster_12	0.850944888558903	0.176216003630213	0	0
UL52	LT934125.1	4854	7742	-	CDS	SOF05918.1		UL52						
UL52-53-54									E/L		0.837537451858675	0.494816024843736	0.0500310440395256	0.373546883088196
UL53	LT934125.1	3961	4899	-	CDS	SOF05917.1		UL53						
UL54	LT934125.1	2797	3882	-	CDS	SOF05916.1		UL54						
UL6	LT934125.1	86993	88924	-	CDS	SOF05965.1		UL6						
UL7	LT934125.1	86302	87102	-	CDS	SOF05964.1		UL7						
UL7-6									E/L		0.954980551711333	0.791165103252262	0.0384030386959926	0.304811467280374
UL8	LT934125.1	84087	86138	+	CDS	SOF05963.1		UL8						
UL9	LT934125.1	81550	84090	+	CDS	SOF05962.1		UL9						
UL9-8									E		0.731225203397008	0.222560571449955	0.00885800428153388	0.454963273116598
US1	LT934125.1	115740	116831	+	CDS	SOF05974.1		SOF05974.1	E	cluster_6	0.954980551711333	0.791165103252262	0.198186856225766	0.135702167847405
US1	LT934125.1	126886	127977	-	CDS	SOF05982.1		SOF05982.1	E	cluster_6	0.954980551711333	0.791165103252262	0.198186856225766	0.135702167847405
US2	LT934125.1	125308	126078	+	CDS	SOF05981.1		US2						
US3	LT934125.1	117833	118837	+	CDS	SOF05975.1		US3						
US3-4									L		0.831682685247675	0.49884384527584	0.127631956723394	0.487827354772716
US4	LT934125.1	118897	120396	+	CDS	SOF05976.1		US4						
US6	LT934125.1	120576	121778	+	CDS	SOF05977.1		US6						
US6-7									L		0.831682685247675	0.49884384527584	0.111618436934597	0.144257594225819
US7	LT934125.1	121799	122896	+	CDS	SOF05978.1		US7						
US8	LT934125.1	123000	124730	+	CDS	SOF05979.1		US8						
US8-9-2									L		0.837537451858675	0.494816024843736	0.0399183724210153	0.29057270987669
US9	LT934125.1	124788	125084	+	CDS	SOF05980.1		US9						
