seqnames	strand	group	hpi	Time	cell_line	mean_varcoeff	mean_mean	mean_sd	min_sd	max_sd	varcoeff_coverage
LT934125.1	+	PK-15_CAGE_12h	12h	12	PK-15		8.28184489172947		8.28184489172947	8.28184489172947	
LT934125.1	-	PK-15_CAGE_12h	12h	12	PK-15		5.7553690101434		5.7553690101434	5.7553690101434	
LT934125.1	+	PK-15_CAGE_4h	4h	4	PK-15		2.2443301853795		2.2443301853795	2.2443301853795	
LT934125.1	-	PK-15_CAGE_4h	4h	4	PK-15		1.47610353270374		1.47610353270374	1.47610353270374	
LT934125.1	+	PC-12_CAGE_12h	12h	12	PC-12		5.04006995452956		5.04006995452956	5.04006995452956	
LT934125.1	-	PC-12_CAGE_12h	12h	12	PC-12		3.33672612801679		3.33672612801679	3.33672612801679	
LT934125.1	+	PC-12_CAGE_4h	4h	4	PC-12		0.74719832109129		0.74719832109129	0.74719832109129	
LT934125.1	-	PC-12_CAGE_4h	4h	4	PC-12		0.494417628541448		0.494417628541448	0.494417628541448	
LT934125.1	+	C6_CAGE_12h	12h	12	C6		3.81744665967122		3.81744665967122	3.81744665967122	
LT934125.1	-	C6_CAGE_12h	12h	12	C6		2.47519412381952		2.47519412381952	2.47519412381952	
LT934125.1	+	C6_CAGE_4h	4h	4	C6		0.331794333683106		0.331794333683106	0.331794333683106	
LT934125.1	-	C6_CAGE_4h	4h	4	C6		0.252787688002798		0.252787688002798	0.252787688002798	
