group	enhancer	cluster.m	cluster.p	chr	dominant_tss.m	dominant_tss.p	tags.m	tags.p	D	hpi	cell_line	Time
ACCG	8	1367	187	LT934125.1	27761	27846	72.028725	21.608618	-0.538461530246539			
ACCG	9	1375	196	LT934125.1	28572	28627	18.007181	14.405745	-0.111111104255136			
ACCG	14	1521	317	LT934125.1	49120	49196	57.62298	39.615799	-0.185185182138085			
ACCG	15	1526	325	LT934125.1	49604	49738	25.210054	14.405745	-0.27272727731681			
ACCG	19	1704	616	LT934125.1	75601	75654	64.825853	154.861759	0.409836063036636			
ACCG	20	1718	630	LT934125.1	77987	78039	108.043087	79.231597	-0.153846154667654			
ACCG	23	1755	675	LT934125.1	83926	83978	14.405745	118.847396	0.783783783378135			
ACCG	30	1848	760	LT934125.1	95694	95746	111.644524	831.931774	0.763358778221451			
ACCG	31	1861	767	LT934125.1	96598	96654	39.615799	25.210054	-0.222222220508228			
ACCG	32	1905	794	LT934125.1	101240	101293	108.043087	716.685814	0.737991267508643			
ACCG	33	1909	800	LT934125.1	101782	101828	180.071813	230.49192	0.122807016176463			
ACCG	34	1910	803	LT934125.1	101893	101990	21.608618	43.217235	0.333333323049371			
ACCG	35	1913	804	LT934125.1	102039	102057	18.007181	25.210054	0.166666678236125			
ACCG	36	1921	808	LT934125.1	103738	103805	14.405745	14.405745	0			
ACCG	38	1954	833	LT934125.1	108044	108189	43.217235	14.405745	-0.5			
ACCG	40	1998	872	LT934125.1	113939	114000	14.405745	25.210054	0.27272727731681			
ACCG	41	2004	874	LT934125.1	114504	114661	14.405745	14.405745	0			
ACCG	42	2005	875	LT934125.1	114692	114761	18.007181	61.224417	0.54545455463362			
ACCG	43	2006	876	LT934125.1	114784	114835	21.608618	172.86894	0.777777773207128			
ACCG	50	2100	1050	LT934125.1	128882	128933	172.86894	21.608618	-0.777777773207128			
ACCG	51	2101	1051	LT934125.1	128956	129025	61.224417	18.007181	-0.54545455463362			
ACCG	52	2103	1058	LT934125.1	129717	129778	25.210054	14.405745	-0.27272727731681			
ACCG	54	2148	1103	LT934125.1	135528	135673	14.405745	43.217235	0.5			
ACCG	56	2172	1136	LT934125.1	139912	139979	14.405745	14.405745	0			
ACCG	57	2176	1145	LT934125.1	141660	141678	25.210054	18.007181	-0.166666678236125			
ACCG	58	2177	1148	LT934125.1	141727	141824	43.217235	21.608618	-0.333333323049371			
ACCG	59	2180	1149	LT934125.1	141889	141935	230.49192	180.071813	-0.122807016176463			
ACCG	60	2186	1153	LT934125.1	142424	142477	453.780968	108.043087	-0.615384617164532			
AGTG	11	1262	148	LT934125.1	17376	17395	188.797986	125.865324	-0.2			
AGTG	14	1367	187	LT934125.1	27761	27825	188.797986	125.865324	-0.2			
AGTG	16	1433	234	LT934125.1	34123	34143	62.932662	62.932662	0			
AGTG	19	1487	248	LT934125.1	42611	42676	62.932662	62.932662	0			
AGTG	21	1504	265	LT934125.1	45475	45632	62.932662	62.932662	0			
AGTG	23	1512	289	LT934125.1	47293	47315	62.932662	377.595972	0.714285714285714			
AGTG	25	1522	317	LT934125.1	49174	49224	62.932662	251.730648	0.6			
AGTG	30	1559	390	LT934125.1	54355	54399	62.932662	62.932662	0			
AGTG	31	1560	393	LT934125.1	54449	54553	125.865324	62.932662	-0.333333333333333			
AGTG	32	1565	406	LT934125.1	55407	55593	62.932662	62.932662	0			
AGTG	37	1597	420	LT934125.1	57700	57761	62.932662	62.932662	0			
AGTG	40	1646	490	LT934125.1	64913	65042	125.865324	62.932662	-0.333333333333333			
AGTG	41	1669	540	LT934125.1	68782	68839	62.932662	62.932662	0			
AGTG	42	1674	547	LT934125.1	69382	69433	62.932662	62.932662	0			
AGTG	43	1685	582	LT934125.1	71882	71915	314.66331	62.932662	-0.666666666666667			
AGTG	47	1721	640	LT934125.1	79230	79349	62.932662	62.932662	0			
AGTG	49	1723	642	LT934125.1	79513	79552	62.932662	440.528634	0.75			
AGTG	52	1776	695	LT934125.1	88003	88057	62.932662	62.932662	0			
AGTG	54	1786	710	LT934125.1	89614	89703	62.932662	62.932662	0			
AGTG	55	1790	715	LT934125.1	90327	90339	62.932662	62.932662	0			
