seqnames	strand	group	hpi	Time	cell_line	mean_sum	mean_mean	mean_sd	mean_min	mean_max	varcoeff_coverage
LT934125.1	+	PK-15_CAGE_12h	12h	12	PK-15	414.082896117524	414.082896117524		414.082896117524	414.082896117524	
LT934125.1	-	PK-15_CAGE_12h	12h	12	PK-15	287.76845050717	287.76845050717		287.76845050717	287.76845050717	
LT934125.1	+	PK-15_CAGE_4h	4h	4	PK-15	112.216509268975	112.216509268975		112.216509268975	112.216509268975	
LT934125.1	-	PK-15_CAGE_4h	4h	4	PK-15	73.8051766351871	73.8051766351871		73.8051766351871	73.8051766351871	
LT934125.1	+	PC-12_CAGE_12h	12h	12	PC-12	252.003497726478	252.003497726478		252.003497726478	252.003497726478	
LT934125.1	-	PC-12_CAGE_12h	12h	12	PC-12	166.836306400839	166.836306400839		166.836306400839	166.836306400839	
LT934125.1	+	PC-12_CAGE_4h	4h	4	PC-12	37.3599160545645	37.3599160545645		37.3599160545645	37.3599160545645	
LT934125.1	-	PC-12_CAGE_4h	4h	4	PC-12	24.7208814270724	24.7208814270724		24.7208814270724	24.7208814270724	
LT934125.1	+	C6_CAGE_12h	12h	12	C6	190.872332983561	190.872332983561		190.872332983561	190.872332983561	
LT934125.1	-	C6_CAGE_12h	12h	12	C6	123.759706190976	123.759706190976		123.759706190976	123.759706190976	
LT934125.1	+	C6_CAGE_4h	4h	4	C6	16.5897166841553	16.5897166841553		16.5897166841553	16.5897166841553	
LT934125.1	-	C6_CAGE_4h	4h	4	C6	12.6393844001399	12.6393844001399		12.6393844001399	12.6393844001399	
