seqnames	strand	window_start	window_end	group	hpi	Time	cell_line	sum_coverage.hpi	mean_coverage.hpi	sd_coverage.hpi	median_coverage.hpi	min_coverage.hpi	max_coverage.hpi	varcoeff_coverage.hpi
LT934125.1	+	1	50	PK-15_CAGE_12h	12h	12	PK-15	0	0		0	0	0	
LT934125.1	+	51	100	PK-15_CAGE_12h	12h	12	PK-15	2.72	2.72		2.72	2.72	2.72	
LT934125.1	+	101	150	PK-15_CAGE_12h	12h	12	PK-15	1.04	1.04		1.04	1.04	1.04	
LT934125.1	+	151	200	PK-15_CAGE_12h	12h	12	PK-15	0	0		0	0	0	
LT934125.1	+	201	250	PK-15_CAGE_12h	12h	12	PK-15	0.2	0.2		0.2	0.2	0.2	
LT934125.1	+	251	300	PK-15_CAGE_12h	12h	12	PK-15	1.14	1.14		1.14	1.14	1.14	
LT934125.1	+	301	350	PK-15_CAGE_12h	12h	12	PK-15	1.12	1.12		1.12	1.12	1.12	
LT934125.1	+	351	400	PK-15_CAGE_12h	12h	12	PK-15	0	0		0	0	0	
LT934125.1	+	401	450	PK-15_CAGE_12h	12h	12	PK-15	0	0		0	0	0	
LT934125.1	+	451	500	PK-15_CAGE_12h	12h	12	PK-15	0.7	0.7		0.7	0.7	0.7	
LT934125.1	+	501	550	PK-15_CAGE_12h	12h	12	PK-15	0.26	0.26		0.26	0.26	0.26	
LT934125.1	+	551	600	PK-15_CAGE_12h	12h	12	PK-15	0	0		0	0	0	
LT934125.1	+	601	650	PK-15_CAGE_12h	12h	12	PK-15	0	0		0	0	0	
LT934125.1	+	651	700	PK-15_CAGE_12h	12h	12	PK-15	0	0		0	0	0	
LT934125.1	+	701	750	PK-15_CAGE_12h	12h	12	PK-15	0	0		0	0	0	
LT934125.1	+	751	800	PK-15_CAGE_12h	12h	12	PK-15	1.38	1.38		1.38	1.38	1.38	
LT934125.1	+	801	850	PK-15_CAGE_12h	12h	12	PK-15	1.46	1.46		1.46	1.46	1.46	
LT934125.1	+	851	900	PK-15_CAGE_12h	12h	12	PK-15	0	0		0	0	0	
LT934125.1	+	901	950	PK-15_CAGE_12h	12h	12	PK-15	0.16	0.16		0.16	0.16	0.16	
LT934125.1	+	951	1000	PK-15_CAGE_12h	12h	12	PK-15	73.74	73.74		73.74	73.74	73.74	
LT934125.1	+	1001	1050	PK-15_CAGE_12h	12h	12	PK-15	177.98	177.98		177.98	177.98	177.98	
LT934125.1	+	1051	1100	PK-15_CAGE_12h	12h	12	PK-15	0	0		0	0	0	
LT934125.1	+	1101	1150	PK-15_CAGE_12h	12h	12	PK-15	0	0		0	0	0	
LT934125.1	+	1151	1200	PK-15_CAGE_12h	12h	12	PK-15	0.4	0.4		0.4	0.4	0.4	
LT934125.1	+	1201	1250	PK-15_CAGE_12h	12h	12	PK-15	0.56	0.56		0.56	0.56	0.56	
LT934125.1	+	1251	1300	PK-15_CAGE_12h	12h	12	PK-15	4.5	4.5		4.5	4.5	4.5	
LT934125.1	+	1301	1350	PK-15_CAGE_12h	12h	12	PK-15	19.56	19.56		19.56	19.56	19.56	
LT934125.1	+	1351	1400	PK-15_CAGE_12h	12h	12	PK-15	36.54	36.54		36.54	36.54	36.54	
LT934125.1	+	1401	1450	PK-15_CAGE_12h	12h	12	PK-15	2.12	2.12		2.12	2.12	2.12	
LT934125.1	+	1451	1500	PK-15_CAGE_12h	12h	12	PK-15	1.34	1.34		1.34	1.34	1.34	
LT934125.1	+	1501	1550	PK-15_CAGE_12h	12h	12	PK-15	0.64	0.64		0.64	0.64	0.64	
