seqnames	strand	cluster	TC.start	TC.end	TC.width	support	score	mean_shape	min_shape	max_shape	consensus_peak	min_peak	max_peak	hpi_samples	cell_lines
LT934125.1	+	1	775	775	0	1	62.932662	0	0	0	775	775	775	NA	NA
LT934125.1	+	2	949	949	0	1	241.779497	0	0	0	949	949	949	NA	NA
LT934125.1	+	3	985	990	3	6	23498.565689	0	0	1.49319665010434	990	987	990	NA	NA
LT934125.1	+	4	1033	1035	0	1	109.143496	1.28584540492312	1.28584540492312	1.28584540492312	1035	1035	1035	NA	NA
LT934125.1	+	5	1108	1108	0	1	62.932662	0	0	0	1108	1108	1108	NA	NA
LT934125.1	+	6	1174	1174	0	1	27.285874	0	0	0	1174	1174	1174	NA	NA
LT934125.1	+	7	1257	1260	3	2	90.218536	0	0	0	1258	1257	1260	NA	NA
LT934125.1	+	8	1327	1339	5	6	6740.009665	1.5695159675136	1.5695159675136	6.16375550076101	1336	1334	1339	NA	NA
LT934125.1	+	9	1379	1382	3	3	141.805451	0	0	0	1381	1379	1382	NA	NA
LT934125.1	+	10	1469	1469	0	2	90.218536	0	0	0	1469	1469	1469	NA	NA
LT934125.1	+	11	1501	1501	0	1	48.602083	0	0	0	1501	1501	1501	NA	NA
LT934125.1	+	12	1597	1604	1	6	4814.66339	0	0	3.53380760191737	1600	1599	1600	NA	NA
LT934125.1	+	13	1666	1666	0	1	54.571748	0	0	0	1666	1666	1666	NA	NA
LT934125.1	+	14	1712	1729	16	5	1338.822437	0	0	7.99293903385576	1717	1712	1728	NA	NA
LT934125.1	+	15	1830	1871	41	4	969.779259	0	0	1.56154964916481	1852	1830	1871	NA	NA
LT934125.1	+	16	1911	1914	3	3	655.092874	0	0	0	1912	1911	1914	NA	NA
LT934125.1	+	17	2014	2017	3	2	304.712159	0	0	0	2016	2014	2017	NA	NA
LT934125.1	+	18	2069	2069	0	1	27.285874	0	0	0	2069	2069	2069	NA	NA
LT934125.1	+	19	2142	2142	0	1	60.752603	0	0	0	2142	2142	2142	NA	NA
LT934125.1	+	20	2168	2168	0	2	147.473942	0	0	0	2168	2168	2168	NA	NA
LT934125.1	+	21	2223	2223	0	1	21.608618	0	0	0	2223	2223	2223	NA	NA
LT934125.1	+	22	2277	2286	9	2	88.142716	0	0	0	2282	2277	2286	NA	NA
LT934125.1	+	23	2370	2370	0	1	62.932662	0	0	0	2370	2370	2370	NA	NA
LT934125.1	+	24	2473	2506	33	4	160.429237	0	0	0	2489	2473	2506	NA	NA
LT934125.1	+	25	2546	2586	40	5	897.672141	0	0	1.58496250072116	2571	2546	2586	NA	NA
LT934125.1	+	26	2753	2753	0	1	241.779497	0	0	0	2753	2753	2753	NA	NA
LT934125.1	+	27	2851	2851	0	1	27.285874	0	0	0	2851	2851	2851	NA	NA
LT934125.1	+	28	2969	2978	9	2	304.712159	0	0	0	2974	2969	2978	NA	NA
LT934125.1	+	29	3645	3657	6	4	3955.480944	0	0	1.41282476276888	3652	3651	3657	NA	NA
LT934125.1	+	30	3871	3871	0	1	191.001119	0	0	0	3871	3871	3871	NA	NA
LT934125.1	+	31	3966	3967	1	2	87.233703	0	0	0	3966	3966	3967	NA	NA
LT934125.1	+	32	4480	4480	0	2	71.119712	0	0	0	4480	4480	4480	NA	NA
LT934125.1	+	33	4557	4557	0	1	27.285874	0	0	0	4557	4557	4557	NA	NA
LT934125.1	+	34	4630	4635	5	4	350.220166	0	0	2	4632	4630	4635	NA	NA
LT934125.1	+	35	4949	4978	29	3	876.3647	0	0	0	4965	4949	4978	NA	NA
LT934125.1	+	36	5107	5107	0	1	27.285874	0	0	0	5107	5107	5107	NA	NA
LT934125.1	+	37	6452	6455	0	1	54.571748	2	2	2	6452	6452	6452	NA	NA
LT934125.1	+	38	6680	6680	0	1	27.285874	0	0	0	6680	6680	6680	NA	NA
LT934125.1	+	39	6731	6731	0	1	62.932662	0	0	0	6731	6731	6731	NA	NA
LT934125.1	+	40	6887	6887	0	1	62.932662	0	0	0	6887	6887	6887	NA	NA
LT934125.1	+	41	7097	7097	0	1	62.932662	0	0	0	7097	7097	7097	NA	NA
LT934125.1	+	42	7272	7281	0	1	125.865324	3.32192809488736	3.32192809488736	3.32192809488736	7272	7272	7272	NA	NA
LT934125.1	+	43	7441	7441	0	1	27.285874	0	0	0	7441	7441	7441	NA	NA
LT934125.1	+	44	7585	7591	0	5	9331.639306	1.69070187381633	1.69070187381633	3.70905995304893	7591	7591	7591	NA	NA
LT934125.1	+	45	7698	7698	0	1	62.932662	0	0	0	7698	7698	7698	NA	NA
LT934125.1	+	46	7752	7752	0	1	62.932662	0	0	0	7752	7752	7752	NA	NA
LT934125.1	+	47	7808	7811	0	3	175.932164	0	0	1.83659166810898	7811	7811	7811	NA	NA
LT934125.1	+	48	7851	7863	12	2	90.218536	0	0	0	7857	7851	7863	NA	NA
LT934125.1	+	49	8238	8239	1	2	87.233703	0	0	0	8238	8238	8239	NA	NA
LT934125.1	+	50	8531	8531	0	1	24.301041	0	0	0	8531	8531	8531	NA	NA
LT934125.1	+	51	8605	8605	0	1	62.932662	0	0	0	8605	8605	8605	NA	NA
LT934125.1	+	52	8705	8705	0	1	241.779497	0	0	0	8705	8705	8705	NA	NA
LT934125.1	+	53	8735	8735	0	1	24.301041	0	0	0	8735	8735	8735	NA	NA
LT934125.1	+	54	8805	8805	0	1	62.932662	0	0	0	8805	8805	8805	NA	NA
LT934125.1	+	55	8902	8904	2	4	356.299074	0	0	0	8903	8902	8904	NA	NA
LT934125.1	+	56	9017	9020	3	2	75.887957	0	0	0	9018	9017	9020	NA	NA
LT934125.1	+	57	9052	9052	0	1	62.932662	0	0	0	9052	9052	9052	NA	NA
LT934125.1	+	58	9108	9115	5	6	31004.025366	1.28584540492312	1.28584540492312	4.3196349916549	9111	9108	9113	NA	NA
LT934125.1	+	59	9257	9270	0	6	96386.194546	0.331723457764852	0.331723457764852	0.690234629946463	9270	9270	9270	NA	NA
LT934125.1	+	60	9339	9339	0	2	77.338407	0	0	0	9339	9339	9339	NA	NA
LT934125.1	+	61	9411	9423	1	6	6723.976813	0	0	2.91092892308965	9415	9414	9415	NA	NA
LT934125.1	+	62	9473	9491	1	5	1632.631135	0	0	6.37355646705709	9480	9479	9480	NA	NA
LT934125.1	+	63	9545	9558	2	5	1685.312489	0	0	2.58817936879202	9548	9548	9550	NA	NA
LT934125.1	+	64	9592	9592	0	1	21.608618	0	0	0	9592	9592	9592	NA	NA
LT934125.1	+	65	9638	9647	3	6	122944.445765	0	0	1.29289704434047	9646	9643	9646	NA	NA
LT934125.1	+	66	9707	9728	21	2	1953.842948	0	0	3.05246981989905	9718	9707	9728	NA	NA
LT934125.1	+	67	9742	9771	3	5	3918.540985	0	0	5.20148261524489	9760	9759	9762	NA	NA
LT934125.1	+	68	9803	9820	17	4	1627.758267	0	0	2.74190118426235	9808	9803	9820	NA	NA
LT934125.1	+	69	9859	9867	5	3	436.851576	1.97543998797919	1.97543998797919	2.99767224416586	9864	9862	9867	NA	NA
LT934125.1	+	70	9932	9949	1	6	3287.384727	0	0	5.49024829634309	9933	9932	9933	NA	NA
LT934125.1	+	71	9996	10014	11	3	719.770196	8.68380237781867	8.68380237781867	8.99942228670911	10002	9998	10009	NA	NA
LT934125.1	+	72	10059	10059	0	1	241.779497	0	0	0	10059	10059	10059	NA	NA
LT934125.1	+	73	10087	10089	1	4	1300.960547	0.48890858642327	0.48890858642327	0.811278124459133	10089	10088	10089	NA	NA
LT934125.1	+	74	10135	10166	29	5	759.504515	0	0	0	10154	10135	10164	NA	NA
LT934125.1	+	75	10218	10218	0	1	24.301041	0	0	0	10218	10218	10218	NA	NA
LT934125.1	+	76	10258	10267	0	1	54.571748	3.32192809488736	3.32192809488736	3.32192809488736	10258	10258	10258	NA	NA
LT934125.1	+	77	10334	10334	0	1	27.285874	0	0	0	10334	10334	10334	NA	NA
LT934125.1	+	78	10426	10435	3	5	12852.35641	0	0	3.44535052820735	10430	10428	10431	NA	NA
LT934125.1	+	79	10521	10521	0	1	62.932662	0	0	0	10521	10521	10521	NA	NA
LT934125.1	+	80	10620	10628	8	2	90.218536	0	0	0	10624	10620	10628	NA	NA
LT934125.1	+	81	10694	10694	0	1	27.285874	0	0	0	10694	10694	10694	NA	NA
LT934125.1	+	82	10784	10784	0	1	18.007181	0	0	0	10784	10784	10784	NA	NA
LT934125.1	+	83	10859	10859	0	1	27.285874	0	0	0	10859	10859	10859	NA	NA
LT934125.1	+	84	10956	10956	0	1	62.932662	0	0	0	10956	10956	10956	NA	NA
LT934125.1	+	85	10997	10999	2	3	108.225717	0	0	0	10998	10997	10999	NA	NA
LT934125.1	+	86	11040	11063	23	2	87.233703	0	0	0	11052	11040	11063	NA	NA
LT934125.1	+	87	11153	11153	0	1	27.285874	0	0	0	11153	11153	11153	NA	NA
LT934125.1	+	88	11270	11270	0	1	27.285874	0	0	0	11270	11270	11270	NA	NA
